"Statistic:   Number of Acceptances"
"Variables:   Subject Group (Detailed Level) , Provider Country 2016 , Acceptance Route , Cycle Year"
"Coverage:   All"
"For a list of key definitions and descriptions please refer to the PDF file provided - EOC_data_resource_2016-DR3_031_07.pdf"
 
Cycle Year,Subject Group (Detailed Level) , Provider Country 2016 , Acceptance Route,Number of Acceptances,
2007 ,"'A1 - Pre-clinical Medicine' ","'England' ","'Firm choice' ",5880
2008 ,"'II - Combinations in Computer Sciences' ","'Northern Ireland' ","'Firm choice' ",100
2008 ,"'II - Combinations in Computer Sciences' ","'Northern Ireland' ","'Insurance choice' ",10
2008 ,"'II - Combinations in Computer Sciences' ","'Northern Ireland' ","'Main scheme Clearing' ",5
2008 ,"'II - Combinations in Computer Sciences' ","'Scotland' ","'Firm choice' ",65
2008 ,"'II - Combinations in Computer Sciences' ","'Scotland' ","'Insurance choice' ",5
2008 ,"'II - Combinations in Computer Sciences' ","'Scotland' ","'Other main scheme choice' ",5
2008 ,"'II - Combinations in Computer Sciences' ","'Scotland' ","'Main scheme Clearing' ",5
2008 ,"'II - Combinations in Computer Sciences' ","'Scotland' ","'RPA' ",10
2008 ,"'II - Combinations in Computer Sciences' ","'Wales' ","'Firm choice' ",70
2008 ,"'II - Combinations in Computer Sciences' ","'Wales' ","'Main scheme Clearing' ",5
2008 ,"'II - Combinations in Computer Sciences' ","'Wales' ","'RPA' ",5
2008 ,"'J1 - Minerals Technology' ","'England' ","'Firm choice' ",50
2008 ,"'J1 - Minerals Technology' ","'England' ","'Other main scheme choice' ",5
2008 ,"'J2 - Metallurgy' ","'England' ","'Firm choice' ",5
2008 ,"'J4 - Polymers and Textiles' ","'England' ","'Firm choice' ",125
2008 ,"'J4 - Polymers and Textiles' ","'England' ","'Main scheme Clearing' ",5
2008 ,"'J4 - Polymers and Textiles' ","'England' ","'RPA' ",5
2008 ,"'J4 - Polymers and Textiles' ","'Scotland' ","'Firm choice' ",10
2008 ,"'J4 - Polymers and Textiles' ","'Scotland' ","'RPA' ",10
2008 ,"'J5 - Materials Technology not otherwise spec' ","'England' ","'Firm choice' ",130
2008 ,"'J5 - Materials Technology not otherwise spec' ","'England' ","'Insurance choice' ",15
2008 ,"'J5 - Materials Technology not otherwise spec' ","'England' ","'Other main scheme choice' ",5
2008 ,"'J5 - Materials Technology not otherwise spec' ","'England' ","'Extra' ",5
2008 ,"'J5 - Materials Technology not otherwise spec' ","'England' ","'Main scheme Clearing' ",25
2008 ,"'J5 - Materials Technology not otherwise spec' ","'England' ","'Direct Clearing' ",5
2008 ,"'J5 - Materials Technology not otherwise spec' ","'England' ","'RPA' ",15
2008 ,"'J5 - Materials Technology not otherwise spec' ","'Wales' ","'Firm choice' ",5
2008 ,"'J5 - Materials Technology not otherwise spec' ","'Wales' ","'RPA' ",5
2008 ,"'J6 - Maritime Technology' ","'England' ","'Firm choice' ",110
2008 ,"'J6 - Maritime Technology' ","'England' ","'Insurance choice' ",5
2008 ,"'J6 - Maritime Technology' ","'England' ","'Other main scheme choice' ",10
2008 ,"'J6 - Maritime Technology' ","'England' ","'Main scheme Clearing' ",5
2008 ,"'J6 - Maritime Technology' ","'England' ","'Direct Clearing' ",5
2008 ,"'J6 - Maritime Technology' ","'England' ","'RPA' ",30
2008 ,"'J7 - Biotechnology' ","'England' ","'Firm choice' ",50
2008 ,"'J7 - Biotechnology' ","'England' ","'Insurance choice' ",10
2008 ,"'J7 - Biotechnology' ","'England' ","'Other main scheme choice' ",15
2008 ,"'J7 - Biotechnology' ","'England' ","'Main scheme Clearing' ",5
2008 ,"'J7 - Biotechnology' ","'England' ","'RPA' ",10
2008 ,"'J7 - Biotechnology' ","'Scotland' ","'Firm choice' ",30
2008 ,"'J7 - Biotechnology' ","'Scotland' ","'Insurance choice' ",5
2008 ,"'J9 - Others in Technology' ","'England' ","'Firm choice' ",1150
2008 ,"'J9 - Others in Technology' ","'England' ","'Insurance choice' ",35
2008 ,"'J9 - Others in Technology' ","'England' ","'Other main scheme choice' ",125
2008 ,"'J9 - Others in Technology' ","'England' ","'Extra' ",10
2008 ,"'J9 - Others in Technology' ","'England' ","'Main scheme Clearing' ",75
2008 ,"'J9 - Others in Technology' ","'England' ","'Direct Clearing' ",55
2008 ,"'J9 - Others in Technology' ","'England' ","'RPA' ",130
2008 ,"'J9 - Others in Technology' ","'Northern Ireland' ","'Firm choice' ",45
2008 ,"'J9 - Others in Technology' ","'Northern Ireland' ","'Main scheme Clearing' ",5
2008 ,"'J9 - Others in Technology' ","'Scotland' ","'Firm choice' ",85
2008 ,"'J9 - Others in Technology' ","'Scotland' ","'Insurance choice' ",5
2008 ,"'J9 - Others in Technology' ","'Scotland' ","'Other main scheme choice' ",5
2008 ,"'J9 - Others in Technology' ","'Scotland' ","'RPA' ",35
2008 ,"'J9 - Others in Technology' ","'Wales' ","'Firm choice' ",150
2008 ,"'J9 - Others in Technology' ","'Wales' ","'Insurance choice' ",5
2008 ,"'J9 - Others in Technology' ","'Wales' ","'Other main scheme choice' ",15
2008 ,"'J9 - Others in Technology' ","'Wales' ","'Main scheme Clearing' ",5
2008 ,"'J9 - Others in Technology' ","'Wales' ","'Direct Clearing' ",15
2008 ,"'J9 - Others in Technology' ","'Wales' ","'RPA' ",15
2008 ,"'K1 - Architecture' ","'England' ","'Firm choice' ",2475
2008 ,"'K1 - Architecture' ","'England' ","'Insurance choice' ",285
2008 ,"'K1 - Architecture' ","'England' ","'Other main scheme choice' ",140
2008 ,"'K1 - Architecture' ","'England' ","'Extra' ",40
2008 ,"'K1 - Architecture' ","'England' ","'Main scheme Clearing' ",240
2008 ,"'K1 - Architecture' ","'England' ","'Direct Clearing' ",50
2008 ,"'K1 - Architecture' ","'England' ","'RPA' ",105
2008 ,"'K1 - Architecture' ","'Northern Ireland' ","'Firm choice' ",145
2008 ,"'K1 - Architecture' ","'Northern Ireland' ","'Insurance choice' ",5
2008 ,"'K1 - Architecture' ","'Northern Ireland' ","'Other main scheme choice' ",5
2008 ,"'K1 - Architecture' ","'Northern Ireland' ","'Main scheme Clearing' ",5
2008 ,"'K1 - Architecture' ","'Scotland' ","'Firm choice' ",505
2008 ,"'K1 - Architecture' ","'Scotland' ","'Insurance choice' ",25
2008 ,"'K1 - Architecture' ","'Scotland' ","'Other main scheme choice' ",25
2008 ,"'K1 - Architecture' ","'Scotland' ","'Extra' ",5
2008 ,"'K1 - Architecture' ","'Scotland' ","'Main scheme Clearing' ",25
2008 ,"'K1 - Architecture' ","'Scotland' ","'RPA' ",15
2008 ,"'K1 - Architecture' ","'Wales' ","'Firm choice' ",100
2008 ,"'K1 - Architecture' ","'Wales' ","'Insurance choice' ",5
2008 ,"'K1 - Architecture' ","'Wales' ","'Other main scheme choice' ",5
2008 ,"'K1 - Architecture' ","'Wales' ","'RPA' ",20
2008 ,"'K2 - Building' ","'England' ","'Firm choice' ",2105
2008 ,"'K2 - Building' ","'England' ","'Insurance choice' ",220
2008 ,"'K2 - Building' ","'England' ","'Other main scheme choice' ",175
2008 ,"'K2 - Building' ","'England' ","'Extra' ",45
2008 ,"'K2 - Building' ","'England' ","'Main scheme Clearing' ",265
2008 ,"'K2 - Building' ","'England' ","'Direct Clearing' ",140
2008 ,"'K2 - Building' ","'England' ","'RPA' ",375
2008 ,"'K2 - Building' ","'Northern Ireland' ","'Firm choice' ",320
2008 ,"'K2 - Building' ","'Northern Ireland' ","'Insurance choice' ",35
2008 ,"'K2 - Building' ","'Northern Ireland' ","'Other main scheme choice' ",5
2008 ,"'K2 - Building' ","'Northern Ireland' ","'Main scheme Clearing' ",5
2008 ,"'K2 - Building' ","'Scotland' ","'Firm choice' ",350
2008 ,"'K2 - Building' ","'Scotland' ","'Insurance choice' ",30
2008 ,"'K2 - Building' ","'Scotland' ","'Other main scheme choice' ",30
2008 ,"'K2 - Building' ","'Scotland' ","'Extra' ",5
2008 ,"'K2 - Building' ","'Scotland' ","'Main scheme Clearing' ",25
2008 ,"'K2 - Building' ","'Scotland' ","'Direct Clearing' ",25
2008 ,"'K2 - Building' ","'Scotland' ","'RPA' ",100
2008 ,"'K2 - Building' ","'Wales' ","'Firm choice' ",70
2008 ,"'K2 - Building' ","'Wales' ","'Insurance choice' ",5
2008 ,"'K2 - Building' ","'Wales' ","'Other main scheme choice' ",5
2008 ,"'K2 - Building' ","'Wales' ","'Main scheme Clearing' ",5
2008 ,"'K2 - Building' ","'Wales' ","'Direct Clearing' ",10
2008 ,"'K2 - Building' ","'Wales' ","'RPA' ",25
2008 ,"'K3 - Landscape & Garden Design' ","'England' ","'Firm choice' ",95
2008 ,"'K3 - Landscape & Garden Design' ","'England' ","'Insurance choice' ",5
2008 ,"'K3 - Landscape & Garden Design' ","'England' ","'Other main scheme choice' ",15
2008 ,"'K3 - Landscape & Garden Design' ","'England' ","'Main scheme Clearing' ",10
2008 ,"'K3 - Landscape & Garden Design' ","'England' ","'Direct Clearing' ",15
2008 ,"'K3 - Landscape & Garden Design' ","'England' ","'RPA' ",10
2008 ,"'K3 - Landscape & Garden Design' ","'Scotland' ","'Firm choice' ",20
2008 ,"'K4 - Planning (Urban,Rural and Regional)' ","'England' ","'Firm choice' ",585
2008 ,"'K4 - Planning (Urban,Rural and Regional)' ","'England' ","'Insurance choice' ",40
2008 ,"'K4 - Planning (Urban,Rural and Regional)' ","'England' ","'Other main scheme choice' ",20
2008 ,"'K4 - Planning (Urban,Rural and Regional)' ","'England' ","'Extra' ",5
2008 ,"'K4 - Planning (Urban,Rural and Regional)' ","'England' ","'Main scheme Clearing' ",55
2008 ,"'K4 - Planning (Urban,Rural and Regional)' ","'England' ","'Direct Clearing' ",25
2008 ,"'K4 - Planning (Urban,Rural and Regional)' ","'England' ","'RPA' ",70
2008 ,"'K4 - Planning (Urban,Rural and Regional)' ","'Northern Ireland' ","'Firm choice' ",65
2008 ,"'K4 - Planning (Urban,Rural and Regional)' ","'Northern Ireland' ","'Insurance choice' ",5
2008 ,"'K4 - Planning (Urban,Rural and Regional)' ","'Northern Ireland' ","'Main scheme Clearing' ",5
2008 ,"'K4 - Planning (Urban,Rural and Regional)' ","'Northern Ireland' ","'Direct Clearing' ",5
2008 ,"'K4 - Planning (Urban,Rural and Regional)' ","'Scotland' ","'Firm choice' ",80
2008 ,"'K4 - Planning (Urban,Rural and Regional)' ","'Scotland' ","'Insurance choice' ",5
2008 ,"'K4 - Planning (Urban,Rural and Regional)' ","'Scotland' ","'Other main scheme choice' ",5
2008 ,"'K4 - Planning (Urban,Rural and Regional)' ","'Scotland' ","'Main scheme Clearing' ",15
2008 ,"'K4 - Planning (Urban,Rural and Regional)' ","'Scotland' ","'Direct Clearing' ",5
2008 ,"'K4 - Planning (Urban,Rural and Regional)' ","'Scotland' ","'RPA' ",10
2008 ,"'K4 - Planning (Urban,Rural and Regional)' ","'Wales' ","'Firm choice' ",70
2008 ,"'K4 - Planning (Urban,Rural and Regional)' ","'Wales' ","'Extra' ",5
2008 ,"'K4 - Planning (Urban,Rural and Regional)' ","'Wales' ","'Direct Clearing' ",5
2008 ,"'K9 - Others in Architecture,Build & Plan' ","'England' ","'Firm choice' ",5
2008 ,"'K9 - Others in Architecture,Build & Plan' ","'England' ","'Extra' ",5
2008 ,"'KK - Combinations within Architecture,Build & Plan' ","'England' ","'Firm choice' ",230
2008 ,"'KK - Combinations within Architecture,Build & Plan' ","'England' ","'Insurance choice' ",15
2008 ,"'KK - Combinations within Architecture,Build & Plan' ","'England' ","'Other main scheme choice' ",10
2008 ,"'KK - Combinations within Architecture,Build & Plan' ","'England' ","'Extra' ",5
2008 ,"'KK - Combinations within Architecture,Build & Plan' ","'England' ","'Main scheme Clearing' ",20
2008 ,"'KK - Combinations within Architecture,Build & Plan' ","'England' ","'Direct Clearing' ",5
2008 ,"'KK - Combinations within Architecture,Build & Plan' ","'England' ","'RPA' ",20
2008 ,"'KK - Combinations within Architecture,Build & Plan' ","'Northern Ireland' ","'Firm choice' ",35
2008 ,"'KK - Combinations within Architecture,Build & Plan' ","'Northern Ireland' ","'Insurance choice' ",10
2008 ,"'L0 - Social Studies: any area of study' ","'England' ","'Firm choice' ",10
2008 ,"'L0 - Social Studies: any area of study' ","'England' ","'Other main scheme choice' ",5
2008 ,"'L0 - Social Studies: any area of study' ","'England' ","'Main scheme Clearing' ",5
2008 ,"'L0 - Social Studies: any area of study' ","'England' ","'Direct Clearing' ",5
2008 ,"'L0 - Social Studies: any area of study' ","'England' ","'RPA' ",20
2008 ,"'L1 - Economics' ","'England' ","'Firm choice' ",3995
2008 ,"'L1 - Economics' ","'England' ","'Insurance choice' ",675
2008 ,"'L1 - Economics' ","'England' ","'Other main scheme choice' ",135
2008 ,"'L1 - Economics' ","'England' ","'Extra' ",60
2008 ,"'L1 - Economics' ","'England' ","'Main scheme Clearing' ",590
2008 ,"'L1 - Economics' ","'England' ","'Direct Clearing' ",65
2008 ,"'L1 - Economics' ","'England' ","'RPA' ",175
2008 ,"'L1 - Economics' ","'Northern Ireland' ","'Firm choice' ",55
2008 ,"'L1 - Economics' ","'Northern Ireland' ","'Insurance choice' ",10
2008 ,"'L1 - Economics' ","'Northern Ireland' ","'Main scheme Clearing' ",5
2008 ,"'L1 - Economics' ","'Northern Ireland' ","'Direct Clearing' ",5
2008 ,"'L1 - Economics' ","'Scotland' ","'Firm choice' ",250
2008 ,"'L1 - Economics' ","'Scotland' ","'Insurance choice' ",30
2008 ,"'L1 - Economics' ","'Scotland' ","'Other main scheme choice' ",15
2008 ,"'L1 - Economics' ","'Scotland' ","'Extra' ",5
2008 ,"'L1 - Economics' ","'Scotland' ","'Main scheme Clearing' ",20
2008 ,"'L1 - Economics' ","'Scotland' ","'Direct Clearing' ",5
2008 ,"'L1 - Economics' ","'Scotland' ","'RPA' ",60
2008 ,"'L1 - Economics' ","'Wales' ","'Firm choice' ",130
2008 ,"'L1 - Economics' ","'Wales' ","'Insurance choice' ",20
2008 ,"'L1 - Economics' ","'Wales' ","'Other main scheme choice' ",5
2008 ,"'L1 - Economics' ","'Wales' ","'Extra' ",5
2008 ,"'L1 - Economics' ","'Wales' ","'Main scheme Clearing' ",20
2008 ,"'L1 - Economics' ","'Wales' ","'Direct Clearing' ",5
2008 ,"'L1 - Economics' ","'Wales' ","'RPA' ",30
2008 ,"'L2 - Politics' ","'England' ","'Firm choice' ",2760
2008 ,"'L2 - Politics' ","'England' ","'Insurance choice' ",335
2008 ,"'L2 - Politics' ","'England' ","'Other main scheme choice' ",125
2008 ,"'L2 - Politics' ","'England' ","'Extra' ",50
2008 ,"'L2 - Politics' ","'England' ","'Main scheme Clearing' ",325
2008 ,"'L2 - Politics' ","'England' ","'Direct Clearing' ",80
2008 ,"'L2 - Politics' ","'England' ","'RPA' ",195
2008 ,"'L2 - Politics' ","'Northern Ireland' ","'Firm choice' ",50
2008 ,"'L2 - Politics' ","'Northern Ireland' ","'Insurance choice' ",30
2008 ,"'L2 - Politics' ","'Northern Ireland' ","'Other main scheme choice' ",5
2008 ,"'L2 - Politics' ","'Northern Ireland' ","'Main scheme Clearing' ",10
2008 ,"'L2 - Politics' ","'Northern Ireland' ","'Direct Clearing' ",5
2008 ,"'L2 - Politics' ","'Scotland' ","'Firm choice' ",305
2008 ,"'L2 - Politics' ","'Scotland' ","'Insurance choice' ",35
2008 ,"'L2 - Politics' ","'Scotland' ","'Other main scheme choice' ",5
2008 ,"'L2 - Politics' ","'Scotland' ","'Extra' ",5
2008 ,"'L2 - Politics' ","'Scotland' ","'Main scheme Clearing' ",15
2008 ,"'L2 - Politics' ","'Scotland' ","'RPA' ",10
2008 ,"'L2 - Politics' ","'Wales' ","'Firm choice' ",190
2008 ,"'L2 - Politics' ","'Wales' ","'Insurance choice' ",15
2008 ,"'L2 - Politics' ","'Wales' ","'Other main scheme choice' ",10
2008 ,"'L2 - Politics' ","'Wales' ","'Main scheme Clearing' ",15
2008 ,"'L2 - Politics' ","'Wales' ","'RPA' ",20
2008 ,"'L3 - Sociology' ","'England' ","'Firm choice' ",2355
2008 ,"'L3 - Sociology' ","'England' ","'Insurance choice' ",215
2008 ,"'L3 - Sociology' ","'England' ","'Other main scheme choice' ",105
2008 ,"'L3 - Sociology' ","'England' ","'Extra' ",65
2008 ,"'L3 - Sociology' ","'England' ","'Main scheme Clearing' ",365
2008 ,"'L3 - Sociology' ","'England' ","'Direct Clearing' ",115
2008 ,"'L3 - Sociology' ","'England' ","'RPA' ",240
2008 ,"'L3 - Sociology' ","'Northern Ireland' ","'Firm choice' ",65
2008 ,"'L3 - Sociology' ","'Northern Ireland' ","'Insurance choice' ",20
2008 ,"'L3 - Sociology' ","'Northern Ireland' ","'Main scheme Clearing' ",5
2008 ,"'L3 - Sociology' ","'Northern Ireland' ","'Direct Clearing' ",5
2008 ,"'L3 - Sociology' ","'Scotland' ","'Firm choice' ",435
2008 ,"'L3 - Sociology' ","'Scotland' ","'Insurance choice' ",80
2008 ,"'L3 - Sociology' ","'Scotland' ","'Other main scheme choice' ",50
2008 ,"'L3 - Sociology' ","'Scotland' ","'Extra' ",10
2008 ,"'L3 - Sociology' ","'Scotland' ","'Main scheme Clearing' ",75
2008 ,"'L3 - Sociology' ","'Scotland' ","'Direct Clearing' ",10
2008 ,"'L3 - Sociology' ","'Scotland' ","'RPA' ",110
2008 ,"'L3 - Sociology' ","'Wales' ","'Firm choice' ",155
2008 ,"'L3 - Sociology' ","'Wales' ","'Insurance choice' ",10
2008 ,"'L3 - Sociology' ","'Wales' ","'Extra' ",5
2008 ,"'L3 - Sociology' ","'Wales' ","'Main scheme Clearing' ",20
2008 ,"'L3 - Sociology' ","'Wales' ","'Direct Clearing' ",10
2008 ,"'L3 - Sociology' ","'Wales' ","'RPA' ",10
2008 ,"'L4 - Social Policy' ","'England' ","'Firm choice' ",610
2008 ,"'L4 - Social Policy' ","'England' ","'Insurance choice' ",25
2008 ,"'L4 - Social Policy' ","'England' ","'Other main scheme choice' ",45
2008 ,"'L4 - Social Policy' ","'England' ","'Extra' ",20
2008 ,"'L4 - Social Policy' ","'England' ","'Main scheme Clearing' ",90
2008 ,"'L4 - Social Policy' ","'England' ","'Direct Clearing' ",35
2008 ,"'L4 - Social Policy' ","'England' ","'RPA' ",130
2008 ,"'L4 - Social Policy' ","'Northern Ireland' ","'Firm choice' ",40
2008 ,"'L4 - Social Policy' ","'Northern Ireland' ","'Insurance choice' ",10
2008 ,"'L4 - Social Policy' ","'Northern Ireland' ","'Main scheme Clearing' ",5
2008 ,"'L4 - Social Policy' ","'Scotland' ","'Firm choice' ",20
2008 ,"'L4 - Social Policy' ","'Scotland' ","'Insurance choice' ",5
2008 ,"'L4 - Social Policy' ","'Scotland' ","'RPA' ",5
2008 ,"'L4 - Social Policy' ","'Wales' ","'Firm choice' ",95
2008 ,"'L4 - Social Policy' ","'Wales' ","'Other main scheme choice' ",10
2008 ,"'L4 - Social Policy' ","'Wales' ","'Main scheme Clearing' ",15
2008 ,"'L4 - Social Policy' ","'Wales' ","'Direct Clearing' ",5
2008 ,"'L4 - Social Policy' ","'Wales' ","'RPA' ",25
2008 ,"'L5 - Social Work' ","'England' ","'Firm choice' ",5765
2008 ,"'L5 - Social Work' ","'England' ","'Insurance choice' ",140
2008 ,"'L5 - Social Work' ","'England' ","'Other main scheme choice' ",545
2008 ,"'L5 - Social Work' ","'England' ","'Extra' ",105
2008 ,"'L5 - Social Work' ","'England' ","'Main scheme Clearing' ",695
2008 ,"'L5 - Social Work' ","'England' ","'Direct Clearing' ",275
2008 ,"'L5 - Social Work' ","'England' ","'RPA' ",815
2008 ,"'L5 - Social Work' ","'Northern Ireland' ","'Firm choice' ",285
2008 ,"'L5 - Social Work' ","'Northern Ireland' ","'Insurance choice' ",10
2008 ,"'L5 - Social Work' ","'Northern Ireland' ","'Other main scheme choice' ",5
2008 ,"'L5 - Social Work' ","'Northern Ireland' ","'Main scheme Clearing' ",70
2008 ,"'L5 - Social Work' ","'Scotland' ","'Firm choice' ",500
2008 ,"'L5 - Social Work' ","'Scotland' ","'Insurance choice' ",5
2008 ,"'L5 - Social Work' ","'Scotland' ","'Other main scheme choice' ",40
2008 ,"'L5 - Social Work' ","'Scotland' ","'Extra' ",5
2008 ,"'L5 - Social Work' ","'Scotland' ","'Main scheme Clearing' ",25
2008 ,"'L5 - Social Work' ","'Scotland' ","'Direct Clearing' ",20
2008 ,"'L5 - Social Work' ","'Scotland' ","'RPA' ",185
2008 ,"'L5 - Social Work' ","'Wales' ","'Firm choice' ",330
2008 ,"'L5 - Social Work' ","'Wales' ","'Other main scheme choice' ",20
2008 ,"'L5 - Social Work' ","'Wales' ","'Extra' ",10
2008 ,"'L5 - Social Work' ","'Wales' ","'Main scheme Clearing' ",40
2008 ,"'L5 - Social Work' ","'Wales' ","'Direct Clearing' ",40
2008 ,"'L5 - Social Work' ","'Wales' ","'RPA' ",125
2008 ,"'L6 - Anthropology' ","'England' ","'Firm choice' ",455
2008 ,"'L6 - Anthropology' ","'England' ","'Insurance choice' ",30
2008 ,"'L6 - Anthropology' ","'England' ","'Other main scheme choice' ",20
2008 ,"'L6 - Anthropology' ","'England' ","'Extra' ",10
2008 ,"'L6 - Anthropology' ","'England' ","'Main scheme Clearing' ",55
2008 ,"'L6 - Anthropology' ","'England' ","'Direct Clearing' ",5
2008 ,"'L6 - Anthropology' ","'England' ","'RPA' ",20
2008 ,"'L6 - Anthropology' ","'Northern Ireland' ","'Firm choice' ",10
2008 ,"'L6 - Anthropology' ","'Scotland' ","'Firm choice' ",70
2008 ,"'L6 - Anthropology' ","'Scotland' ","'Insurance choice' ",5
2008 ,"'L6 - Anthropology' ","'Wales' ","'Firm choice' ",5
2008 ,"'L7 - Human and Social Geography' ","'England' ","'Firm choice' ",1935
2008 ,"'L7 - Human and Social Geography' ","'England' ","'Insurance choice' ",180
2008 ,"'L7 - Human and Social Geography' ","'England' ","'Other main scheme choice' ",5
2008 ,"'L7 - Human and Social Geography' ","'England' ","'Extra' ",15
2008 ,"'L7 - Human and Social Geography' ","'England' ","'Main scheme Clearing' ",125
2008 ,"'L7 - Human and Social Geography' ","'England' ","'Direct Clearing' ",20
2008 ,"'L7 - Human and Social Geography' ","'England' ","'RPA' ",25
2008 ,"'L7 - Human and Social Geography' ","'Scotland' ","'Firm choice' ",180
2008 ,"'L7 - Human and Social Geography' ","'Scotland' ","'Insurance choice' ",10
2008 ,"'L7 - Human and Social Geography' ","'Scotland' ","'Other main scheme choice' ",5
2008 ,"'L7 - Human and Social Geography' ","'Scotland' ","'Main scheme Clearing' ",10
2008 ,"'L7 - Human and Social Geography' ","'Wales' ","'Firm choice' ",75
2008 ,"'L7 - Human and Social Geography' ","'Wales' ","'Insurance choice' ",5
2008 ,"'L7 - Human and Social Geography' ","'Wales' ","'Other main scheme choice' ",5
2008 ,"'L7 - Human and Social Geography' ","'Wales' ","'Main scheme Clearing' ",5
2008 ,"'L7 - Human and Social Geography' ","'Wales' ","'RPA' ",5
2008 ,"'L9 - Others in Social Studies' ","'England' ","'Firm choice' ",380
2008 ,"'L9 - Others in Social Studies' ","'England' ","'Insurance choice' ",20
2008 ,"'L9 - Others in Social Studies' ","'England' ","'Other main scheme choice' ",30
2008 ,"'L9 - Others in Social Studies' ","'England' ","'Extra' ",15
2008 ,"'L9 - Others in Social Studies' ","'England' ","'Main scheme Clearing' ",55
2008 ,"'L9 - Others in Social Studies' ","'England' ","'Direct Clearing' ",10
2008 ,"'L9 - Others in Social Studies' ","'England' ","'RPA' ",85
2008 ,"'LL - Combinations within Social Studies' ","'England' ","'Firm choice' ",1685
2008 ,"'LL - Combinations within Social Studies' ","'England' ","'Insurance choice' ",155
2008 ,"'LL - Combinations within Social Studies' ","'England' ","'Other main scheme choice' ",75
2008 ,"'LL - Combinations within Social Studies' ","'England' ","'Extra' ",35
2008 ,"'LL - Combinations within Social Studies' ","'England' ","'Main scheme Clearing' ",180
2008 ,"'LL - Combinations within Social Studies' ","'England' ","'Direct Clearing' ",60
2008 ,"'LL - Combinations within Social Studies' ","'England' ","'RPA' ",140
2008 ,"'LL - Combinations within Social Studies' ","'Northern Ireland' ","'Firm choice' ",65
2008 ,"'LL - Combinations within Social Studies' ","'Northern Ireland' ","'Insurance choice' ",5
2008 ,"'LL - Combinations within Social Studies' ","'Northern Ireland' ","'Extra' ",5
2008 ,"'LL - Combinations within Social Studies' ","'Northern Ireland' ","'Main scheme Clearing' ",5
2008 ,"'LL - Combinations within Social Studies' ","'Scotland' ","'Firm choice' ",300
2008 ,"'LL - Combinations within Social Studies' ","'Scotland' ","'Insurance choice' ",25
2008 ,"'LL - Combinations within Social Studies' ","'Scotland' ","'Other main scheme choice' ",10
2008 ,"'LL - Combinations within Social Studies' ","'Scotland' ","'Main scheme Clearing' ",15
2008 ,"'LL - Combinations within Social Studies' ","'Scotland' ","'RPA' ",20
2008 ,"'LL - Combinations within Social Studies' ","'Wales' ","'Firm choice' ",70
2008 ,"'LL - Combinations within Social Studies' ","'Wales' ","'Insurance choice' ",5
2008 ,"'LL - Combinations within Social Studies' ","'Wales' ","'Other main scheme choice' ",5
2008 ,"'LL - Combinations within Social Studies' ","'Wales' ","'Main scheme Clearing' ",5
2008 ,"'LL - Combinations within Social Studies' ","'Wales' ","'Direct Clearing' ",5
2008 ,"'LL - Combinations within Social Studies' ","'Wales' ","'RPA' ",5
2008 ,"'M1 - Law by Area' ","'England' ","'Firm choice' ",9820
2008 ,"'M1 - Law by Area' ","'England' ","'Insurance choice' ",1335
2008 ,"'M1 - Law by Area' ","'England' ","'Other main scheme choice' ",405
2008 ,"'M1 - Law by Area' ","'England' ","'Extra' ",165
2008 ,"'M1 - Law by Area' ","'England' ","'Main scheme Clearing' ",1355
2008 ,"'M1 - Law by Area' ","'England' ","'Direct Clearing' ",250
2008 ,"'M1 - Law by Area' ","'England' ","'RPA' ",785
2008 ,"'M1 - Law by Area' ","'Northern Ireland' ","'Firm choice' ",315
2008 ,"'M1 - Law by Area' ","'Northern Ireland' ","'Insurance choice' ",45
2008 ,"'M1 - Law by Area' ","'Northern Ireland' ","'Main scheme Clearing' ",15
2008 ,"'M1 - Law by Area' ","'Northern Ireland' ","'Direct Clearing' ",10
2008 ,"'M1 - Law by Area' ","'Scotland' ","'Firm choice' ",925
2008 ,"'M1 - Law by Area' ","'Scotland' ","'Insurance choice' ",70
2008 ,"'M1 - Law by Area' ","'Scotland' ","'Other main scheme choice' ",65
2008 ,"'M1 - Law by Area' ","'Scotland' ","'Extra' ",5
2008 ,"'M1 - Law by Area' ","'Scotland' ","'Main scheme Clearing' ",55
2008 ,"'M1 - Law by Area' ","'Scotland' ","'Direct Clearing' ",40
2008 ,"'M1 - Law by Area' ","'Scotland' ","'RPA' ",65
2008 ,"'M1 - Law by Area' ","'Wales' ","'Firm choice' ",600
2008 ,"'M1 - Law by Area' ","'Wales' ","'Insurance choice' ",65
2008 ,"'M1 - Law by Area' ","'Wales' ","'Other main scheme choice' ",30
2008 ,"'M1 - Law by Area' ","'Wales' ","'Extra' ",5
2008 ,"'M1 - Law by Area' ","'Wales' ","'Main scheme Clearing' ",40
2008 ,"'M1 - Law by Area' ","'Wales' ","'Direct Clearing' ",10
2008 ,"'M1 - Law by Area' ","'Wales' ","'RPA' ",95
2008 ,"'M2 - Law by Topic' ","'England' ","'Firm choice' ",590
2008 ,"'M2 - Law by Topic' ","'England' ","'Insurance choice' ",65
2008 ,"'M2 - Law by Topic' ","'England' ","'Other main scheme choice' ",45
2008 ,"'M2 - Law by Topic' ","'England' ","'Extra' ",15
2008 ,"'M2 - Law by Topic' ","'England' ","'Main scheme Clearing' ",110
2008 ,"'M2 - Law by Topic' ","'England' ","'Direct Clearing' ",35
