"Statistic:   Number of Acceptances"
"Variables:   Deferred Status , Applicant Domicile (UK / EU / Not EU) , Acceptance Route , Cycle Year"
"Coverage:   All"
"For a list of key definitions and descriptions please refer to the PDF file provided - EOC_data_resource_2016-DR3_002_07.pdf"
 
Cycle Year,Deferred Status , Applicant Domicile (UK / EU / Not EU) , Acceptance Route,Number of Acceptances,
2006 ,"'Deferred' ","'UK' ","'Firm choice' ",21255
2014 ,"'Not deferred' ","'UK' ","'Insurance choice' ",28515
2014 ,"'Not deferred' ","'UK' ","'Other main scheme choice' ",9790
2014 ,"'Not deferred' ","'UK' ","'Extra' ",6580
2014 ,"'Not deferred' ","'UK' ","'Adjustment' ",1025
2014 ,"'Not deferred' ","'UK' ","'Main scheme Clearing' ",41500
2014 ,"'Not deferred' ","'UK' ","'Direct Clearing' ",12560
2014 ,"'Not deferred' ","'UK' ","'RPA' ",14985
2014 ,"'Not deferred' ","'EU (excluding UK)' ","'Firm choice' ",19215
2014 ,"'Not deferred' ","'EU (excluding UK)' ","'Insurance choice' ",1775
2014 ,"'Not deferred' ","'EU (excluding UK)' ","'Other main scheme choice' ",1030
2014 ,"'Not deferred' ","'EU (excluding UK)' ","'Extra' ",360
2014 ,"'Not deferred' ","'EU (excluding UK)' ","'Adjustment' ",35
2014 ,"'Not deferred' ","'EU (excluding UK)' ","'Main scheme Clearing' ",1445
2014 ,"'Not deferred' ","'EU (excluding UK)' ","'Direct Clearing' ",495
2014 ,"'Not deferred' ","'EU (excluding UK)' ","'RPA' ",610
2014 ,"'Not deferred' ","'Not EU' ","'Firm choice' ",22905
2014 ,"'Not deferred' ","'Not EU' ","'Insurance choice' ",3245
2014 ,"'Not deferred' ","'Not EU' ","'Other main scheme choice' ",2000
2014 ,"'Not deferred' ","'Not EU' ","'Extra' ",410
2014 ,"'Not deferred' ","'Not EU' ","'Adjustment' ",85
2014 ,"'Not deferred' ","'Not EU' ","'Main scheme Clearing' ",3225
2014 ,"'Not deferred' ","'Not EU' ","'Direct Clearing' ",525
2014 ,"'Not deferred' ","'Not EU' ","'RPA' ",3960
2015 ,"'Deferred' ","'UK' ","'Firm choice' ",19720
2015 ,"'Deferred' ","'UK' ","'Insurance choice' ",3245
2015 ,"'Deferred' ","'UK' ","'Other main scheme choice' ",450
2015 ,"'Deferred' ","'UK' ","'Extra' ",270
2015 ,"'Deferred' ","'UK' ","'Adjustment' ",20
2015 ,"'Deferred' ","'UK' ","'Main scheme Clearing' ",1115
2015 ,"'Deferred' ","'UK' ","'Direct Clearing' ",195
2015 ,"'Deferred' ","'UK' ","'RPA' ",160
2015 ,"'Deferred' ","'EU (excluding UK)' ","'Firm choice' ",1190
2015 ,"'Deferred' ","'EU (excluding UK)' ","'Insurance choice' ",160
2015 ,"'Deferred' ","'EU (excluding UK)' ","'Other main scheme choice' ",65
2015 ,"'Deferred' ","'EU (excluding UK)' ","'Extra' ",20
2015 ,"'Deferred' ","'EU (excluding UK)' ","'Main scheme Clearing' ",45
2015 ,"'Deferred' ","'EU (excluding UK)' ","'Direct Clearing' ",20
2015 ,"'Deferred' ","'EU (excluding UK)' ","'RPA' ",15
2015 ,"'Deferred' ","'Not EU' ","'Firm choice' ",1605
2015 ,"'Deferred' ","'Not EU' ","'Insurance choice' ",160
2015 ,"'Deferred' ","'Not EU' ","'Other main scheme choice' ",170
2015 ,"'Deferred' ","'Not EU' ","'Extra' ",20
2015 ,"'Deferred' ","'Not EU' ","'Main scheme Clearing' ",100
2015 ,"'Deferred' ","'Not EU' ","'Direct Clearing' ",25
2015 ,"'Deferred' ","'Not EU' ","'RPA' ",40
2015 ,"'Not deferred' ","'UK' ","'Firm choice' ",315980
2015 ,"'Not deferred' ","'UK' ","'Insurance choice' ",30410
2015 ,"'Not deferred' ","'UK' ","'Other main scheme choice' ",9850
2015 ,"'Not deferred' ","'UK' ","'Extra' ",6400
2015 ,"'Not deferred' ","'UK' ","'Adjustment' ",1005
2015 ,"'Not deferred' ","'UK' ","'Main scheme Clearing' ",43310
2015 ,"'Not deferred' ","'UK' ","'Direct Clearing' ",13845
2015 ,"'Not deferred' ","'UK' ","'RPA' ",17730
2015 ,"'Not deferred' ","'EU (excluding UK)' ","'Firm choice' ",21325
2015 ,"'Not deferred' ","'EU (excluding UK)' ","'Insurance choice' ",2080
2015 ,"'Not deferred' ","'EU (excluding UK)' ","'Other main scheme choice' ",1045
2015 ,"'Not deferred' ","'EU (excluding UK)' ","'Extra' ",395
2015 ,"'Not deferred' ","'EU (excluding UK)' ","'Adjustment' ",35
2015 ,"'Not deferred' ","'EU (excluding UK)' ","'Main scheme Clearing' ",1560
2015 ,"'Not deferred' ","'EU (excluding UK)' ","'Direct Clearing' ",515
2015 ,"'Not deferred' ","'EU (excluding UK)' ","'RPA' ",830
2015 ,"'Not deferred' ","'Not EU' ","'Firm choice' ",24310
2015 ,"'Not deferred' ","'Not EU' ","'Insurance choice' ",3430
2015 ,"'Not deferred' ","'Not EU' ","'Other main scheme choice' ",1800
2015 ,"'Not deferred' ","'Not EU' ","'Extra' ",385
2015 ,"'Not deferred' ","'Not EU' ","'Adjustment' ",70
2015 ,"'Not deferred' ","'Not EU' ","'Main scheme Clearing' ",3005
2015 ,"'Not deferred' ","'Not EU' ","'Direct Clearing' ",610
2015 ,"'Not deferred' ","'Not EU' ","'RPA' ",3525
2016 ,"'Deferred' ","'UK' ","'Firm choice' ",20065
2016 ,"'Deferred' ","'UK' ","'Insurance choice' ",3290
2016 ,"'Deferred' ","'UK' ","'Other main scheme choice' ",450
2016 ,"'Deferred' ","'UK' ","'Extra' ",300
2016 ,"'Deferred' ","'UK' ","'Adjustment' ",20
2016 ,"'Deferred' ","'UK' ","'Main scheme Clearing' ",1110
2016 ,"'Deferred' ","'UK' ","'Direct Clearing' ",160
2016 ,"'Deferred' ","'UK' ","'RPA' ",175
2016 ,"'Deferred' ","'EU (excluding UK)' ","'Firm choice' ",1215
2016 ,"'Deferred' ","'EU (excluding UK)' ","'Insurance choice' ",145
2016 ,"'Deferred' ","'EU (excluding UK)' ","'Other main scheme choice' ",35
2016 ,"'Deferred' ","'EU (excluding UK)' ","'Extra' ",15
2016 ,"'Deferred' ","'EU (excluding UK)' ","'Main scheme Clearing' ",45
2016 ,"'Deferred' ","'EU (excluding UK)' ","'Direct Clearing' ",10
2016 ,"'Deferred' ","'EU (excluding UK)' ","'RPA' ",5
2016 ,"'Deferred' ","'Not EU' ","'Firm choice' ",1460
2016 ,"'Deferred' ","'Not EU' ","'Insurance choice' ",155
2016 ,"'Deferred' ","'Not EU' ","'Other main scheme choice' ",185
2016 ,"'Deferred' ","'Not EU' ","'Extra' ",25
2016 ,"'Deferred' ","'Not EU' ","'Main scheme Clearing' ",75
2016 ,"'Deferred' ","'Not EU' ","'Direct Clearing' ",35
2016 ,"'Deferred' ","'Not EU' ","'RPA' ",40
2016 ,"'Not deferred' ","'UK' ","'Firm choice' ",317000
2016 ,"'Not deferred' ","'UK' ","'Insurance choice' ",30310
2016 ,"'Not deferred' ","'UK' ","'Other main scheme choice' ",10850
2016 ,"'Not deferred' ","'UK' ","'Extra' ",6370
2016 ,"'Not deferred' ","'UK' ","'Adjustment' ",770
2016 ,"'Not deferred' ","'UK' ","'Main scheme Clearing' ",44100
2016 ,"'Not deferred' ","'UK' ","'Direct Clearing' ",13600
2016 ,"'Not deferred' ","'UK' ","'RPA' ",16905
2016 ,"'Not deferred' ","'EU (excluding UK)' ","'Firm choice' ",23150
2016 ,"'Not deferred' ","'EU (excluding UK)' ","'Insurance choice' ",2130
2016 ,"'Not deferred' ","'EU (excluding UK)' ","'Other main scheme choice' ",1210
2016 ,"'Not deferred' ","'EU (excluding UK)' ","'Extra' ",400
2016 ,"'Not deferred' ","'EU (excluding UK)' ","'Adjustment' ",40
2016 ,"'Not deferred' ","'EU (excluding UK)' ","'Main scheme Clearing' ",1565
2016 ,"'Not deferred' ","'EU (excluding UK)' ","'Direct Clearing' ",460
2016 ,"'Not deferred' ","'EU (excluding UK)' ","'RPA' ",925
2016 ,"'Not deferred' ","'Not EU' ","'Firm choice' ",23455
2016 ,"'Not deferred' ","'Not EU' ","'Insurance choice' ",3475
2016 ,"'Not deferred' ","'Not EU' ","'Other main scheme choice' ",1785
2016 ,"'Not deferred' ","'Not EU' ","'Extra' ",375
2016 ,"'Not deferred' ","'Not EU' ","'Adjustment' ",60
2016 ,"'Not deferred' ","'Not EU' ","'Main scheme Clearing' ",3125
2016 ,"'Not deferred' ","'Not EU' ","'Direct Clearing' ",590
2016 ,"'Not deferred' ","'Not EU' ","'RPA' ",3500
