"Statistic:   Number of Acceptances"
"Variables:   Subject Group (Summary Level) , Age Band , Sex , Acceptance Route , Cycle Year"
"Coverage:   All"
"For a list of key definitions and descriptions please refer to the PDF file provided - EOC_data_resource_2016-DR3_020_07.pdf"
 
Cycle Year,Subject Group (Summary Level) , Age Band , Sex , Acceptance Route,Number of Acceptances,
2007 ,"'Group A Medicine and Dentistry' ","'17 and under' ","'Men' ","'Firm choice' ",35
2008 ,"'Group M Law' ","'21 and over' ","'Women' ","'Firm choice' ",1260
2008 ,"'Group M Law' ","'21 and over' ","'Women' ","'Insurance choice' ",45
2008 ,"'Group M Law' ","'21 and over' ","'Women' ","'Other main scheme choice' ",210
2008 ,"'Group M Law' ","'21 and over' ","'Women' ","'Extra' ",15
2008 ,"'Group M Law' ","'21 and over' ","'Women' ","'Main scheme Clearing' ",125
2008 ,"'Group M Law' ","'21 and over' ","'Women' ","'Direct Clearing' ",125
2008 ,"'Group M Law' ","'21 and over' ","'Women' ","'RPA' ",430
2008 ,"'Group N Business and Admin studies' ","'17 and under' ","'Men' ","'Firm choice' ",170
2008 ,"'Group N Business and Admin studies' ","'17 and under' ","'Men' ","'Insurance choice' ",50
2008 ,"'Group N Business and Admin studies' ","'17 and under' ","'Men' ","'Other main scheme choice' ",20
2008 ,"'Group N Business and Admin studies' ","'17 and under' ","'Men' ","'Extra' ",5
2008 ,"'Group N Business and Admin studies' ","'17 and under' ","'Men' ","'Main scheme Clearing' ",35
2008 ,"'Group N Business and Admin studies' ","'17 and under' ","'Men' ","'Direct Clearing' ",5
2008 ,"'Group N Business and Admin studies' ","'17 and under' ","'Men' ","'RPA' ",40
2008 ,"'Group N Business and Admin studies' ","'17 and under' ","'Women' ","'Firm choice' ",270
2008 ,"'Group N Business and Admin studies' ","'17 and under' ","'Women' ","'Insurance choice' ",50
2008 ,"'Group N Business and Admin studies' ","'17 and under' ","'Women' ","'Other main scheme choice' ",20
2008 ,"'Group N Business and Admin studies' ","'17 and under' ","'Women' ","'Extra' ",5
2008 ,"'Group N Business and Admin studies' ","'17 and under' ","'Women' ","'Main scheme Clearing' ",45
2008 ,"'Group N Business and Admin studies' ","'17 and under' ","'Women' ","'Direct Clearing' ",5
2008 ,"'Group N Business and Admin studies' ","'17 and under' ","'Women' ","'RPA' ",55
2008 ,"'Group N Business and Admin studies' ","'18' ","'Men' ","'Firm choice' ",8490
2008 ,"'Group N Business and Admin studies' ","'18' ","'Men' ","'Insurance choice' ",1480
2008 ,"'Group N Business and Admin studies' ","'18' ","'Men' ","'Other main scheme choice' ",130
2008 ,"'Group N Business and Admin studies' ","'18' ","'Men' ","'Extra' ",130
2008 ,"'Group N Business and Admin studies' ","'18' ","'Men' ","'Main scheme Clearing' ",1235
2008 ,"'Group N Business and Admin studies' ","'18' ","'Men' ","'Direct Clearing' ",95
2008 ,"'Group N Business and Admin studies' ","'18' ","'Men' ","'RPA' ",370
2008 ,"'Group N Business and Admin studies' ","'18' ","'Women' ","'Firm choice' ",8950
2008 ,"'Group N Business and Admin studies' ","'18' ","'Women' ","'Insurance choice' ",1270
2008 ,"'Group N Business and Admin studies' ","'18' ","'Women' ","'Other main scheme choice' ",130
2008 ,"'Group N Business and Admin studies' ","'18' ","'Women' ","'Extra' ",175
2008 ,"'Group N Business and Admin studies' ","'18' ","'Women' ","'Main scheme Clearing' ",1105
2008 ,"'Group N Business and Admin studies' ","'18' ","'Women' ","'Direct Clearing' ",75
2008 ,"'Group N Business and Admin studies' ","'18' ","'Women' ","'RPA' ",290
2008 ,"'Group N Business and Admin studies' ","'19' ","'Men' ","'Firm choice' ",4000
2008 ,"'Group N Business and Admin studies' ","'19' ","'Men' ","'Insurance choice' ",490
2008 ,"'Group N Business and Admin studies' ","'19' ","'Men' ","'Other main scheme choice' ",235
2008 ,"'Group N Business and Admin studies' ","'19' ","'Men' ","'Extra' ",70
2008 ,"'Group N Business and Admin studies' ","'19' ","'Men' ","'Main scheme Clearing' ",660
2008 ,"'Group N Business and Admin studies' ","'19' ","'Men' ","'Direct Clearing' ",205
2008 ,"'Group N Business and Admin studies' ","'19' ","'Men' ","'RPA' ",510
2008 ,"'Group N Business and Admin studies' ","'19' ","'Women' ","'Firm choice' ",3755
2008 ,"'Group N Business and Admin studies' ","'19' ","'Women' ","'Insurance choice' ",355
2008 ,"'Group N Business and Admin studies' ","'19' ","'Women' ","'Other main scheme choice' ",235
2008 ,"'Group N Business and Admin studies' ","'19' ","'Women' ","'Extra' ",85
2008 ,"'Group N Business and Admin studies' ","'19' ","'Women' ","'Main scheme Clearing' ",490
2008 ,"'Group N Business and Admin studies' ","'19' ","'Women' ","'Direct Clearing' ",155
2008 ,"'Group N Business and Admin studies' ","'19' ","'Women' ","'RPA' ",440
2008 ,"'Group N Business and Admin studies' ","'20' ","'Men' ","'Firm choice' ",1830
2008 ,"'Group N Business and Admin studies' ","'20' ","'Men' ","'Insurance choice' ",155
2008 ,"'Group N Business and Admin studies' ","'20' ","'Men' ","'Other main scheme choice' ",255
2008 ,"'Group N Business and Admin studies' ","'20' ","'Men' ","'Extra' ",30
2008 ,"'Group N Business and Admin studies' ","'20' ","'Men' ","'Main scheme Clearing' ",270
2008 ,"'Group N Business and Admin studies' ","'20' ","'Men' ","'Direct Clearing' ",165
2008 ,"'Group N Business and Admin studies' ","'20' ","'Men' ","'RPA' ",575
2008 ,"'Group N Business and Admin studies' ","'20' ","'Women' ","'Firm choice' ",1660
2008 ,"'Group N Business and Admin studies' ","'20' ","'Women' ","'Insurance choice' ",145
2008 ,"'Group N Business and Admin studies' ","'20' ","'Women' ","'Other main scheme choice' ",210
2008 ,"'Group N Business and Admin studies' ","'20' ","'Women' ","'Extra' ",30
2008 ,"'Group N Business and Admin studies' ","'20' ","'Women' ","'Main scheme Clearing' ",255
2008 ,"'Group N Business and Admin studies' ","'20' ","'Women' ","'Direct Clearing' ",125
2008 ,"'Group N Business and Admin studies' ","'20' ","'Women' ","'RPA' ",530
2008 ,"'Group N Business and Admin studies' ","'21 and over' ","'Men' ","'Firm choice' ",2570
2008 ,"'Group N Business and Admin studies' ","'21 and over' ","'Men' ","'Insurance choice' ",115
2008 ,"'Group N Business and Admin studies' ","'21 and over' ","'Men' ","'Other main scheme choice' ",780
2008 ,"'Group N Business and Admin studies' ","'21 and over' ","'Men' ","'Extra' ",40
2008 ,"'Group N Business and Admin studies' ","'21 and over' ","'Men' ","'Main scheme Clearing' ",350
2008 ,"'Group N Business and Admin studies' ","'21 and over' ","'Men' ","'Direct Clearing' ",430
2008 ,"'Group N Business and Admin studies' ","'21 and over' ","'Men' ","'RPA' ",2090
2008 ,"'Group N Business and Admin studies' ","'21 and over' ","'Women' ","'Firm choice' ",2610
2008 ,"'Group N Business and Admin studies' ","'21 and over' ","'Women' ","'Insurance choice' ",120
2008 ,"'Group N Business and Admin studies' ","'21 and over' ","'Women' ","'Other main scheme choice' ",645
2008 ,"'Group N Business and Admin studies' ","'21 and over' ","'Women' ","'Extra' ",40
2008 ,"'Group N Business and Admin studies' ","'21 and over' ","'Women' ","'Main scheme Clearing' ",310
2008 ,"'Group N Business and Admin studies' ","'21 and over' ","'Women' ","'Direct Clearing' ",310
2008 ,"'Group N Business and Admin studies' ","'21 and over' ","'Women' ","'RPA' ",1930
2008 ,"'Group P Mass Communication and Documentation' ","'17 and under' ","'Men' ","'Firm choice' ",10
2008 ,"'Group P Mass Communication and Documentation' ","'17 and under' ","'Men' ","'Insurance choice' ",5
2008 ,"'Group P Mass Communication and Documentation' ","'17 and under' ","'Women' ","'Firm choice' ",35
2008 ,"'Group P Mass Communication and Documentation' ","'17 and under' ","'Women' ","'Insurance choice' ",5
2008 ,"'Group P Mass Communication and Documentation' ","'17 and under' ","'Women' ","'Other main scheme choice' ",5
2008 ,"'Group P Mass Communication and Documentation' ","'17 and under' ","'Women' ","'Main scheme Clearing' ",5
2008 ,"'Group P Mass Communication and Documentation' ","'17 and under' ","'Women' ","'RPA' ",5
2008 ,"'Group P Mass Communication and Documentation' ","'18' ","'Men' ","'Firm choice' ",1810
2008 ,"'Group P Mass Communication and Documentation' ","'18' ","'Men' ","'Insurance choice' ",150
2008 ,"'Group P Mass Communication and Documentation' ","'18' ","'Men' ","'Other main scheme choice' ",20
2008 ,"'Group P Mass Communication and Documentation' ","'18' ","'Men' ","'Extra' ",20
2008 ,"'Group P Mass Communication and Documentation' ","'18' ","'Men' ","'Main scheme Clearing' ",140
2008 ,"'Group P Mass Communication and Documentation' ","'18' ","'Men' ","'Direct Clearing' ",15
2008 ,"'Group P Mass Communication and Documentation' ","'18' ","'Men' ","'RPA' ",30
2008 ,"'Group P Mass Communication and Documentation' ","'18' ","'Women' ","'Firm choice' ",2460
2008 ,"'Group P Mass Communication and Documentation' ","'18' ","'Women' ","'Insurance choice' ",200
2008 ,"'Group P Mass Communication and Documentation' ","'18' ","'Women' ","'Other main scheme choice' ",20
2008 ,"'Group P Mass Communication and Documentation' ","'18' ","'Women' ","'Extra' ",45
2008 ,"'Group P Mass Communication and Documentation' ","'18' ","'Women' ","'Main scheme Clearing' ",230
2008 ,"'Group P Mass Communication and Documentation' ","'18' ","'Women' ","'Direct Clearing' ",20
2008 ,"'Group P Mass Communication and Documentation' ","'18' ","'Women' ","'RPA' ",35
2008 ,"'Group P Mass Communication and Documentation' ","'19' ","'Men' ","'Firm choice' ",810
2008 ,"'Group P Mass Communication and Documentation' ","'19' ","'Men' ","'Insurance choice' ",45
2008 ,"'Group P Mass Communication and Documentation' ","'19' ","'Men' ","'Other main scheme choice' ",30
2008 ,"'Group P Mass Communication and Documentation' ","'19' ","'Men' ","'Extra' ",5
2008 ,"'Group P Mass Communication and Documentation' ","'19' ","'Men' ","'Main scheme Clearing' ",70
2008 ,"'Group P Mass Communication and Documentation' ","'19' ","'Men' ","'Direct Clearing' ",25
2008 ,"'Group P Mass Communication and Documentation' ","'19' ","'Men' ","'RPA' ",45
2008 ,"'Group P Mass Communication and Documentation' ","'19' ","'Women' ","'Firm choice' ",960
2008 ,"'Group P Mass Communication and Documentation' ","'19' ","'Women' ","'Insurance choice' ",45
2008 ,"'Group P Mass Communication and Documentation' ","'19' ","'Women' ","'Other main scheme choice' ",40
2008 ,"'Group P Mass Communication and Documentation' ","'19' ","'Women' ","'Extra' ",15
2008 ,"'Group P Mass Communication and Documentation' ","'19' ","'Women' ","'Main scheme Clearing' ",90
2008 ,"'Group P Mass Communication and Documentation' ","'19' ","'Women' ","'Direct Clearing' ",30
2008 ,"'Group P Mass Communication and Documentation' ","'19' ","'Women' ","'RPA' ",55
2008 ,"'Group P Mass Communication and Documentation' ","'20' ","'Men' ","'Firm choice' ",340
2008 ,"'Group P Mass Communication and Documentation' ","'20' ","'Men' ","'Insurance choice' ",10
2008 ,"'Group P Mass Communication and Documentation' ","'20' ","'Men' ","'Other main scheme choice' ",30
2008 ,"'Group P Mass Communication and Documentation' ","'20' ","'Men' ","'Extra' ",5
2008 ,"'Group P Mass Communication and Documentation' ","'20' ","'Men' ","'Main scheme Clearing' ",25
2008 ,"'Group P Mass Communication and Documentation' ","'20' ","'Men' ","'Direct Clearing' ",30
2008 ,"'Group P Mass Communication and Documentation' ","'20' ","'Men' ","'RPA' ",50
2008 ,"'Group P Mass Communication and Documentation' ","'20' ","'Women' ","'Firm choice' ",320
2008 ,"'Group P Mass Communication and Documentation' ","'20' ","'Women' ","'Insurance choice' ",5
2008 ,"'Group P Mass Communication and Documentation' ","'20' ","'Women' ","'Other main scheme choice' ",45
2008 ,"'Group P Mass Communication and Documentation' ","'20' ","'Women' ","'Extra' ",10
2008 ,"'Group P Mass Communication and Documentation' ","'20' ","'Women' ","'Main scheme Clearing' ",35
2008 ,"'Group P Mass Communication and Documentation' ","'20' ","'Women' ","'Direct Clearing' ",20
2008 ,"'Group P Mass Communication and Documentation' ","'20' ","'Women' ","'RPA' ",60
2008 ,"'Group P Mass Communication and Documentation' ","'21 and over' ","'Men' ","'Firm choice' ",510
2008 ,"'Group P Mass Communication and Documentation' ","'21 and over' ","'Men' ","'Insurance choice' ",10
2008 ,"'Group P Mass Communication and Documentation' ","'21 and over' ","'Men' ","'Other main scheme choice' ",90
2008 ,"'Group P Mass Communication and Documentation' ","'21 and over' ","'Men' ","'Extra' ",5
2008 ,"'Group P Mass Communication and Documentation' ","'21 and over' ","'Men' ","'Main scheme Clearing' ",45
2008 ,"'Group P Mass Communication and Documentation' ","'21 and over' ","'Men' ","'Direct Clearing' ",60
2008 ,"'Group P Mass Communication and Documentation' ","'21 and over' ","'Men' ","'RPA' ",215
2008 ,"'Group P Mass Communication and Documentation' ","'21 and over' ","'Women' ","'Firm choice' ",415
2008 ,"'Group P Mass Communication and Documentation' ","'21 and over' ","'Women' ","'Insurance choice' ",10
2008 ,"'Group P Mass Communication and Documentation' ","'21 and over' ","'Women' ","'Other main scheme choice' ",65
2008 ,"'Group P Mass Communication and Documentation' ","'21 and over' ","'Women' ","'Extra' ",10
2008 ,"'Group P Mass Communication and Documentation' ","'21 and over' ","'Women' ","'Main scheme Clearing' ",35
2008 ,"'Group P Mass Communication and Documentation' ","'21 and over' ","'Women' ","'Direct Clearing' ",40
2008 ,"'Group P Mass Communication and Documentation' ","'21 and over' ","'Women' ","'RPA' ",175
2008 ,"'Group Q Linguistics, Classics and related' ","'17 and under' ","'Men' ","'Firm choice' ",20
2008 ,"'Group Q Linguistics, Classics and related' ","'17 and under' ","'Women' ","'Firm choice' ",45
2008 ,"'Group Q Linguistics, Classics and related' ","'17 and under' ","'Women' ","'Insurance choice' ",5
2008 ,"'Group Q Linguistics, Classics and related' ","'18' ","'Men' ","'Firm choice' ",1535
2008 ,"'Group Q Linguistics, Classics and related' ","'18' ","'Men' ","'Insurance choice' ",215
2008 ,"'Group Q Linguistics, Classics and related' ","'18' ","'Men' ","'Other main scheme choice' ",10
2008 ,"'Group Q Linguistics, Classics and related' ","'18' ","'Men' ","'Extra' ",15
2008 ,"'Group Q Linguistics, Classics and related' ","'18' ","'Men' ","'Main scheme Clearing' ",100
2008 ,"'Group Q Linguistics, Classics and related' ","'18' ","'Men' ","'Direct Clearing' ",5
2008 ,"'Group Q Linguistics, Classics and related' ","'18' ","'Men' ","'RPA' ",10
2008 ,"'Group Q Linguistics, Classics and related' ","'18' ","'Women' ","'Firm choice' ",4400
2008 ,"'Group Q Linguistics, Classics and related' ","'18' ","'Women' ","'Insurance choice' ",540
2008 ,"'Group Q Linguistics, Classics and related' ","'18' ","'Women' ","'Other main scheme choice' ",15
2008 ,"'Group Q Linguistics, Classics and related' ","'18' ","'Women' ","'Extra' ",90
2008 ,"'Group Q Linguistics, Classics and related' ","'18' ","'Women' ","'Main scheme Clearing' ",380
2008 ,"'Group Q Linguistics, Classics and related' ","'18' ","'Women' ","'Direct Clearing' ",20
2008 ,"'Group Q Linguistics, Classics and related' ","'18' ","'Women' ","'RPA' ",25
2008 ,"'Group Q Linguistics, Classics and related' ","'19' ","'Men' ","'Firm choice' ",600
2008 ,"'Group Q Linguistics, Classics and related' ","'19' ","'Men' ","'Insurance choice' ",25
2008 ,"'Group Q Linguistics, Classics and related' ","'19' ","'Men' ","'Other main scheme choice' ",10
2008 ,"'Group Q Linguistics, Classics and related' ","'19' ","'Men' ","'Extra' ",20
2008 ,"'Group Q Linguistics, Classics and related' ","'19' ","'Men' ","'Main scheme Clearing' ",35
2008 ,"'Group Q Linguistics, Classics and related' ","'19' ","'Men' ","'Direct Clearing' ",10
2008 ,"'Group Q Linguistics, Classics and related' ","'19' ","'Men' ","'RPA' ",15
2008 ,"'Group Q Linguistics, Classics and related' ","'19' ","'Women' ","'Firm choice' ",1245
2008 ,"'Group Q Linguistics, Classics and related' ","'19' ","'Women' ","'Insurance choice' ",55
2008 ,"'Group Q Linguistics, Classics and related' ","'19' ","'Women' ","'Other main scheme choice' ",40
2008 ,"'Group Q Linguistics, Classics and related' ","'19' ","'Women' ","'Extra' ",30
2008 ,"'Group Q Linguistics, Classics and related' ","'19' ","'Women' ","'Main scheme Clearing' ",90
2008 ,"'Group Q Linguistics, Classics and related' ","'19' ","'Women' ","'Direct Clearing' ",35
2008 ,"'Group Q Linguistics, Classics and related' ","'19' ","'Women' ","'RPA' ",35
2008 ,"'Group Q Linguistics, Classics and related' ","'20' ","'Men' ","'Firm choice' ",135
2008 ,"'Group Q Linguistics, Classics and related' ","'20' ","'Men' ","'Insurance choice' ",5
2008 ,"'Group Q Linguistics, Classics and related' ","'20' ","'Men' ","'Other main scheme choice' ",15
2008 ,"'Group Q Linguistics, Classics and related' ","'20' ","'Men' ","'Main scheme Clearing' ",10
2008 ,"'Group Q Linguistics, Classics and related' ","'20' ","'Men' ","'Direct Clearing' ",10
2008 ,"'Group Q Linguistics, Classics and related' ","'20' ","'Men' ","'RPA' ",20
2008 ,"'Group Q Linguistics, Classics and related' ","'20' ","'Women' ","'Firm choice' ",305
2008 ,"'Group Q Linguistics, Classics and related' ","'20' ","'Women' ","'Insurance choice' ",5
2008 ,"'Group Q Linguistics, Classics and related' ","'20' ","'Women' ","'Other main scheme choice' ",30
2008 ,"'Group Q Linguistics, Classics and related' ","'20' ","'Women' ","'Extra' ",5
2008 ,"'Group Q Linguistics, Classics and related' ","'20' ","'Women' ","'Main scheme Clearing' ",20
2008 ,"'Group Q Linguistics, Classics and related' ","'20' ","'Women' ","'Direct Clearing' ",25
2008 ,"'Group Q Linguistics, Classics and related' ","'20' ","'Women' ","'RPA' ",35
2008 ,"'Group Q Linguistics, Classics and related' ","'21 and over' ","'Men' ","'Firm choice' ",275
2008 ,"'Group Q Linguistics, Classics and related' ","'21 and over' ","'Men' ","'Insurance choice' ",10
2008 ,"'Group Q Linguistics, Classics and related' ","'21 and over' ","'Men' ","'Other main scheme choice' ",40
2008 ,"'Group Q Linguistics, Classics and related' ","'21 and over' ","'Men' ","'Extra' ",5
2008 ,"'Group Q Linguistics, Classics and related' ","'21 and over' ","'Men' ","'Main scheme Clearing' ",20
2008 ,"'Group Q Linguistics, Classics and related' ","'21 and over' ","'Men' ","'Direct Clearing' ",35
2008 ,"'Group Q Linguistics, Classics and related' ","'21 and over' ","'Men' ","'RPA' ",70
2008 ,"'Group Q Linguistics, Classics and related' ","'21 and over' ","'Women' ","'Firm choice' ",565
2008 ,"'Group Q Linguistics, Classics and related' ","'21 and over' ","'Women' ","'Insurance choice' ",15
2008 ,"'Group Q Linguistics, Classics and related' ","'21 and over' ","'Women' ","'Other main scheme choice' ",90
2008 ,"'Group Q Linguistics, Classics and related' ","'21 and over' ","'Women' ","'Extra' ",10
2008 ,"'Group Q Linguistics, Classics and related' ","'21 and over' ","'Women' ","'Main scheme Clearing' ",35
2008 ,"'Group Q Linguistics, Classics and related' ","'21 and over' ","'Women' ","'Direct Clearing' ",45
2008 ,"'Group Q Linguistics, Classics and related' ","'21 and over' ","'Women' ","'RPA' ",125
2008 ,"'Group R European Languages, Literature and related' ","'17 and under' ","'Men' ","'Firm choice' ",15
2008 ,"'Group R European Languages, Literature and related' ","'17 and under' ","'Women' ","'Firm choice' ",40
2008 ,"'Group R European Languages, Literature and related' ","'17 and under' ","'Women' ","'Insurance choice' ",10
2008 ,"'Group R European Languages, Literature and related' ","'18' ","'Men' ","'Firm choice' ",700
2008 ,"'Group R European Languages, Literature and related' ","'18' ","'Men' ","'Insurance choice' ",95
2008 ,"'Group R European Languages, Literature and related' ","'18' ","'Men' ","'Extra' ",5
2008 ,"'Group R European Languages, Literature and related' ","'18' ","'Men' ","'Main scheme Clearing' ",75
2008 ,"'Group R European Languages, Literature and related' ","'18' ","'Men' ","'Direct Clearing' ",5
2008 ,"'Group R European Languages, Literature and related' ","'18' ","'Women' ","'Firm choice' ",1950
2008 ,"'Group R European Languages, Literature and related' ","'18' ","'Women' ","'Insurance choice' ",245
2008 ,"'Group R European Languages, Literature and related' ","'18' ","'Women' ","'Extra' ",15
2008 ,"'Group R European Languages, Literature and related' ","'18' ","'Women' ","'Main scheme Clearing' ",160
2008 ,"'Group R European Languages, Literature and related' ","'18' ","'Women' ","'Direct Clearing' ",5
2008 ,"'Group R European Languages, Literature and related' ","'18' ","'Women' ","'RPA' ",5
2008 ,"'Group R European Languages, Literature and related' ","'19' ","'Men' ","'Firm choice' ",145
2008 ,"'Group R European Languages, Literature and related' ","'19' ","'Men' ","'Insurance choice' ",10
2008 ,"'Group R European Languages, Literature and related' ","'19' ","'Men' ","'Other main scheme choice' ",5
2008 ,"'Group R European Languages, Literature and related' ","'19' ","'Men' ","'Main scheme Clearing' ",10
2008 ,"'Group R European Languages, Literature and related' ","'19' ","'Men' ","'Direct Clearing' ",5
2008 ,"'Group R European Languages, Literature and related' ","'19' ","'Men' ","'RPA' ",5
2008 ,"'Group R European Languages, Literature and related' ","'19' ","'Women' ","'Firm choice' ",370
2008 ,"'Group R European Languages, Literature and related' ","'19' ","'Women' ","'Insurance choice' ",20
2008 ,"'Group R European Languages, Literature and related' ","'19' ","'Women' ","'Other main scheme choice' ",10
2008 ,"'Group R European Languages, Literature and related' ","'19' ","'Women' ","'Extra' ",10
2008 ,"'Group R European Languages, Literature and related' ","'19' ","'Women' ","'Main scheme Clearing' ",25
2008 ,"'Group R European Languages, Literature and related' ","'19' ","'Women' ","'Direct Clearing' ",5
2008 ,"'Group R European Languages, Literature and related' ","'19' ","'Women' ","'RPA' ",15
2008 ,"'Group R European Languages, Literature and related' ","'20' ","'Men' ","'Firm choice' ",40
2008 ,"'Group R European Languages, Literature and related' ","'20' ","'Men' ","'Other main scheme choice' ",5
2008 ,"'Group R European Languages, Literature and related' ","'20' ","'Men' ","'Main scheme Clearing' ",5
2008 ,"'Group R European Languages, Literature and related' ","'20' ","'Men' ","'RPA' ",5
2008 ,"'Group R European Languages, Literature and related' ","'20' ","'Women' ","'Firm choice' ",70
2008 ,"'Group R European Languages, Literature and related' ","'20' ","'Women' ","'Insurance choice' ",5
2008 ,"'Group R European Languages, Literature and related' ","'20' ","'Women' ","'Other main scheme choice' ",10
2008 ,"'Group R European Languages, Literature and related' ","'20' ","'Women' ","'Main scheme Clearing' ",10
2008 ,"'Group R European Languages, Literature and related' ","'20' ","'Women' ","'Direct Clearing' ",5
2008 ,"'Group R European Languages, Literature and related' ","'20' ","'Women' ","'RPA' ",10
2008 ,"'Group R European Languages, Literature and related' ","'21 and over' ","'Men' ","'Firm choice' ",80
2008 ,"'Group R European Languages, Literature and related' ","'21 and over' ","'Men' ","'Other main scheme choice' ",15
2008 ,"'Group R European Languages, Literature and related' ","'21 and over' ","'Men' ","'Main scheme Clearing' ",5
2008 ,"'Group R European Languages, Literature and related' ","'21 and over' ","'Men' ","'Direct Clearing' ",10
2008 ,"'Group R European Languages, Literature and related' ","'21 and over' ","'Men' ","'RPA' ",20
2008 ,"'Group R European Languages, Literature and related' ","'21 and over' ","'Women' ","'Firm choice' ",140
2008 ,"'Group R European Languages, Literature and related' ","'21 and over' ","'Women' ","'Other main scheme choice' ",25
2008 ,"'Group R European Languages, Literature and related' ","'21 and over' ","'Women' ","'Extra' ",5
2008 ,"'Group R European Languages, Literature and related' ","'21 and over' ","'Women' ","'Main scheme Clearing' ",5
2008 ,"'Group R European Languages, Literature and related' ","'21 and over' ","'Women' ","'Direct Clearing' ",15
2008 ,"'Group R European Languages, Literature and related' ","'21 and over' ","'Women' ","'RPA' ",40
2008 ,"'Group T Non-European Languages, Literature and related' ","'17 and under' ","'Men' ","'Firm choice' ",5
2008 ,"'Group T Non-European Languages, Literature and related' ","'17 and under' ","'Women' ","'Firm choice' ",15
2008 ,"'Group T Non-European Languages, Literature and related' ","'18' ","'Men' ","'Firm choice' ",260
2008 ,"'Group T Non-European Languages, Literature and related' ","'18' ","'Men' ","'Insurance choice' ",20
2008 ,"'Group T Non-European Languages, Literature and related' ","'18' ","'Men' ","'Main scheme Clearing' ",30
2008 ,"'Group T Non-European Languages, Literature and related' ","'18' ","'Women' ","'Firm choice' ",565
2008 ,"'Group T Non-European Languages, Literature and related' ","'18' ","'Women' ","'Insurance choice' ",45
2008 ,"'Group T Non-European Languages, Literature and related' ","'18' ","'Women' ","'Extra' ",5
2008 ,"'Group T Non-European Languages, Literature and related' ","'18' ","'Women' ","'Main scheme Clearing' ",30
2008 ,"'Group T Non-European Languages, Literature and related' ","'19' ","'Men' ","'Firm choice' ",75
2008 ,"'Group T Non-European Languages, Literature and related' ","'19' ","'Men' ","'Insurance choice' ",5
2008 ,"'Group T Non-European Languages, Literature and related' ","'19' ","'Men' ","'Main scheme Clearing' ",5
2008 ,"'Group T Non-European Languages, Literature and related' ","'19' ","'Women' ","'Firm choice' ",125
2008 ,"'Group T Non-European Languages, Literature and related' ","'19' ","'Women' ","'Insurance choice' ",10
2008 ,"'Group T Non-European Languages, Literature and related' ","'19' ","'Women' ","'Other main scheme choice' ",5
2008 ,"'Group T Non-European Languages, Literature and related' ","'19' ","'Women' ","'Main scheme Clearing' ",10
2008 ,"'Group T Non-European Languages, Literature and related' ","'19' ","'Women' ","'Direct Clearing' ",5
2008 ,"'Group T Non-European Languages, Literature and related' ","'20' ","'Men' ","'Firm choice' ",25
2008 ,"'Group T Non-European Languages, Literature and related' ","'20' ","'Women' ","'Firm choice' ",30
2008 ,"'Group T Non-European Languages, Literature and related' ","'20' ","'Women' ","'Other main scheme choice' ",5
2008 ,"'Group T Non-European Languages, Literature and related' ","'20' ","'Women' ","'RPA' ",5
2008 ,"'Group T Non-European Languages, Literature and related' ","'21 and over' ","'Men' ","'Firm choice' ",80
2008 ,"'Group T Non-European Languages, Literature and related' ","'21 and over' ","'Men' ","'Other main scheme choice' ",5
2008 ,"'Group T Non-European Languages, Literature and related' ","'21 and over' ","'Men' ","'Direct Clearing' ",5
2008 ,"'Group T Non-European Languages, Literature and related' ","'21 and over' ","'Men' ","'RPA' ",5
2008 ,"'Group T Non-European Languages, Literature and related' ","'21 and over' ","'Women' ","'Firm choice' ",65
2008 ,"'Group T Non-European Languages, Literature and related' ","'21 and over' ","'Women' ","'Other main scheme choice' ",10
2008 ,"'Group T Non-European Languages, Literature and related' ","'21 and over' ","'Women' ","'Direct Clearing' ",5
2008 ,"'Group T Non-European Languages, Literature and related' ","'21 and over' ","'Women' ","'RPA' ",5
2008 ,"'Group V History and Philosophical studies' ","'17 and under' ","'Men' ","'Firm choice' ",30
2008 ,"'Group V History and Philosophical studies' ","'17 and under' ","'Men' ","'Insurance choice' ",5
2008 ,"'Group V History and Philosophical studies' ","'17 and under' ","'Women' ","'Firm choice' ",40
2008 ,"'Group V History and Philosophical studies' ","'17 and under' ","'Women' ","'Main scheme Clearing' ",5
2008 ,"'Group V History and Philosophical studies' ","'18' ","'Men' ","'Firm choice' ",3520
2008 ,"'Group V History and Philosophical studies' ","'18' ","'Men' ","'Insurance choice' ",490
2008 ,"'Group V History and Philosophical studies' ","'18' ","'Men' ","'Other main scheme choice' ",10
2008 ,"'Group V History and Philosophical studies' ","'18' ","'Men' ","'Extra' ",35
2008 ,"'Group V History and Philosophical studies' ","'18' ","'Men' ","'Main scheme Clearing' ",280
2008 ,"'Group V History and Philosophical studies' ","'18' ","'Men' ","'Direct Clearing' ",10
2008 ,"'Group V History and Philosophical studies' ","'18' ","'Men' ","'RPA' ",20
2008 ,"'Group V History and Philosophical studies' ","'18' ","'Women' ","'Firm choice' ",3960
2008 ,"'Group V History and Philosophical studies' ","'18' ","'Women' ","'Insurance choice' ",490
2008 ,"'Group V History and Philosophical studies' ","'18' ","'Women' ","'Other main scheme choice' ",5
2008 ,"'Group V History and Philosophical studies' ","'18' ","'Women' ","'Extra' ",35
2008 ,"'Group V History and Philosophical studies' ","'18' ","'Women' ","'Main scheme Clearing' ",360
