"Statistic:   Number of Acceptances"
"Variables:   Subject Group (Detailed Level) , Disability Indicator , Acceptance Route , Cycle Year"
"Coverage:   UK domiciled"
"For a list of key definitions and descriptions please refer to the PDF file provided - EOC_data_resource_2016-DR3_029_07.pdf"
 
Cycle Year,Subject Group (Detailed Level) , Disability Indicator , Acceptance Route,Number of Acceptances,
2010 ,"'A1 - Pre-clinical Medicine' ","'Disability declared' ","'Firm choice' ",295
2011 ,"'N2 - Management studies' ","'Disability declared' ","'Direct Clearing' ",20
2011 ,"'N2 - Management studies' ","'Disability declared' ","'RPA' ",20
2011 ,"'N2 - Management studies' ","'No disability declared' ","'Firm choice' ",5830
2011 ,"'N2 - Management studies' ","'No disability declared' ","'Insurance choice' ",830
2011 ,"'N2 - Management studies' ","'No disability declared' ","'Other main scheme choice' ",250
2011 ,"'N2 - Management studies' ","'No disability declared' ","'Extra' ",150
2011 ,"'N2 - Management studies' ","'No disability declared' ","'Adjustment' ",10
2011 ,"'N2 - Management studies' ","'No disability declared' ","'Main scheme Clearing' ",1060
2011 ,"'N2 - Management studies' ","'No disability declared' ","'Direct Clearing' ",255
2011 ,"'N2 - Management studies' ","'No disability declared' ","'RPA' ",345
2011 ,"'N3 - Finance' ","'Disability declared' ","'Firm choice' ",20
2011 ,"'N3 - Finance' ","'Disability declared' ","'Insurance choice' ",5
2011 ,"'N3 - Finance' ","'No disability declared' ","'Firm choice' ",555
2011 ,"'N3 - Finance' ","'No disability declared' ","'Insurance choice' ",90
2011 ,"'N3 - Finance' ","'No disability declared' ","'Other main scheme choice' ",20
2011 ,"'N3 - Finance' ","'No disability declared' ","'Extra' ",15
2011 ,"'N3 - Finance' ","'No disability declared' ","'Main scheme Clearing' ",70
2011 ,"'N3 - Finance' ","'No disability declared' ","'Direct Clearing' ",10
2011 ,"'N3 - Finance' ","'No disability declared' ","'RPA' ",25
2011 ,"'N4 - Accounting' ","'Disability declared' ","'Firm choice' ",125
2011 ,"'N4 - Accounting' ","'Disability declared' ","'Insurance choice' ",25
2011 ,"'N4 - Accounting' ","'Disability declared' ","'Other main scheme choice' ",10
2011 ,"'N4 - Accounting' ","'Disability declared' ","'Extra' ",5
2011 ,"'N4 - Accounting' ","'Disability declared' ","'Main scheme Clearing' ",25
2011 ,"'N4 - Accounting' ","'Disability declared' ","'Direct Clearing' ",10
2011 ,"'N4 - Accounting' ","'Disability declared' ","'RPA' ",10
2011 ,"'N4 - Accounting' ","'No disability declared' ","'Firm choice' ",2925
2011 ,"'N4 - Accounting' ","'No disability declared' ","'Insurance choice' ",710
2011 ,"'N4 - Accounting' ","'No disability declared' ","'Other main scheme choice' ",160
2011 ,"'N4 - Accounting' ","'No disability declared' ","'Extra' ",60
2011 ,"'N4 - Accounting' ","'No disability declared' ","'Adjustment' ",10
2011 ,"'N4 - Accounting' ","'No disability declared' ","'Main scheme Clearing' ",755
2011 ,"'N4 - Accounting' ","'No disability declared' ","'Direct Clearing' ",160
2011 ,"'N4 - Accounting' ","'No disability declared' ","'RPA' ",205
2011 ,"'N5 - Marketing' ","'Disability declared' ","'Firm choice' ",125
2011 ,"'N5 - Marketing' ","'Disability declared' ","'Insurance choice' ",15
2011 ,"'N5 - Marketing' ","'Disability declared' ","'Other main scheme choice' ",5
2011 ,"'N5 - Marketing' ","'Disability declared' ","'Extra' ",5
2011 ,"'N5 - Marketing' ","'Disability declared' ","'Main scheme Clearing' ",20
2011 ,"'N5 - Marketing' ","'No disability declared' ","'Firm choice' ",2270
2011 ,"'N5 - Marketing' ","'No disability declared' ","'Insurance choice' ",310
2011 ,"'N5 - Marketing' ","'No disability declared' ","'Other main scheme choice' ",85
2011 ,"'N5 - Marketing' ","'No disability declared' ","'Extra' ",80
2011 ,"'N5 - Marketing' ","'No disability declared' ","'Main scheme Clearing' ",360
2011 ,"'N5 - Marketing' ","'No disability declared' ","'Direct Clearing' ",60
2011 ,"'N5 - Marketing' ","'No disability declared' ","'RPA' ",55
2011 ,"'N6 - Human Resource Management' ","'Disability declared' ","'Firm choice' ",20
2011 ,"'N6 - Human Resource Management' ","'No disability declared' ","'Firm choice' ",390
2011 ,"'N6 - Human Resource Management' ","'No disability declared' ","'Insurance choice' ",50
2011 ,"'N6 - Human Resource Management' ","'No disability declared' ","'Other main scheme choice' ",25
2011 ,"'N6 - Human Resource Management' ","'No disability declared' ","'Extra' ",10
2011 ,"'N6 - Human Resource Management' ","'No disability declared' ","'Main scheme Clearing' ",85
2011 ,"'N6 - Human Resource Management' ","'No disability declared' ","'Direct Clearing' ",15
2011 ,"'N6 - Human Resource Management' ","'No disability declared' ","'RPA' ",25
2011 ,"'N7 - Office Skills' ","'No disability declared' ","'Firm choice' ",5
2011 ,"'N8 - Hospitality, leisure, sport, tourism & transport' ","'Disability declared' ","'Firm choice' ",390
2011 ,"'N8 - Hospitality, leisure, sport, tourism & transport' ","'Disability declared' ","'Insurance choice' ",35
2011 ,"'N8 - Hospitality, leisure, sport, tourism & transport' ","'Disability declared' ","'Other main scheme choice' ",20
2011 ,"'N8 - Hospitality, leisure, sport, tourism & transport' ","'Disability declared' ","'Extra' ",10
2011 ,"'N8 - Hospitality, leisure, sport, tourism & transport' ","'Disability declared' ","'Main scheme Clearing' ",40
2011 ,"'N8 - Hospitality, leisure, sport, tourism & transport' ","'Disability declared' ","'Direct Clearing' ",10
2011 ,"'N8 - Hospitality, leisure, sport, tourism & transport' ","'Disability declared' ","'RPA' ",25
2011 ,"'N8 - Hospitality, leisure, sport, tourism & transport' ","'No disability declared' ","'Firm choice' ",5375
2011 ,"'N8 - Hospitality, leisure, sport, tourism & transport' ","'No disability declared' ","'Insurance choice' ",400
2011 ,"'N8 - Hospitality, leisure, sport, tourism & transport' ","'No disability declared' ","'Other main scheme choice' ",235
2011 ,"'N8 - Hospitality, leisure, sport, tourism & transport' ","'No disability declared' ","'Extra' ",145
2011 ,"'N8 - Hospitality, leisure, sport, tourism & transport' ","'No disability declared' ","'Main scheme Clearing' ",600
2011 ,"'N8 - Hospitality, leisure, sport, tourism & transport' ","'No disability declared' ","'Direct Clearing' ",210
2011 ,"'N8 - Hospitality, leisure, sport, tourism & transport' ","'No disability declared' ","'RPA' ",270
2011 ,"'N9 - Others in Business & Admin Studies' ","'Disability declared' ","'Firm choice' ",15
2011 ,"'N9 - Others in Business & Admin Studies' ","'No disability declared' ","'Firm choice' ",290
2011 ,"'N9 - Others in Business & Admin Studies' ","'No disability declared' ","'Insurance choice' ",30
2011 ,"'N9 - Others in Business & Admin Studies' ","'No disability declared' ","'Other main scheme choice' ",15
2011 ,"'N9 - Others in Business & Admin Studies' ","'No disability declared' ","'Extra' ",10
2011 ,"'N9 - Others in Business & Admin Studies' ","'No disability declared' ","'Main scheme Clearing' ",35
2011 ,"'N9 - Others in Business & Admin Studies' ","'No disability declared' ","'Direct Clearing' ",5
2011 ,"'N9 - Others in Business & Admin Studies' ","'No disability declared' ","'RPA' ",10
2011 ,"'NN - Combinations within Business & Admin Studies' ","'Disability declared' ","'Firm choice' ",255
2011 ,"'NN - Combinations within Business & Admin Studies' ","'Disability declared' ","'Insurance choice' ",50
2011 ,"'NN - Combinations within Business & Admin Studies' ","'Disability declared' ","'Other main scheme choice' ",10
2011 ,"'NN - Combinations within Business & Admin Studies' ","'Disability declared' ","'Extra' ",10
2011 ,"'NN - Combinations within Business & Admin Studies' ","'Disability declared' ","'Main scheme Clearing' ",35
2011 ,"'NN - Combinations within Business & Admin Studies' ","'Disability declared' ","'Direct Clearing' ",10
2011 ,"'NN - Combinations within Business & Admin Studies' ","'Disability declared' ","'RPA' ",10
2011 ,"'NN - Combinations within Business & Admin Studies' ","'No disability declared' ","'Firm choice' ",5820
2011 ,"'NN - Combinations within Business & Admin Studies' ","'No disability declared' ","'Insurance choice' ",965
2011 ,"'NN - Combinations within Business & Admin Studies' ","'No disability declared' ","'Other main scheme choice' ",165
2011 ,"'NN - Combinations within Business & Admin Studies' ","'No disability declared' ","'Extra' ",120
2011 ,"'NN - Combinations within Business & Admin Studies' ","'No disability declared' ","'Adjustment' ",10
2011 ,"'NN - Combinations within Business & Admin Studies' ","'No disability declared' ","'Main scheme Clearing' ",1050
2011 ,"'NN - Combinations within Business & Admin Studies' ","'No disability declared' ","'Direct Clearing' ",195
2011 ,"'NN - Combinations within Business & Admin Studies' ","'No disability declared' ","'RPA' ",185
2011 ,"'P1 - Information Services' ","'Disability declared' ","'Firm choice' ",5
2011 ,"'P1 - Information Services' ","'No disability declared' ","'Firm choice' ",15
2011 ,"'P2 - Publicity studies' ","'Disability declared' ","'Firm choice' ",10
2011 ,"'P2 - Publicity studies' ","'Disability declared' ","'Main scheme Clearing' ",5
2011 ,"'P2 - Publicity studies' ","'No disability declared' ","'Firm choice' ",345
2011 ,"'P2 - Publicity studies' ","'No disability declared' ","'Insurance choice' ",35
2011 ,"'P2 - Publicity studies' ","'No disability declared' ","'Other main scheme choice' ",5
2011 ,"'P2 - Publicity studies' ","'No disability declared' ","'Extra' ",5
2011 ,"'P2 - Publicity studies' ","'No disability declared' ","'Main scheme Clearing' ",40
2011 ,"'P2 - Publicity studies' ","'No disability declared' ","'RPA' ",5
2011 ,"'P3 - Media studies' ","'Disability declared' ","'Firm choice' ",355
2011 ,"'P3 - Media studies' ","'Disability declared' ","'Insurance choice' ",30
2011 ,"'P3 - Media studies' ","'Disability declared' ","'Other main scheme choice' ",20
2011 ,"'P3 - Media studies' ","'Disability declared' ","'Extra' ",10
2011 ,"'P3 - Media studies' ","'Disability declared' ","'Main scheme Clearing' ",30
2011 ,"'P3 - Media studies' ","'Disability declared' ","'Direct Clearing' ",15
2011 ,"'P3 - Media studies' ","'Disability declared' ","'RPA' ",10
2011 ,"'P3 - Media studies' ","'No disability declared' ","'Firm choice' ",3720
2011 ,"'P3 - Media studies' ","'No disability declared' ","'Insurance choice' ",335
2011 ,"'P3 - Media studies' ","'No disability declared' ","'Other main scheme choice' ",140
2011 ,"'P3 - Media studies' ","'No disability declared' ","'Extra' ",90
2011 ,"'P3 - Media studies' ","'No disability declared' ","'Adjustment' ",5
2011 ,"'P3 - Media studies' ","'No disability declared' ","'Main scheme Clearing' ",480
2011 ,"'P3 - Media studies' ","'No disability declared' ","'Direct Clearing' ",90
2011 ,"'P3 - Media studies' ","'No disability declared' ","'RPA' ",110
2011 ,"'P4 - Publishing' ","'Disability declared' ","'Firm choice' ",5
2011 ,"'P4 - Publishing' ","'Disability declared' ","'Main scheme Clearing' ",5
2011 ,"'P4 - Publishing' ","'No disability declared' ","'Firm choice' ",65
2011 ,"'P4 - Publishing' ","'No disability declared' ","'Insurance choice' ",10
2011 ,"'P4 - Publishing' ","'No disability declared' ","'Main scheme Clearing' ",5
2011 ,"'P5 - Journalism' ","'Disability declared' ","'Firm choice' ",105
2011 ,"'P5 - Journalism' ","'Disability declared' ","'Insurance choice' ",5
2011 ,"'P5 - Journalism' ","'Disability declared' ","'Other main scheme choice' ",5
2011 ,"'P5 - Journalism' ","'Disability declared' ","'Main scheme Clearing' ",10
2011 ,"'P5 - Journalism' ","'No disability declared' ","'Firm choice' ",2300
2011 ,"'P5 - Journalism' ","'No disability declared' ","'Insurance choice' ",225
2011 ,"'P5 - Journalism' ","'No disability declared' ","'Other main scheme choice' ",50
2011 ,"'P5 - Journalism' ","'No disability declared' ","'Extra' ",40
2011 ,"'P5 - Journalism' ","'No disability declared' ","'Adjustment' ",5
2011 ,"'P5 - Journalism' ","'No disability declared' ","'Main scheme Clearing' ",265
2011 ,"'P5 - Journalism' ","'No disability declared' ","'Direct Clearing' ",35
2011 ,"'P5 - Journalism' ","'No disability declared' ","'RPA' ",45
2011 ,"'P9 - Others in Mass Comms & Documentation' ","'Disability declared' ","'Firm choice' ",25
2011 ,"'P9 - Others in Mass Comms & Documentation' ","'No disability declared' ","'Firm choice' ",330
2011 ,"'P9 - Others in Mass Comms & Documentation' ","'No disability declared' ","'Insurance choice' ",30
2011 ,"'P9 - Others in Mass Comms & Documentation' ","'No disability declared' ","'Other main scheme choice' ",5
2011 ,"'P9 - Others in Mass Comms & Documentation' ","'No disability declared' ","'Extra' ",5
2011 ,"'P9 - Others in Mass Comms & Documentation' ","'No disability declared' ","'Main scheme Clearing' ",30
2011 ,"'P9 - Others in Mass Comms & Documentation' ","'No disability declared' ","'Direct Clearing' ",5
2011 ,"'P9 - Others in Mass Comms & Documentation' ","'No disability declared' ","'RPA' ",5
2011 ,"'PP - Combinations within Mass Comms & Documentation' ","'Disability declared' ","'Firm choice' ",35
2011 ,"'PP - Combinations within Mass Comms & Documentation' ","'Disability declared' ","'Main scheme Clearing' ",5
2011 ,"'PP - Combinations within Mass Comms & Documentation' ","'No disability declared' ","'Firm choice' ",700
2011 ,"'PP - Combinations within Mass Comms & Documentation' ","'No disability declared' ","'Insurance choice' ",65
2011 ,"'PP - Combinations within Mass Comms & Documentation' ","'No disability declared' ","'Other main scheme choice' ",20
2011 ,"'PP - Combinations within Mass Comms & Documentation' ","'No disability declared' ","'Extra' ",15
2011 ,"'PP - Combinations within Mass Comms & Documentation' ","'No disability declared' ","'Main scheme Clearing' ",90
2011 ,"'PP - Combinations within Mass Comms & Documentation' ","'No disability declared' ","'Direct Clearing' ",10
2011 ,"'PP - Combinations within Mass Comms & Documentation' ","'No disability declared' ","'RPA' ",10
2011 ,"'Q1 - Linguistics' ","'Disability declared' ","'Firm choice' ",20
2011 ,"'Q1 - Linguistics' ","'Disability declared' ","'Main scheme Clearing' ",5
2011 ,"'Q1 - Linguistics' ","'No disability declared' ","'Firm choice' ",300
2011 ,"'Q1 - Linguistics' ","'No disability declared' ","'Insurance choice' ",50
2011 ,"'Q1 - Linguistics' ","'No disability declared' ","'Extra' ",10
2011 ,"'Q1 - Linguistics' ","'No disability declared' ","'Main scheme Clearing' ",45
2011 ,"'Q2 - Comparative Literary studies' ","'Disability declared' ","'Firm choice' ",10
2011 ,"'Q2 - Comparative Literary studies' ","'Disability declared' ","'Insurance choice' ",5
2011 ,"'Q2 - Comparative Literary studies' ","'No disability declared' ","'Firm choice' ",80
2011 ,"'Q2 - Comparative Literary studies' ","'No disability declared' ","'Insurance choice' ",25
2011 ,"'Q2 - Comparative Literary studies' ","'No disability declared' ","'Other main scheme choice' ",5
2011 ,"'Q2 - Comparative Literary studies' ","'No disability declared' ","'Extra' ",5
2011 ,"'Q2 - Comparative Literary studies' ","'No disability declared' ","'Main scheme Clearing' ",55
2011 ,"'Q3 - English studies' ","'Disability declared' ","'Firm choice' ",420
2011 ,"'Q3 - English studies' ","'Disability declared' ","'Insurance choice' ",45
2011 ,"'Q3 - English studies' ","'Disability declared' ","'Other main scheme choice' ",10
2011 ,"'Q3 - English studies' ","'Disability declared' ","'Extra' ",15
2011 ,"'Q3 - English studies' ","'Disability declared' ","'Main scheme Clearing' ",30
2011 ,"'Q3 - English studies' ","'Disability declared' ","'Direct Clearing' ",10
2011 ,"'Q3 - English studies' ","'Disability declared' ","'RPA' ",5
2011 ,"'Q3 - English studies' ","'No disability declared' ","'Firm choice' ",6880
2011 ,"'Q3 - English studies' ","'No disability declared' ","'Insurance choice' ",940
2011 ,"'Q3 - English studies' ","'No disability declared' ","'Other main scheme choice' ",100
2011 ,"'Q3 - English studies' ","'No disability declared' ","'Extra' ",135
2011 ,"'Q3 - English studies' ","'No disability declared' ","'Adjustment' ",25
2011 ,"'Q3 - English studies' ","'No disability declared' ","'Main scheme Clearing' ",710
2011 ,"'Q3 - English studies' ","'No disability declared' ","'Direct Clearing' ",85
2011 ,"'Q3 - English studies' ","'No disability declared' ","'RPA' ",55
2011 ,"'Q4 - Ancient Language studies' ","'No disability declared' ","'Firm choice' ",5
2011 ,"'Q5 - Celtic studies' ","'Disability declared' ","'Firm choice' ",5
2011 ,"'Q5 - Celtic studies' ","'Disability declared' ","'RPA' ",5
2011 ,"'Q5 - Celtic studies' ","'No disability declared' ","'Firm choice' ",115
2011 ,"'Q5 - Celtic studies' ","'No disability declared' ","'Insurance choice' ",10
2011 ,"'Q5 - Celtic studies' ","'No disability declared' ","'Main scheme Clearing' ",10
2011 ,"'Q5 - Celtic studies' ","'No disability declared' ","'RPA' ",10
2011 ,"'Q6 - Latin studies' ","'No disability declared' ","'Firm choice' ",5
2011 ,"'Q8 - Classical studies' ","'Disability declared' ","'Firm choice' ",50
2011 ,"'Q8 - Classical studies' ","'Disability declared' ","'Insurance choice' ",5
2011 ,"'Q8 - Classical studies' ","'No disability declared' ","'Firm choice' ",645
2011 ,"'Q8 - Classical studies' ","'No disability declared' ","'Insurance choice' ",55
2011 ,"'Q8 - Classical studies' ","'No disability declared' ","'Main scheme Clearing' ",20
2011 ,"'Q9 - Others in Linguistics,Classics & related' ","'No disability declared' ","'Firm choice' ",30
2011 ,"'Q9 - Others in Linguistics,Classics & related' ","'No disability declared' ","'Insurance choice' ",10
2011 ,"'Q9 - Others in Linguistics,Classics & related' ","'No disability declared' ","'Extra' ",5
2011 ,"'Q9 - Others in Linguistics,Classics & related' ","'No disability declared' ","'Main scheme Clearing' ",15
2011 ,"'Q9 - Others in Linguistics,Classics & related' ","'No disability declared' ","'Direct Clearing' ",5
2011 ,"'Q9 - Others in Linguistics,Classics & related' ","'No disability declared' ","'RPA' ",5
2011 ,"'QQ - Combinations within Linguistics,Classics & related' ","'Disability declared' ","'Firm choice' ",25
2011 ,"'QQ - Combinations within Linguistics,Classics & related' ","'Disability declared' ","'Insurance choice' ",5
2011 ,"'QQ - Combinations within Linguistics,Classics & related' ","'Disability declared' ","'Main scheme Clearing' ",5
2011 ,"'QQ - Combinations within Linguistics,Classics & related' ","'No disability declared' ","'Firm choice' ",565
2011 ,"'QQ - Combinations within Linguistics,Classics & related' ","'No disability declared' ","'Insurance choice' ",60
2011 ,"'QQ - Combinations within Linguistics,Classics & related' ","'No disability declared' ","'Other main scheme choice' ",5
2011 ,"'QQ - Combinations within Linguistics,Classics & related' ","'No disability declared' ","'Extra' ",15
2011 ,"'QQ - Combinations within Linguistics,Classics & related' ","'No disability declared' ","'Main scheme Clearing' ",30
2011 ,"'QQ - Combinations within Linguistics,Classics & related' ","'No disability declared' ","'Direct Clearing' ",10
2011 ,"'QQ - Combinations within Linguistics,Classics & related' ","'No disability declared' ","'RPA' ",10
2011 ,"'R0 - European Langs,Lit & related: any area' ","'No disability declared' ","'Firm choice' ",45
2011 ,"'R1 - French studies' ","'Disability declared' ","'Firm choice' ",20
2011 ,"'R1 - French studies' ","'Disability declared' ","'Insurance choice' ",5
2011 ,"'R1 - French studies' ","'Disability declared' ","'Main scheme Clearing' ",5
2011 ,"'R1 - French studies' ","'No disability declared' ","'Firm choice' ",450
2011 ,"'R1 - French studies' ","'No disability declared' ","'Insurance choice' ",75
2011 ,"'R1 - French studies' ","'No disability declared' ","'Extra' ",5
2011 ,"'R1 - French studies' ","'No disability declared' ","'Main scheme Clearing' ",70
2011 ,"'R1 - French studies' ","'No disability declared' ","'Direct Clearing' ",5
2011 ,"'R1 - French studies' ","'No disability declared' ","'RPA' ",5
2011 ,"'R2 - German studies' ","'Disability declared' ","'Firm choice' ",10
2011 ,"'R2 - German studies' ","'No disability declared' ","'Firm choice' ",190
2011 ,"'R2 - German studies' ","'No disability declared' ","'Insurance choice' ",25
2011 ,"'R2 - German studies' ","'No disability declared' ","'Other main scheme choice' ",5
2011 ,"'R2 - German studies' ","'No disability declared' ","'Main scheme Clearing' ",30
2011 ,"'R3 - Italian studies' ","'No disability declared' ","'Firm choice' ",30
2011 ,"'R3 - Italian studies' ","'No disability declared' ","'Insurance choice' ",5
2011 ,"'R3 - Italian studies' ","'No disability declared' ","'Main scheme Clearing' ",10
2011 ,"'R4 - Spanish studies' ","'Disability declared' ","'Firm choice' ",15
2011 ,"'R4 - Spanish studies' ","'Disability declared' ","'Insurance choice' ",5
2011 ,"'R4 - Spanish studies' ","'No disability declared' ","'Firm choice' ",270
2011 ,"'R4 - Spanish studies' ","'No disability declared' ","'Insurance choice' ",60
2011 ,"'R4 - Spanish studies' ","'No disability declared' ","'Other main scheme choice' ",5
2011 ,"'R4 - Spanish studies' ","'No disability declared' ","'Extra' ",5
2011 ,"'R4 - Spanish studies' ","'No disability declared' ","'Main scheme Clearing' ",50
2011 ,"'R6 - Scandinavian studies' ","'Disability declared' ","'Firm choice' ",5
2011 ,"'R6 - Scandinavian studies' ","'No disability declared' ","'Firm choice' ",5
2011 ,"'R7 - Russian and East European studies' ","'Disability declared' ","'Firm choice' ",5
2011 ,"'R7 - Russian and East European studies' ","'No disability declared' ","'Firm choice' ",55
2011 ,"'R7 - Russian and East European studies' ","'No disability declared' ","'Insurance choice' ",5
2011 ,"'R7 - Russian and East European studies' ","'No disability declared' ","'Main scheme Clearing' ",5
2011 ,"'R8 - European studies' ","'No disability declared' ","'Firm choice' ",60
2011 ,"'R8 - European studies' ","'No disability declared' ","'Insurance choice' ",25
2011 ,"'R8 - European studies' ","'No disability declared' ","'Main scheme Clearing' ",5
2011 ,"'R9 - Others in European Langs,Lit and related' ","'Disability declared' ","'Firm choice' ",30
2011 ,"'R9 - Others in European Langs,Lit and related' ","'No disability declared' ","'Firm choice' ",755
2011 ,"'R9 - Others in European Langs,Lit and related' ","'No disability declared' ","'Insurance choice' ",65
2011 ,"'R9 - Others in European Langs,Lit and related' ","'No disability declared' ","'Other main scheme choice' ",5
2011 ,"'R9 - Others in European Langs,Lit and related' ","'No disability declared' ","'Extra' ",5
2011 ,"'R9 - Others in European Langs,Lit and related' ","'No disability declared' ","'Main scheme Clearing' ",35
2011 ,"'RR - Combinations within European Langs,Lit and related' ","'Disability declared' ","'Firm choice' ",35
2011 ,"'RR - Combinations within European Langs,Lit and related' ","'Disability declared' ","'Insurance choice' ",10
2011 ,"'RR - Combinations within European Langs,Lit and related' ","'Disability declared' ","'Main scheme Clearing' ",5
2011 ,"'RR - Combinations within European Langs,Lit and related' ","'No disability declared' ","'Firm choice' ",1230
2011 ,"'RR - Combinations within European Langs,Lit and related' ","'No disability declared' ","'Insurance choice' ",150
2011 ,"'RR - Combinations within European Langs,Lit and related' ","'No disability declared' ","'Other main scheme choice' ",10
2011 ,"'RR - Combinations within European Langs,Lit and related' ","'No disability declared' ","'Extra' ",10
2011 ,"'RR - Combinations within European Langs,Lit and related' ","'No disability declared' ","'Adjustment' ",5
2011 ,"'RR - Combinations within European Langs,Lit and related' ","'No disability declared' ","'Main scheme Clearing' ",110
2011 ,"'RR - Combinations within European Langs,Lit and related' ","'No disability declared' ","'Direct Clearing' ",5
2011 ,"'T1 - Chinese studies' ","'Disability declared' ","'Firm choice' ",5
2011 ,"'T1 - Chinese studies' ","'No disability declared' ","'Firm choice' ",95
2011 ,"'T1 - Chinese studies' ","'No disability declared' ","'Insurance choice' ",10
2011 ,"'T1 - Chinese studies' ","'No disability declared' ","'Extra' ",5
2011 ,"'T1 - Chinese studies' ","'No disability declared' ","'Main scheme Clearing' ",15
2011 ,"'T1 - Chinese studies' ","'No disability declared' ","'RPA' ",5
2011 ,"'T2 - Japanese studies' ","'Disability declared' ","'Firm choice' ",15
2011 ,"'T2 - Japanese studies' ","'No disability declared' ","'Firm choice' ",130
2011 ,"'T2 - Japanese studies' ","'No disability declared' ","'Insurance choice' ",10
2011 ,"'T3 - South Asian studies' ","'Disability declared' ","'Firm choice' ",5
2011 ,"'T3 - South Asian studies' ","'No disability declared' ","'Firm choice' ",25
2011 ,"'T3 - South Asian studies' ","'No disability declared' ","'Extra' ",5
2011 ,"'T3 - South Asian studies' ","'No disability declared' ","'Main scheme Clearing' ",5
2011 ,"'T3 - South Asian studies' ","'No disability declared' ","'Direct Clearing' ",5
2011 ,"'T4 - Other Asian studies' ","'No disability declared' ","'Firm choice' ",10
2011 ,"'T5 - African studies' ","'No disability declared' ","'Firm choice' ",15
2011 ,"'T6 - Modern Middle Eastern studies' ","'Disability declared' ","'Firm choice' ",5
2011 ,"'T6 - Modern Middle Eastern studies' ","'No disability declared' ","'Firm choice' ",65
2011 ,"'T6 - Modern Middle Eastern studies' ","'No disability declared' ","'Insurance choice' ",5
2011 ,"'T6 - Modern Middle Eastern studies' ","'No disability declared' ","'Main scheme Clearing' ",5
2011 ,"'T7 - American studies' ","'Disability declared' ","'Firm choice' ",25
2011 ,"'T7 - American studies' ","'Disability declared' ","'Insurance choice' ",5
2011 ,"'T7 - American studies' ","'No disability declared' ","'Firm choice' ",340
2011 ,"'T7 - American studies' ","'No disability declared' ","'Insurance choice' ",80
2011 ,"'T7 - American studies' ","'No disability declared' ","'Other main scheme choice' ",5
2011 ,"'T7 - American studies' ","'No disability declared' ","'Extra' ",5
2011 ,"'T7 - American studies' ","'No disability declared' ","'Main scheme Clearing' ",30
2011 ,"'T7 - American studies' ","'No disability declared' ","'Direct Clearing' ",5
2011 ,"'T9 - Others in non-European Langs, Lit & related' ","'Disability declared' ","'Firm choice' ",15
2011 ,"'T9 - Others in non-European Langs, Lit & related' ","'No disability declared' ","'Firm choice' ",205
2011 ,"'T9 - Others in non-European Langs, Lit & related' ","'No disability declared' ","'Insurance choice' ",20
2011 ,"'T9 - Others in non-European Langs, Lit & related' ","'No disability declared' ","'Main scheme Clearing' ",5
2011 ,"'TT - Combinations within non-European Langs & related' ","'No disability declared' ","'Firm choice' ",50
2011 ,"'V1 - History by Period' ","'Disability declared' ","'Firm choice' ",420
2011 ,"'V1 - History by Period' ","'Disability declared' ","'Insurance choice' ",65
2011 ,"'V1 - History by Period' ","'Disability declared' ","'Other main scheme choice' ",15
2011 ,"'V1 - History by Period' ","'Disability declared' ","'Extra' ",5
2011 ,"'V1 - History by Period' ","'Disability declared' ","'Main scheme Clearing' ",55
2011 ,"'V1 - History by Period' ","'Disability declared' ","'Direct Clearing' ",5
2011 ,"'V1 - History by Period' ","'Disability declared' ","'RPA' ",5
2011 ,"'V1 - History by Period' ","'No disability declared' ","'Firm choice' ",6020
2011 ,"'V1 - History by Period' ","'No disability declared' ","'Insurance choice' ",1040
2011 ,"'V1 - History by Period' ","'No disability declared' ","'Other main scheme choice' ",50
2011 ,"'V1 - History by Period' ","'No disability declared' ","'Extra' ",65
2011 ,"'V1 - History by Period' ","'No disability declared' ","'Adjustment' ",15
2011 ,"'V1 - History by Period' ","'No disability declared' ","'Main scheme Clearing' ",605
2011 ,"'V1 - History by Period' ","'No disability declared' ","'Direct Clearing' ",30
2011 ,"'V1 - History by Period' ","'No disability declared' ","'RPA' ",30
2011 ,"'V2 - History by Area' ","'Disability declared' ","'Firm choice' ",10
2011 ,"'V2 - History by Area' ","'No disability declared' ","'Firm choice' ",75
2011 ,"'V2 - History by Area' ","'No disability declared' ","'Insurance choice' ",10
2011 ,"'V2 - History by Area' ","'No disability declared' ","'Extra' ",5
2011 ,"'V2 - History by Area' ","'No disability declared' ","'Main scheme Clearing' ",15
2011 ,"'V2 - History by Area' ","'No disability declared' ","'Direct Clearing' ",5
2011 ,"'V2 - History by Area' ","'No disability declared' ","'RPA' ",5
2011 ,"'V3 - History by Topic' ","'Disability declared' ","'Firm choice' ",95
2011 ,"'V3 - History by Topic' ","'Disability declared' ","'Insurance choice' ",5
2011 ,"'V3 - History by Topic' ","'No disability declared' ","'Firm choice' ",800
2011 ,"'V3 - History by Topic' ","'No disability declared' ","'Insurance choice' ",75
2011 ,"'V3 - History by Topic' ","'No disability declared' ","'Other main scheme choice' ",10
2011 ,"'V3 - History by Topic' ","'No disability declared' ","'Extra' ",10
2011 ,"'V3 - History by Topic' ","'No disability declared' ","'Adjustment' ",5
2011 ,"'V3 - History by Topic' ","'No disability declared' ","'Main scheme Clearing' ",40
2011 ,"'V3 - History by Topic' ","'No disability declared' ","'Direct Clearing' ",5
2011 ,"'V4 - Archaeology' ","'Disability declared' ","'Firm choice' ",40
