"Statistic:   Number of Acceptances"
"Variables:   Deferred Status , Age Band , Acceptance Route , Cycle Year"
"Coverage:   All"
"For a list of key definitions and descriptions please refer to the PDF file provided - EOC_data_resource_2016-DR3_032_07.pdf"
 
Cycle Year,Deferred Status , Age Band , Acceptance Route,Number of Acceptances,
2007 ,"'Deferred' ","'17 and under' ","'Firm choice' ",500
2012 ,"'Not deferred' ","'19' ","'Extra' ",1850
2012 ,"'Not deferred' ","'19' ","'Adjustment' ",215
2012 ,"'Not deferred' ","'19' ","'Main scheme Clearing' ",9440
2012 ,"'Not deferred' ","'19' ","'Direct Clearing' ",2175
2012 ,"'Not deferred' ","'19' ","'RPA' ",2515
2012 ,"'Not deferred' ","'20' ","'Firm choice' ",25790
2012 ,"'Not deferred' ","'20' ","'Insurance choice' ",1240
2012 ,"'Not deferred' ","'20' ","'Other main scheme choice' ",1510
2012 ,"'Not deferred' ","'20' ","'Extra' ",785
2012 ,"'Not deferred' ","'20' ","'Adjustment' ",40
2012 ,"'Not deferred' ","'20' ","'Main scheme Clearing' ",3180
2012 ,"'Not deferred' ","'20' ","'Direct Clearing' ",1835
2012 ,"'Not deferred' ","'20' ","'RPA' ",2570
2012 ,"'Not deferred' ","'21 and over' ","'Firm choice' ",63195
2012 ,"'Not deferred' ","'21 and over' ","'Insurance choice' ",1340
2012 ,"'Not deferred' ","'21 and over' ","'Other main scheme choice' ",5925
2012 ,"'Not deferred' ","'21 and over' ","'Extra' ",1900
2012 ,"'Not deferred' ","'21 and over' ","'Adjustment' ",30
2012 ,"'Not deferred' ","'21 and over' ","'Main scheme Clearing' ",7010
2012 ,"'Not deferred' ","'21 and over' ","'Direct Clearing' ",6605
2012 ,"'Not deferred' ","'21 and over' ","'RPA' ",10015
2013 ,"'Deferred' ","'17 and under' ","'Firm choice' ",295
2013 ,"'Deferred' ","'17 and under' ","'Insurance choice' ",50
2013 ,"'Deferred' ","'17 and under' ","'Other main scheme choice' ",15
2013 ,"'Deferred' ","'17 and under' ","'Extra' ",5
2013 ,"'Deferred' ","'17 and under' ","'Main scheme Clearing' ",20
2013 ,"'Deferred' ","'17 and under' ","'Direct Clearing' ",5
2013 ,"'Deferred' ","'17 and under' ","'RPA' ",5
2013 ,"'Deferred' ","'18' ","'Firm choice' ",13055
2013 ,"'Deferred' ","'18' ","'Insurance choice' ",2285
2013 ,"'Deferred' ","'18' ","'Other main scheme choice' ",110
2013 ,"'Deferred' ","'18' ","'Extra' ",95
2013 ,"'Deferred' ","'18' ","'Adjustment' ",15
2013 ,"'Deferred' ","'18' ","'Main scheme Clearing' ",660
2013 ,"'Deferred' ","'18' ","'Direct Clearing' ",45
2013 ,"'Deferred' ","'18' ","'RPA' ",25
2013 ,"'Deferred' ","'19' ","'Firm choice' ",2920
2013 ,"'Deferred' ","'19' ","'Insurance choice' ",295
2013 ,"'Deferred' ","'19' ","'Other main scheme choice' ",115
2013 ,"'Deferred' ","'19' ","'Extra' ",35
2013 ,"'Deferred' ","'19' ","'Adjustment' ",10
2013 ,"'Deferred' ","'19' ","'Main scheme Clearing' ",140
2013 ,"'Deferred' ","'19' ","'Direct Clearing' ",30
2013 ,"'Deferred' ","'19' ","'RPA' ",25
2013 ,"'Deferred' ","'20' ","'Firm choice' ",1010
2013 ,"'Deferred' ","'20' ","'Insurance choice' ",60
2013 ,"'Deferred' ","'20' ","'Other main scheme choice' ",80
2013 ,"'Deferred' ","'20' ","'Extra' ",10
2013 ,"'Deferred' ","'20' ","'Main scheme Clearing' ",45
2013 ,"'Deferred' ","'20' ","'Direct Clearing' ",15
2013 ,"'Deferred' ","'20' ","'RPA' ",20
2013 ,"'Deferred' ","'21 and over' ","'Firm choice' ",2950
2013 ,"'Deferred' ","'21 and over' ","'Insurance choice' ",90
2013 ,"'Deferred' ","'21 and over' ","'Other main scheme choice' ",440
2013 ,"'Deferred' ","'21 and over' ","'Extra' ",80
2013 ,"'Deferred' ","'21 and over' ","'Adjustment' ",5
2013 ,"'Deferred' ","'21 and over' ","'Main scheme Clearing' ",215
2013 ,"'Deferred' ","'21 and over' ","'Direct Clearing' ",135
2013 ,"'Deferred' ","'21 and over' ","'RPA' ",130
2013 ,"'Not deferred' ","'17 and under' ","'Firm choice' ",3295
2013 ,"'Not deferred' ","'17 and under' ","'Insurance choice' ",475
2013 ,"'Not deferred' ","'17 and under' ","'Other main scheme choice' ",210
2013 ,"'Not deferred' ","'17 and under' ","'Extra' ",55
2013 ,"'Not deferred' ","'17 and under' ","'Adjustment' ",10
2013 ,"'Not deferred' ","'17 and under' ","'Main scheme Clearing' ",435
2013 ,"'Not deferred' ","'17 and under' ","'Direct Clearing' ",110
2013 ,"'Not deferred' ","'17 and under' ","'RPA' ",360
2013 ,"'Not deferred' ","'18' ","'Firm choice' ",170910
2013 ,"'Not deferred' ","'18' ","'Insurance choice' ",20575
2013 ,"'Not deferred' ","'18' ","'Other main scheme choice' ",1505
2013 ,"'Not deferred' ","'18' ","'Extra' ",3060
2013 ,"'Not deferred' ","'18' ","'Adjustment' ",875
2013 ,"'Not deferred' ","'18' ","'Main scheme Clearing' ",21465
2013 ,"'Not deferred' ","'18' ","'Direct Clearing' ",1685
2013 ,"'Not deferred' ","'18' ","'RPA' ",2085
2013 ,"'Not deferred' ","'19' ","'Firm choice' ",75880
2013 ,"'Not deferred' ","'19' ","'Insurance choice' ",5975
2013 ,"'Not deferred' ","'19' ","'Other main scheme choice' ",2420
2013 ,"'Not deferred' ","'19' ","'Extra' ",1940
2013 ,"'Not deferred' ","'19' ","'Adjustment' ",230
2013 ,"'Not deferred' ","'19' ","'Main scheme Clearing' ",9665
2013 ,"'Not deferred' ","'19' ","'Direct Clearing' ",2715
2013 ,"'Not deferred' ","'19' ","'RPA' ",2780
2013 ,"'Not deferred' ","'20' ","'Firm choice' ",27520
2013 ,"'Not deferred' ","'20' ","'Insurance choice' ",1360
2013 ,"'Not deferred' ","'20' ","'Other main scheme choice' ",2040
2013 ,"'Not deferred' ","'20' ","'Extra' ",735
2013 ,"'Not deferred' ","'20' ","'Adjustment' ",35
2013 ,"'Not deferred' ","'20' ","'Main scheme Clearing' ",2985
2013 ,"'Not deferred' ","'20' ","'Direct Clearing' ",2255
2013 ,"'Not deferred' ","'20' ","'RPA' ",2785
2013 ,"'Not deferred' ","'21 and over' ","'Firm choice' ",65420
2013 ,"'Not deferred' ","'21 and over' ","'Insurance choice' ",1675
2013 ,"'Not deferred' ","'21 and over' ","'Other main scheme choice' ",7350
2013 ,"'Not deferred' ","'21 and over' ","'Extra' ",1805
2013 ,"'Not deferred' ","'21 and over' ","'Adjustment' ",40
2013 ,"'Not deferred' ","'21 and over' ","'Main scheme Clearing' ",6660
2013 ,"'Not deferred' ","'21 and over' ","'Direct Clearing' ",7820
2013 ,"'Not deferred' ","'21 and over' ","'RPA' ",10870
2014 ,"'Deferred' ","'17 and under' ","'Firm choice' ",335
2014 ,"'Deferred' ","'17 and under' ","'Insurance choice' ",60
2014 ,"'Deferred' ","'17 and under' ","'Other main scheme choice' ",15
2014 ,"'Deferred' ","'17 and under' ","'Extra' ",5
2014 ,"'Deferred' ","'17 and under' ","'Main scheme Clearing' ",20
2014 ,"'Deferred' ","'17 and under' ","'Direct Clearing' ",5
2014 ,"'Deferred' ","'17 and under' ","'RPA' ",5
2014 ,"'Deferred' ","'18' ","'Firm choice' ",13650
2014 ,"'Deferred' ","'18' ","'Insurance choice' ",2630
2014 ,"'Deferred' ","'18' ","'Other main scheme choice' ",110
2014 ,"'Deferred' ","'18' ","'Extra' ",100
2014 ,"'Deferred' ","'18' ","'Adjustment' ",15
2014 ,"'Deferred' ","'18' ","'Main scheme Clearing' ",845
2014 ,"'Deferred' ","'18' ","'Direct Clearing' ",35
2014 ,"'Deferred' ","'18' ","'RPA' ",25
2014 ,"'Deferred' ","'19' ","'Firm choice' ",2955
2014 ,"'Deferred' ","'19' ","'Insurance choice' ",345
2014 ,"'Deferred' ","'19' ","'Other main scheme choice' ",95
2014 ,"'Deferred' ","'19' ","'Extra' ",50
2014 ,"'Deferred' ","'19' ","'Main scheme Clearing' ",160
2014 ,"'Deferred' ","'19' ","'Direct Clearing' ",20
2014 ,"'Deferred' ","'19' ","'RPA' ",30
2014 ,"'Deferred' ","'20' ","'Firm choice' ",1185
2014 ,"'Deferred' ","'20' ","'Insurance choice' ",60
2014 ,"'Deferred' ","'20' ","'Other main scheme choice' ",105
2014 ,"'Deferred' ","'20' ","'Extra' ",20
2014 ,"'Deferred' ","'20' ","'Main scheme Clearing' ",60
2014 ,"'Deferred' ","'20' ","'Direct Clearing' ",25
2014 ,"'Deferred' ","'20' ","'RPA' ",20
2014 ,"'Deferred' ","'21 and over' ","'Firm choice' ",3175
2014 ,"'Deferred' ","'21 and over' ","'Insurance choice' ",105
2014 ,"'Deferred' ","'21 and over' ","'Other main scheme choice' ",450
2014 ,"'Deferred' ","'21 and over' ","'Extra' ",100
2014 ,"'Deferred' ","'21 and over' ","'Main scheme Clearing' ",255
2014 ,"'Deferred' ","'21 and over' ","'Direct Clearing' ",130
2014 ,"'Deferred' ","'21 and over' ","'RPA' ",145
2014 ,"'Not deferred' ","'17 and under' ","'Firm choice' ",3755
2014 ,"'Not deferred' ","'17 and under' ","'Insurance choice' ",530
2014 ,"'Not deferred' ","'17 and under' ","'Other main scheme choice' ",205
2014 ,"'Not deferred' ","'17 and under' ","'Extra' ",65
2014 ,"'Not deferred' ","'17 and under' ","'Adjustment' ",15
2014 ,"'Not deferred' ","'17 and under' ","'Main scheme Clearing' ",445
2014 ,"'Not deferred' ","'17 and under' ","'Direct Clearing' ",100
2014 ,"'Not deferred' ","'17 and under' ","'RPA' ",230
2014 ,"'Not deferred' ","'18' ","'Firm choice' ",172030
2014 ,"'Not deferred' ","'18' ","'Insurance choice' ",23155
2014 ,"'Not deferred' ","'18' ","'Other main scheme choice' ",1300
2014 ,"'Not deferred' ","'18' ","'Extra' ",2725
2014 ,"'Not deferred' ","'18' ","'Adjustment' ",815
2014 ,"'Not deferred' ","'18' ","'Main scheme Clearing' ",24525
2014 ,"'Not deferred' ","'18' ","'Direct Clearing' ",1465
2014 ,"'Not deferred' ","'18' ","'RPA' ",1550
2014 ,"'Not deferred' ","'19' ","'Firm choice' ",76700
2014 ,"'Not deferred' ","'19' ","'Insurance choice' ",6660
2014 ,"'Not deferred' ","'19' ","'Other main scheme choice' ",2320
2014 ,"'Not deferred' ","'19' ","'Extra' ",1850
2014 ,"'Not deferred' ","'19' ","'Adjustment' ",230
2014 ,"'Not deferred' ","'19' ","'Main scheme Clearing' ",10850
2014 ,"'Not deferred' ","'19' ","'Direct Clearing' ",2430
2014 ,"'Not deferred' ","'19' ","'RPA' ",2800
2014 ,"'Not deferred' ","'20' ","'Firm choice' ",29180
2014 ,"'Not deferred' ","'20' ","'Insurance choice' ",1470
2014 ,"'Not deferred' ","'20' ","'Other main scheme choice' ",1935
2014 ,"'Not deferred' ","'20' ","'Extra' ",770
2014 ,"'Not deferred' ","'20' ","'Adjustment' ",40
2014 ,"'Not deferred' ","'20' ","'Main scheme Clearing' ",3435
2014 ,"'Not deferred' ","'20' ","'Direct Clearing' ",2190
2014 ,"'Not deferred' ","'20' ","'RPA' ",2815
2014 ,"'Not deferred' ","'21 and over' ","'Firm choice' ",69200
2014 ,"'Not deferred' ","'21 and over' ","'Insurance choice' ",1720
2014 ,"'Not deferred' ","'21 and over' ","'Other main scheme choice' ",7060
2014 ,"'Not deferred' ","'21 and over' ","'Extra' ",1940
2014 ,"'Not deferred' ","'21 and over' ","'Adjustment' ",40
2014 ,"'Not deferred' ","'21 and over' ","'Main scheme Clearing' ",6915
2014 ,"'Not deferred' ","'21 and over' ","'Direct Clearing' ",7395
2014 ,"'Not deferred' ","'21 and over' ","'RPA' ",12165
2015 ,"'Deferred' ","'17 and under' ","'Firm choice' ",405
2015 ,"'Deferred' ","'17 and under' ","'Insurance choice' ",55
2015 ,"'Deferred' ","'17 and under' ","'Other main scheme choice' ",10
2015 ,"'Deferred' ","'17 and under' ","'Main scheme Clearing' ",20
2015 ,"'Deferred' ","'17 and under' ","'Direct Clearing' ",5
2015 ,"'Deferred' ","'17 and under' ","'RPA' ",5
2015 ,"'Deferred' ","'18' ","'Firm choice' ",14675
2015 ,"'Deferred' ","'18' ","'Insurance choice' ",3005
2015 ,"'Deferred' ","'18' ","'Other main scheme choice' ",75
2015 ,"'Deferred' ","'18' ","'Extra' ",115
2015 ,"'Deferred' ","'18' ","'Adjustment' ",20
2015 ,"'Deferred' ","'18' ","'Main scheme Clearing' ",780
2015 ,"'Deferred' ","'18' ","'Direct Clearing' ",35
2015 ,"'Deferred' ","'18' ","'RPA' ",45
2015 ,"'Deferred' ","'19' ","'Firm choice' ",3090
2015 ,"'Deferred' ","'19' ","'Insurance choice' ",330
2015 ,"'Deferred' ","'19' ","'Other main scheme choice' ",90
2015 ,"'Deferred' ","'19' ","'Extra' ",55
2015 ,"'Deferred' ","'19' ","'Main scheme Clearing' ",170
2015 ,"'Deferred' ","'19' ","'Direct Clearing' ",20
2015 ,"'Deferred' ","'19' ","'RPA' ",35
2015 ,"'Deferred' ","'20' ","'Firm choice' ",1075
2015 ,"'Deferred' ","'20' ","'Insurance choice' ",80
2015 ,"'Deferred' ","'20' ","'Other main scheme choice' ",70
2015 ,"'Deferred' ","'20' ","'Extra' ",20
2015 ,"'Deferred' ","'20' ","'Main scheme Clearing' ",60
2015 ,"'Deferred' ","'20' ","'Direct Clearing' ",20
2015 ,"'Deferred' ","'20' ","'RPA' ",20
2015 ,"'Deferred' ","'21 and over' ","'Firm choice' ",3265
2015 ,"'Deferred' ","'21 and over' ","'Insurance choice' ",95
2015 ,"'Deferred' ","'21 and over' ","'Other main scheme choice' ",435
2015 ,"'Deferred' ","'21 and over' ","'Extra' ",120
2015 ,"'Deferred' ","'21 and over' ","'Main scheme Clearing' ",225
2015 ,"'Deferred' ","'21 and over' ","'Direct Clearing' ",155
2015 ,"'Deferred' ","'21 and over' ","'RPA' ",115
2015 ,"'Not deferred' ","'17 and under' ","'Firm choice' ",4035
2015 ,"'Not deferred' ","'17 and under' ","'Insurance choice' ",610
2015 ,"'Not deferred' ","'17 and under' ","'Other main scheme choice' ",165
2015 ,"'Not deferred' ","'17 and under' ","'Extra' ",50
2015 ,"'Not deferred' ","'17 and under' ","'Adjustment' ",15
2015 ,"'Not deferred' ","'17 and under' ","'Main scheme Clearing' ",475
2015 ,"'Not deferred' ","'17 and under' ","'Direct Clearing' ",95
2015 ,"'Not deferred' ","'17 and under' ","'RPA' ",305
2015 ,"'Not deferred' ","'18' ","'Firm choice' ",179895
2015 ,"'Not deferred' ","'18' ","'Insurance choice' ",24990
2015 ,"'Not deferred' ","'18' ","'Other main scheme choice' ",1370
2015 ,"'Not deferred' ","'18' ","'Extra' ",2825
2015 ,"'Not deferred' ","'18' ","'Adjustment' ",780
2015 ,"'Not deferred' ","'18' ","'Main scheme Clearing' ",25950
2015 ,"'Not deferred' ","'18' ","'Direct Clearing' ",1665
2015 ,"'Not deferred' ","'18' ","'RPA' ",2050
2015 ,"'Not deferred' ","'19' ","'Firm choice' ",78405
2015 ,"'Not deferred' ","'19' ","'Insurance choice' ",7015
2015 ,"'Not deferred' ","'19' ","'Other main scheme choice' ",2240
2015 ,"'Not deferred' ","'19' ","'Extra' ",1760
2015 ,"'Not deferred' ","'19' ","'Adjustment' ",250
2015 ,"'Not deferred' ","'19' ","'Main scheme Clearing' ",11255
2015 ,"'Not deferred' ","'19' ","'Direct Clearing' ",2900
2015 ,"'Not deferred' ","'19' ","'RPA' ",3220
2015 ,"'Not deferred' ","'20' ","'Firm choice' ",28500
2015 ,"'Not deferred' ","'20' ","'Insurance choice' ",1455
2015 ,"'Not deferred' ","'20' ","'Other main scheme choice' ",1800
2015 ,"'Not deferred' ","'20' ","'Extra' ",785
2015 ,"'Not deferred' ","'20' ","'Adjustment' ",30
2015 ,"'Not deferred' ","'20' ","'Main scheme Clearing' ",3185
2015 ,"'Not deferred' ","'20' ","'Direct Clearing' ",2370
2015 ,"'Not deferred' ","'20' ","'RPA' ",3060
2015 ,"'Not deferred' ","'21 and over' ","'Firm choice' ",70780
2015 ,"'Not deferred' ","'21 and over' ","'Insurance choice' ",1855
2015 ,"'Not deferred' ","'21 and over' ","'Other main scheme choice' ",7125
2015 ,"'Not deferred' ","'21 and over' ","'Extra' ",1760
2015 ,"'Not deferred' ","'21 and over' ","'Adjustment' ",40
2015 ,"'Not deferred' ","'21 and over' ","'Main scheme Clearing' ",7010
2015 ,"'Not deferred' ","'21 and over' ","'Direct Clearing' ",7940
2015 ,"'Not deferred' ","'21 and over' ","'RPA' ",13445
2016 ,"'Deferred' ","'17 and under' ","'Firm choice' ",410
2016 ,"'Deferred' ","'17 and under' ","'Insurance choice' ",50
2016 ,"'Deferred' ","'17 and under' ","'Other main scheme choice' ",15
2016 ,"'Deferred' ","'17 and under' ","'Extra' ",5
2016 ,"'Deferred' ","'17 and under' ","'Main scheme Clearing' ",20
2016 ,"'Deferred' ","'17 and under' ","'RPA' ",5
2016 ,"'Deferred' ","'18' ","'Firm choice' ",15545
2016 ,"'Deferred' ","'18' ","'Insurance choice' ",3045
2016 ,"'Deferred' ","'18' ","'Other main scheme choice' ",100
2016 ,"'Deferred' ","'18' ","'Extra' ",140
2016 ,"'Deferred' ","'18' ","'Adjustment' ",20
2016 ,"'Deferred' ","'18' ","'Main scheme Clearing' ",835
2016 ,"'Deferred' ","'18' ","'Direct Clearing' ",40
2016 ,"'Deferred' ","'18' ","'RPA' ",30
2016 ,"'Deferred' ","'19' ","'Firm choice' ",3050
2016 ,"'Deferred' ","'19' ","'Insurance choice' ",360
2016 ,"'Deferred' ","'19' ","'Other main scheme choice' ",90
2016 ,"'Deferred' ","'19' ","'Extra' ",55
2016 ,"'Deferred' ","'19' ","'Main scheme Clearing' ",160
2016 ,"'Deferred' ","'19' ","'Direct Clearing' ",25
2016 ,"'Deferred' ","'19' ","'RPA' ",40
2016 ,"'Deferred' ","'20' ","'Firm choice' ",1070
2016 ,"'Deferred' ","'20' ","'Insurance choice' ",60
2016 ,"'Deferred' ","'20' ","'Other main scheme choice' ",65
2016 ,"'Deferred' ","'20' ","'Extra' ",25
2016 ,"'Deferred' ","'20' ","'Main scheme Clearing' ",40
2016 ,"'Deferred' ","'20' ","'Direct Clearing' ",20
2016 ,"'Deferred' ","'20' ","'RPA' ",20
2016 ,"'Deferred' ","'21 and over' ","'Firm choice' ",2670
2016 ,"'Deferred' ","'21 and over' ","'Insurance choice' ",75
2016 ,"'Deferred' ","'21 and over' ","'Other main scheme choice' ",400
2016 ,"'Deferred' ","'21 and over' ","'Extra' ",115
2016 ,"'Deferred' ","'21 and over' ","'Main scheme Clearing' ",180
2016 ,"'Deferred' ","'21 and over' ","'Direct Clearing' ",115
2016 ,"'Deferred' ","'21 and over' ","'RPA' ",130
2016 ,"'Not deferred' ","'17 and under' ","'Firm choice' ",4195
2016 ,"'Not deferred' ","'17 and under' ","'Insurance choice' ",620
2016 ,"'Not deferred' ","'17 and under' ","'Other main scheme choice' ",205
2016 ,"'Not deferred' ","'17 and under' ","'Extra' ",60
2016 ,"'Not deferred' ","'17 and under' ","'Adjustment' ",10
2016 ,"'Not deferred' ","'17 and under' ","'Main scheme Clearing' ",490
2016 ,"'Not deferred' ","'17 and under' ","'Direct Clearing' ",85
2016 ,"'Not deferred' ","'17 and under' ","'RPA' ",275
2016 ,"'Not deferred' ","'18' ","'Firm choice' ",181530
2016 ,"'Not deferred' ","'18' ","'Insurance choice' ",25385
2016 ,"'Not deferred' ","'18' ","'Other main scheme choice' ",1465
2016 ,"'Not deferred' ","'18' ","'Extra' ",2790
2016 ,"'Not deferred' ","'18' ","'Adjustment' ",650
2016 ,"'Not deferred' ","'18' ","'Main scheme Clearing' ",27630
2016 ,"'Not deferred' ","'18' ","'Direct Clearing' ",1715
2016 ,"'Not deferred' ","'18' ","'RPA' ",1995
2016 ,"'Not deferred' ","'19' ","'Firm choice' ",79565
2016 ,"'Not deferred' ","'19' ","'Insurance choice' ",6740
2016 ,"'Not deferred' ","'19' ","'Other main scheme choice' ",2465
2016 ,"'Not deferred' ","'19' ","'Extra' ",1750
2016 ,"'Not deferred' ","'19' ","'Adjustment' ",165
2016 ,"'Not deferred' ","'19' ","'Main scheme Clearing' ",11115
2016 ,"'Not deferred' ","'19' ","'Direct Clearing' ",2905
2016 ,"'Not deferred' ","'19' ","'RPA' ",3360
2016 ,"'Not deferred' ","'20' ","'Firm choice' ",27825
2016 ,"'Not deferred' ","'20' ","'Insurance choice' ",1420
2016 ,"'Not deferred' ","'20' ","'Other main scheme choice' ",2030
2016 ,"'Not deferred' ","'20' ","'Extra' ",755
2016 ,"'Not deferred' ","'20' ","'Adjustment' ",30
2016 ,"'Not deferred' ","'20' ","'Main scheme Clearing' ",3095
2016 ,"'Not deferred' ","'20' ","'Direct Clearing' ",2340
2016 ,"'Not deferred' ","'20' ","'RPA' ",3100
2016 ,"'Not deferred' ","'21 and over' ","'Firm choice' ",70490
2016 ,"'Not deferred' ","'21 and over' ","'Insurance choice' ",1745
2016 ,"'Not deferred' ","'21 and over' ","'Other main scheme choice' ",7680
2016 ,"'Not deferred' ","'21 and over' ","'Extra' ",1785
2016 ,"'Not deferred' ","'21 and over' ","'Adjustment' ",20
2016 ,"'Not deferred' ","'21 and over' ","'Main scheme Clearing' ",6465
2016 ,"'Not deferred' ","'21 and over' ","'Direct Clearing' ",7600
2016 ,"'Not deferred' ","'21 and over' ","'RPA' ",12600
