"Statistic:   Number of Acceptances"
"Variables:   Subject Group (Detailed Level) , Applicant Domicile (UK / EU / Not EU) , Acceptance Route , Cycle Year"
"Coverage:   All"
"For a list of key definitions and descriptions please refer to the PDF file provided - EOC_data_resource_2016-DR3_016_07.pdf"
 
Cycle Year,Subject Group (Detailed Level) , Applicant Domicile (UK / EU / Not EU) , Acceptance Route,Number of Acceptances,
2007 ,"'A1 - Pre-clinical Medicine' ","'UK' ","'Firm choice' ",6580
2009 ,"'Y Combs of science/engineering with social studies/bus/law' ","'UK' ","'Insurance choice' ",390
2009 ,"'Y Combs of science/engineering with social studies/bus/law' ","'UK' ","'Other main scheme choice' ",255
2009 ,"'Y Combs of science/engineering with social studies/bus/law' ","'UK' ","'Extra' ",75
2009 ,"'Y Combs of science/engineering with social studies/bus/law' ","'UK' ","'Adjustment' ",5
2009 ,"'Y Combs of science/engineering with social studies/bus/law' ","'UK' ","'Main scheme Clearing' ",455
2009 ,"'Y Combs of science/engineering with social studies/bus/law' ","'UK' ","'Direct Clearing' ",155
2009 ,"'Y Combs of science/engineering with social studies/bus/law' ","'UK' ","'RPA' ",260
2009 ,"'Y Combs of science/engineering with social studies/bus/law' ","'EU (excluding UK)' ","'Firm choice' ",220
2009 ,"'Y Combs of science/engineering with social studies/bus/law' ","'EU (excluding UK)' ","'Insurance choice' ",15
2009 ,"'Y Combs of science/engineering with social studies/bus/law' ","'EU (excluding UK)' ","'Other main scheme choice' ",45
2009 ,"'Y Combs of science/engineering with social studies/bus/law' ","'EU (excluding UK)' ","'Extra' ",5
2009 ,"'Y Combs of science/engineering with social studies/bus/law' ","'EU (excluding UK)' ","'Main scheme Clearing' ",25
2009 ,"'Y Combs of science/engineering with social studies/bus/law' ","'EU (excluding UK)' ","'Direct Clearing' ",15
2009 ,"'Y Combs of science/engineering with social studies/bus/law' ","'EU (excluding UK)' ","'RPA' ",95
2009 ,"'Y Combs of science/engineering with social studies/bus/law' ","'Not EU' ","'Firm choice' ",160
2009 ,"'Y Combs of science/engineering with social studies/bus/law' ","'Not EU' ","'Insurance choice' ",30
2009 ,"'Y Combs of science/engineering with social studies/bus/law' ","'Not EU' ","'Other main scheme choice' ",25
2009 ,"'Y Combs of science/engineering with social studies/bus/law' ","'Not EU' ","'Main scheme Clearing' ",40
2009 ,"'Y Combs of science/engineering with social studies/bus/law' ","'Not EU' ","'RPA' ",55
2009 ,"'Y Combs of sciences with engineering/technology' ","'UK' ","'Firm choice' ",865
2009 ,"'Y Combs of sciences with engineering/technology' ","'UK' ","'Insurance choice' ",100
2009 ,"'Y Combs of sciences with engineering/technology' ","'UK' ","'Other main scheme choice' ",65
2009 ,"'Y Combs of sciences with engineering/technology' ","'UK' ","'Extra' ",20
2009 ,"'Y Combs of sciences with engineering/technology' ","'UK' ","'Main scheme Clearing' ",130
2009 ,"'Y Combs of sciences with engineering/technology' ","'UK' ","'Direct Clearing' ",45
2009 ,"'Y Combs of sciences with engineering/technology' ","'UK' ","'RPA' ",105
2009 ,"'Y Combs of sciences with engineering/technology' ","'EU (excluding UK)' ","'Firm choice' ",70
2009 ,"'Y Combs of sciences with engineering/technology' ","'EU (excluding UK)' ","'Insurance choice' ",5
2009 ,"'Y Combs of sciences with engineering/technology' ","'EU (excluding UK)' ","'Other main scheme choice' ",10
2009 ,"'Y Combs of sciences with engineering/technology' ","'EU (excluding UK)' ","'Main scheme Clearing' ",5
2009 ,"'Y Combs of sciences with engineering/technology' ","'EU (excluding UK)' ","'RPA' ",5
2009 ,"'Y Combs of sciences with engineering/technology' ","'Not EU' ","'Firm choice' ",120
2009 ,"'Y Combs of sciences with engineering/technology' ","'Not EU' ","'Insurance choice' ",10
2009 ,"'Y Combs of sciences with engineering/technology' ","'Not EU' ","'Other main scheme choice' ",55
2009 ,"'Y Combs of sciences with engineering/technology' ","'Not EU' ","'Main scheme Clearing' ",10
2009 ,"'Y Combs of sciences with engineering/technology' ","'Not EU' ","'RPA' ",30
2009 ,"'Y Combs of soc studies/law' ","'UK' ","'Firm choice' ",1490
2009 ,"'Y Combs of soc studies/law' ","'UK' ","'Insurance choice' ",180
2009 ,"'Y Combs of soc studies/law' ","'UK' ","'Other main scheme choice' ",70
2009 ,"'Y Combs of soc studies/law' ","'UK' ","'Extra' ",30
2009 ,"'Y Combs of soc studies/law' ","'UK' ","'Main scheme Clearing' ",240
2009 ,"'Y Combs of soc studies/law' ","'UK' ","'Direct Clearing' ",25
2009 ,"'Y Combs of soc studies/law' ","'UK' ","'RPA' ",75
2009 ,"'Y Combs of soc studies/law' ","'EU (excluding UK)' ","'Firm choice' ",55
2009 ,"'Y Combs of soc studies/law' ","'EU (excluding UK)' ","'Insurance choice' ",10
2009 ,"'Y Combs of soc studies/law' ","'EU (excluding UK)' ","'Other main scheme choice' ",5
2009 ,"'Y Combs of soc studies/law' ","'EU (excluding UK)' ","'Main scheme Clearing' ",5
2009 ,"'Y Combs of soc studies/law' ","'Not EU' ","'Firm choice' ",50
2009 ,"'Y Combs of soc studies/law' ","'Not EU' ","'Insurance choice' ",5
2009 ,"'Y Combs of soc studies/law' ","'Not EU' ","'Other main scheme choice' ",5
2009 ,"'Y Combs of soc studies/law' ","'Not EU' ","'Extra' ",5
2009 ,"'Y Combs of soc studies/law' ","'Not EU' ","'Main scheme Clearing' ",10
2009 ,"'Y Combs of soc studies/law' ","'Not EU' ","'RPA' ",5
2009 ,"'Y Combs of soc studies/law with business' ","'UK' ","'Firm choice' ",1650
2009 ,"'Y Combs of soc studies/law with business' ","'UK' ","'Insurance choice' ",295
2009 ,"'Y Combs of soc studies/law with business' ","'UK' ","'Other main scheme choice' ",80
2009 ,"'Y Combs of soc studies/law with business' ","'UK' ","'Extra' ",40
2009 ,"'Y Combs of soc studies/law with business' ","'UK' ","'Adjustment' ",5
2009 ,"'Y Combs of soc studies/law with business' ","'UK' ","'Main scheme Clearing' ",290
2009 ,"'Y Combs of soc studies/law with business' ","'UK' ","'Direct Clearing' ",40
2009 ,"'Y Combs of soc studies/law with business' ","'UK' ","'RPA' ",75
2009 ,"'Y Combs of soc studies/law with business' ","'EU (excluding UK)' ","'Firm choice' ",215
2009 ,"'Y Combs of soc studies/law with business' ","'EU (excluding UK)' ","'Insurance choice' ",25
2009 ,"'Y Combs of soc studies/law with business' ","'EU (excluding UK)' ","'Other main scheme choice' ",30
2009 ,"'Y Combs of soc studies/law with business' ","'EU (excluding UK)' ","'Extra' ",10
2009 ,"'Y Combs of soc studies/law with business' ","'EU (excluding UK)' ","'Main scheme Clearing' ",25
2009 ,"'Y Combs of soc studies/law with business' ","'EU (excluding UK)' ","'RPA' ",15
2009 ,"'Y Combs of soc studies/law with business' ","'Not EU' ","'Firm choice' ",370
2009 ,"'Y Combs of soc studies/law with business' ","'Not EU' ","'Insurance choice' ",75
2009 ,"'Y Combs of soc studies/law with business' ","'Not EU' ","'Other main scheme choice' ",40
2009 ,"'Y Combs of soc studies/law with business' ","'Not EU' ","'Extra' ",5
2009 ,"'Y Combs of soc studies/law with business' ","'Not EU' ","'Main scheme Clearing' ",75
2009 ,"'Y Combs of soc studies/law with business' ","'Not EU' ","'Direct Clearing' ",5
2009 ,"'Y Combs of soc studies/law with business' ","'Not EU' ","'RPA' ",105
2009 ,"'Y Combs of social studies/bus/law with arts/humanities' ","'UK' ","'Firm choice' ",6510
2009 ,"'Y Combs of social studies/bus/law with arts/humanities' ","'UK' ","'Insurance choice' ",535
2009 ,"'Y Combs of social studies/bus/law with arts/humanities' ","'UK' ","'Other main scheme choice' ",360
2009 ,"'Y Combs of social studies/bus/law with arts/humanities' ","'UK' ","'Extra' ",110
2009 ,"'Y Combs of social studies/bus/law with arts/humanities' ","'UK' ","'Adjustment' ",5
2009 ,"'Y Combs of social studies/bus/law with arts/humanities' ","'UK' ","'Main scheme Clearing' ",675
2009 ,"'Y Combs of social studies/bus/law with arts/humanities' ","'UK' ","'Direct Clearing' ",245
2009 ,"'Y Combs of social studies/bus/law with arts/humanities' ","'UK' ","'RPA' ",570
2009 ,"'Y Combs of social studies/bus/law with arts/humanities' ","'EU (excluding UK)' ","'Firm choice' ",365
2009 ,"'Y Combs of social studies/bus/law with arts/humanities' ","'EU (excluding UK)' ","'Insurance choice' ",35
2009 ,"'Y Combs of social studies/bus/law with arts/humanities' ","'EU (excluding UK)' ","'Other main scheme choice' ",50
2009 ,"'Y Combs of social studies/bus/law with arts/humanities' ","'EU (excluding UK)' ","'Extra' ",5
2009 ,"'Y Combs of social studies/bus/law with arts/humanities' ","'EU (excluding UK)' ","'Main scheme Clearing' ",25
2009 ,"'Y Combs of social studies/bus/law with arts/humanities' ","'EU (excluding UK)' ","'Direct Clearing' ",5
2009 ,"'Y Combs of social studies/bus/law with arts/humanities' ","'EU (excluding UK)' ","'RPA' ",25
2009 ,"'Y Combs of social studies/bus/law with arts/humanities' ","'Not EU' ","'Firm choice' ",280
2009 ,"'Y Combs of social studies/bus/law with arts/humanities' ","'Not EU' ","'Insurance choice' ",35
2009 ,"'Y Combs of social studies/bus/law with arts/humanities' ","'Not EU' ","'Other main scheme choice' ",25
2009 ,"'Y Combs of social studies/bus/law with arts/humanities' ","'Not EU' ","'Extra' ",5
2009 ,"'Y Combs of social studies/bus/law with arts/humanities' ","'Not EU' ","'Main scheme Clearing' ",30
2009 ,"'Y Combs of social studies/bus/law with arts/humanities' ","'Not EU' ","'Direct Clearing' ",5
2009 ,"'Y Combs of social studies/bus/law with arts/humanities' ","'Not EU' ","'RPA' ",70
2009 ,"'Y Combs of social studies/bus/law with languages' ","'UK' ","'Firm choice' ",1615
2009 ,"'Y Combs of social studies/bus/law with languages' ","'UK' ","'Insurance choice' ",205
2009 ,"'Y Combs of social studies/bus/law with languages' ","'UK' ","'Other main scheme choice' ",65
2009 ,"'Y Combs of social studies/bus/law with languages' ","'UK' ","'Extra' ",25
2009 ,"'Y Combs of social studies/bus/law with languages' ","'UK' ","'Adjustment' ",5
2009 ,"'Y Combs of social studies/bus/law with languages' ","'UK' ","'Main scheme Clearing' ",205
2009 ,"'Y Combs of social studies/bus/law with languages' ","'UK' ","'Direct Clearing' ",25
2009 ,"'Y Combs of social studies/bus/law with languages' ","'UK' ","'RPA' ",45
2009 ,"'Y Combs of social studies/bus/law with languages' ","'EU (excluding UK)' ","'Firm choice' ",295
2009 ,"'Y Combs of social studies/bus/law with languages' ","'EU (excluding UK)' ","'Insurance choice' ",25
2009 ,"'Y Combs of social studies/bus/law with languages' ","'EU (excluding UK)' ","'Other main scheme choice' ",15
2009 ,"'Y Combs of social studies/bus/law with languages' ","'EU (excluding UK)' ","'Extra' ",10
2009 ,"'Y Combs of social studies/bus/law with languages' ","'EU (excluding UK)' ","'Main scheme Clearing' ",20
2009 ,"'Y Combs of social studies/bus/law with languages' ","'EU (excluding UK)' ","'Direct Clearing' ",5
2009 ,"'Y Combs of social studies/bus/law with languages' ","'EU (excluding UK)' ","'RPA' ",10
2009 ,"'Y Combs of social studies/bus/law with languages' ","'Not EU' ","'Firm choice' ",110
2009 ,"'Y Combs of social studies/bus/law with languages' ","'Not EU' ","'Insurance choice' ",15
2009 ,"'Y Combs of social studies/bus/law with languages' ","'Not EU' ","'Other main scheme choice' ",15
2009 ,"'Y Combs of social studies/bus/law with languages' ","'Not EU' ","'Main scheme Clearing' ",10
2009 ,"'Y Combs of social studies/bus/law with languages' ","'Not EU' ","'RPA' ",20
2009 ,"'Z Combs of 3 subjects, or other general courses' ","'UK' ","'Firm choice' ",2935
2009 ,"'Z Combs of 3 subjects, or other general courses' ","'UK' ","'Insurance choice' ",195
2009 ,"'Z Combs of 3 subjects, or other general courses' ","'UK' ","'Other main scheme choice' ",255
2009 ,"'Z Combs of 3 subjects, or other general courses' ","'UK' ","'Extra' ",70
2009 ,"'Z Combs of 3 subjects, or other general courses' ","'UK' ","'Main scheme Clearing' ",525
2009 ,"'Z Combs of 3 subjects, or other general courses' ","'UK' ","'Direct Clearing' ",155
2009 ,"'Z Combs of 3 subjects, or other general courses' ","'UK' ","'RPA' ",550
2009 ,"'Z Combs of 3 subjects, or other general courses' ","'EU (excluding UK)' ","'Firm choice' ",295
2009 ,"'Z Combs of 3 subjects, or other general courses' ","'EU (excluding UK)' ","'Insurance choice' ",15
2009 ,"'Z Combs of 3 subjects, or other general courses' ","'EU (excluding UK)' ","'Other main scheme choice' ",20
2009 ,"'Z Combs of 3 subjects, or other general courses' ","'EU (excluding UK)' ","'Extra' ",10
2009 ,"'Z Combs of 3 subjects, or other general courses' ","'EU (excluding UK)' ","'Main scheme Clearing' ",25
2009 ,"'Z Combs of 3 subjects, or other general courses' ","'EU (excluding UK)' ","'RPA' ",15
2009 ,"'Z Combs of 3 subjects, or other general courses' ","'Not EU' ","'Firm choice' ",255
2009 ,"'Z Combs of 3 subjects, or other general courses' ","'Not EU' ","'Insurance choice' ",20
2009 ,"'Z Combs of 3 subjects, or other general courses' ","'Not EU' ","'Other main scheme choice' ",40
2009 ,"'Z Combs of 3 subjects, or other general courses' ","'Not EU' ","'Extra' ",5
2009 ,"'Z Combs of 3 subjects, or other general courses' ","'Not EU' ","'Main scheme Clearing' ",40
2009 ,"'Z Combs of 3 subjects, or other general courses' ","'Not EU' ","'Direct Clearing' ",10
2009 ,"'Z Combs of 3 subjects, or other general courses' ","'Not EU' ","'RPA' ",230
2009 ,"'Z Other courses not elsewhere classified' ","'UK' ","'Firm choice' ",75
2009 ,"'Z Other courses not elsewhere classified' ","'UK' ","'Other main scheme choice' ",5
2010 ,"'A1 - Pre-clinical Medicine' ","'UK' ","'Firm choice' ",6720
2010 ,"'A1 - Pre-clinical Medicine' ","'UK' ","'Insurance choice' ",55
2010 ,"'A1 - Pre-clinical Medicine' ","'UK' ","'Other main scheme choice' ",10
2010 ,"'A1 - Pre-clinical Medicine' ","'UK' ","'Extra' ",20
2010 ,"'A1 - Pre-clinical Medicine' ","'UK' ","'Main scheme Clearing' ",145
2010 ,"'A1 - Pre-clinical Medicine' ","'UK' ","'RPA' ",60
2010 ,"'A1 - Pre-clinical Medicine' ","'EU (excluding UK)' ","'Firm choice' ",215
2010 ,"'A1 - Pre-clinical Medicine' ","'EU (excluding UK)' ","'Insurance choice' ",5
2010 ,"'A1 - Pre-clinical Medicine' ","'EU (excluding UK)' ","'Main scheme Clearing' ",5
2010 ,"'A1 - Pre-clinical Medicine' ","'Not EU' ","'Firm choice' ",595
2010 ,"'A1 - Pre-clinical Medicine' ","'Not EU' ","'Insurance choice' ",10
2010 ,"'A1 - Pre-clinical Medicine' ","'Not EU' ","'Other main scheme choice' ",5
2010 ,"'A1 - Pre-clinical Medicine' ","'Not EU' ","'Extra' ",10
2010 ,"'A1 - Pre-clinical Medicine' ","'Not EU' ","'Main scheme Clearing' ",30
2010 ,"'A1 - Pre-clinical Medicine' ","'Not EU' ","'RPA' ",65
2010 ,"'A2 - Pre-clinical Dentistry' ","'UK' ","'Firm choice' ",1140
2010 ,"'A2 - Pre-clinical Dentistry' ","'UK' ","'Insurance choice' ",10
2010 ,"'A2 - Pre-clinical Dentistry' ","'UK' ","'Main scheme Clearing' ",30
2010 ,"'A2 - Pre-clinical Dentistry' ","'EU (excluding UK)' ","'Firm choice' ",15
2010 ,"'A2 - Pre-clinical Dentistry' ","'Not EU' ","'Firm choice' ",60
2010 ,"'A2 - Pre-clinical Dentistry' ","'Not EU' ","'Insurance choice' ",5
2010 ,"'A2 - Pre-clinical Dentistry' ","'Not EU' ","'Main scheme Clearing' ",5
2010 ,"'A2 - Pre-clinical Dentistry' ","'Not EU' ","'RPA' ",5
2010 ,"'A9 - Others in Medicine and Dentistry' ","'UK' ","'Firm choice' ",10
2010 ,"'B1 - Anatomy,Physiology and Pathology' ","'UK' ","'Firm choice' ",2840
2010 ,"'B1 - Anatomy,Physiology and Pathology' ","'UK' ","'Insurance choice' ",160
2010 ,"'B1 - Anatomy,Physiology and Pathology' ","'UK' ","'Other main scheme choice' ",45
2010 ,"'B1 - Anatomy,Physiology and Pathology' ","'UK' ","'Extra' ",85
2010 ,"'B1 - Anatomy,Physiology and Pathology' ","'UK' ","'Main scheme Clearing' ",195
2010 ,"'B1 - Anatomy,Physiology and Pathology' ","'UK' ","'Direct Clearing' ",30
2010 ,"'B1 - Anatomy,Physiology and Pathology' ","'UK' ","'RPA' ",30
2010 ,"'B1 - Anatomy,Physiology and Pathology' ","'EU (excluding UK)' ","'Firm choice' ",170
2010 ,"'B1 - Anatomy,Physiology and Pathology' ","'EU (excluding UK)' ","'Insurance choice' ",20
2010 ,"'B1 - Anatomy,Physiology and Pathology' ","'EU (excluding UK)' ","'Other main scheme choice' ",5
2010 ,"'B1 - Anatomy,Physiology and Pathology' ","'EU (excluding UK)' ","'Extra' ",5
2010 ,"'B1 - Anatomy,Physiology and Pathology' ","'EU (excluding UK)' ","'Main scheme Clearing' ",10
2010 ,"'B1 - Anatomy,Physiology and Pathology' ","'Not EU' ","'Firm choice' ",100
2010 ,"'B1 - Anatomy,Physiology and Pathology' ","'Not EU' ","'Insurance choice' ",10
2010 ,"'B1 - Anatomy,Physiology and Pathology' ","'Not EU' ","'Other main scheme choice' ",15
2010 ,"'B1 - Anatomy,Physiology and Pathology' ","'Not EU' ","'Extra' ",5
2010 ,"'B1 - Anatomy,Physiology and Pathology' ","'Not EU' ","'Main scheme Clearing' ",10
2010 ,"'B1 - Anatomy,Physiology and Pathology' ","'Not EU' ","'Direct Clearing' ",5
2010 ,"'B1 - Anatomy,Physiology and Pathology' ","'Not EU' ","'RPA' ",10
2010 ,"'B2 - Pharmacology,Toxicology and Pharmacy' ","'UK' ","'Firm choice' ",2355
2010 ,"'B2 - Pharmacology,Toxicology and Pharmacy' ","'UK' ","'Insurance choice' ",510
2010 ,"'B2 - Pharmacology,Toxicology and Pharmacy' ","'UK' ","'Other main scheme choice' ",50
2010 ,"'B2 - Pharmacology,Toxicology and Pharmacy' ","'UK' ","'Extra' ",125
2010 ,"'B2 - Pharmacology,Toxicology and Pharmacy' ","'UK' ","'Adjustment' ",5
2010 ,"'B2 - Pharmacology,Toxicology and Pharmacy' ","'UK' ","'Main scheme Clearing' ",445
2010 ,"'B2 - Pharmacology,Toxicology and Pharmacy' ","'UK' ","'Direct Clearing' ",45
2010 ,"'B2 - Pharmacology,Toxicology and Pharmacy' ","'UK' ","'RPA' ",30
2010 ,"'B2 - Pharmacology,Toxicology and Pharmacy' ","'EU (excluding UK)' ","'Firm choice' ",155
2010 ,"'B2 - Pharmacology,Toxicology and Pharmacy' ","'EU (excluding UK)' ","'Insurance choice' ",40
2010 ,"'B2 - Pharmacology,Toxicology and Pharmacy' ","'EU (excluding UK)' ","'Other main scheme choice' ",10
2010 ,"'B2 - Pharmacology,Toxicology and Pharmacy' ","'EU (excluding UK)' ","'Main scheme Clearing' ",10
2010 ,"'B2 - Pharmacology,Toxicology and Pharmacy' ","'EU (excluding UK)' ","'Direct Clearing' ",5
2010 ,"'B2 - Pharmacology,Toxicology and Pharmacy' ","'EU (excluding UK)' ","'RPA' ",5
2010 ,"'B2 - Pharmacology,Toxicology and Pharmacy' ","'Not EU' ","'Firm choice' ",380
2010 ,"'B2 - Pharmacology,Toxicology and Pharmacy' ","'Not EU' ","'Insurance choice' ",35
2010 ,"'B2 - Pharmacology,Toxicology and Pharmacy' ","'Not EU' ","'Other main scheme choice' ",50
2010 ,"'B2 - Pharmacology,Toxicology and Pharmacy' ","'Not EU' ","'Extra' ",20
2010 ,"'B2 - Pharmacology,Toxicology and Pharmacy' ","'Not EU' ","'Adjustment' ",5
2010 ,"'B2 - Pharmacology,Toxicology and Pharmacy' ","'Not EU' ","'Main scheme Clearing' ",40
2010 ,"'B2 - Pharmacology,Toxicology and Pharmacy' ","'Not EU' ","'Direct Clearing' ",15
2010 ,"'B2 - Pharmacology,Toxicology and Pharmacy' ","'Not EU' ","'RPA' ",35
2010 ,"'B3 - Complementary Medicine' ","'UK' ","'Firm choice' ",500
2010 ,"'B3 - Complementary Medicine' ","'UK' ","'Insurance choice' ",15
2010 ,"'B3 - Complementary Medicine' ","'UK' ","'Other main scheme choice' ",50
2010 ,"'B3 - Complementary Medicine' ","'UK' ","'Extra' ",10
2010 ,"'B3 - Complementary Medicine' ","'UK' ","'Main scheme Clearing' ",75
2010 ,"'B3 - Complementary Medicine' ","'UK' ","'Direct Clearing' ",40
2010 ,"'B3 - Complementary Medicine' ","'UK' ","'RPA' ",155
2010 ,"'B3 - Complementary Medicine' ","'EU (excluding UK)' ","'Firm choice' ",95
2010 ,"'B3 - Complementary Medicine' ","'EU (excluding UK)' ","'Other main scheme choice' ",15
2010 ,"'B3 - Complementary Medicine' ","'EU (excluding UK)' ","'Main scheme Clearing' ",5
2010 ,"'B3 - Complementary Medicine' ","'EU (excluding UK)' ","'RPA' ",5
2010 ,"'B3 - Complementary Medicine' ","'Not EU' ","'Firm choice' ",50
2010 ,"'B3 - Complementary Medicine' ","'Not EU' ","'Other main scheme choice' ",10
2010 ,"'B3 - Complementary Medicine' ","'Not EU' ","'Main scheme Clearing' ",5
2010 ,"'B3 - Complementary Medicine' ","'Not EU' ","'RPA' ",15
2010 ,"'B4 - Nutrition' ","'UK' ","'Firm choice' ",730
2010 ,"'B4 - Nutrition' ","'UK' ","'Insurance choice' ",50
2010 ,"'B4 - Nutrition' ","'UK' ","'Other main scheme choice' ",25
2010 ,"'B4 - Nutrition' ","'UK' ","'Extra' ",15
2010 ,"'B4 - Nutrition' ","'UK' ","'Main scheme Clearing' ",75
2010 ,"'B4 - Nutrition' ","'UK' ","'Direct Clearing' ",10
2010 ,"'B4 - Nutrition' ","'UK' ","'RPA' ",25
2010 ,"'B4 - Nutrition' ","'EU (excluding UK)' ","'Firm choice' ",90
2010 ,"'B4 - Nutrition' ","'EU (excluding UK)' ","'Insurance choice' ",10
2010 ,"'B4 - Nutrition' ","'EU (excluding UK)' ","'Other main scheme choice' ",5
2010 ,"'B4 - Nutrition' ","'EU (excluding UK)' ","'Extra' ",5
2010 ,"'B4 - Nutrition' ","'EU (excluding UK)' ","'RPA' ",5
2010 ,"'B4 - Nutrition' ","'Not EU' ","'Firm choice' ",30
2010 ,"'B4 - Nutrition' ","'Not EU' ","'Other main scheme choice' ",5
2010 ,"'B4 - Nutrition' ","'Not EU' ","'Extra' ",5
2010 ,"'B4 - Nutrition' ","'Not EU' ","'RPA' ",40
2010 ,"'B5 - Ophthalmics' ","'UK' ","'Firm choice' ",495
2010 ,"'B5 - Ophthalmics' ","'UK' ","'Insurance choice' ",75
2010 ,"'B5 - Ophthalmics' ","'UK' ","'Other main scheme choice' ",10
2010 ,"'B5 - Ophthalmics' ","'UK' ","'Extra' ",35
2010 ,"'B5 - Ophthalmics' ","'UK' ","'Main scheme Clearing' ",75
2010 ,"'B5 - Ophthalmics' ","'UK' ","'Direct Clearing' ",10
2010 ,"'B5 - Ophthalmics' ","'EU (excluding UK)' ","'Firm choice' ",15
2010 ,"'B5 - Ophthalmics' ","'EU (excluding UK)' ","'Insurance choice' ",5
2010 ,"'B5 - Ophthalmics' ","'Not EU' ","'Firm choice' ",70
2010 ,"'B5 - Ophthalmics' ","'Not EU' ","'Other main scheme choice' ",10
2010 ,"'B5 - Ophthalmics' ","'Not EU' ","'RPA' ",5
2010 ,"'B6 - Aural and Oral Sciences' ","'UK' ","'Firm choice' ",680
2010 ,"'B6 - Aural and Oral Sciences' ","'UK' ","'Insurance choice' ",45
2010 ,"'B6 - Aural and Oral Sciences' ","'UK' ","'Other main scheme choice' ",5
2010 ,"'B6 - Aural and Oral Sciences' ","'UK' ","'Extra' ",5
2010 ,"'B6 - Aural and Oral Sciences' ","'UK' ","'Main scheme Clearing' ",50
2010 ,"'B6 - Aural and Oral Sciences' ","'UK' ","'Direct Clearing' ",10
2010 ,"'B6 - Aural and Oral Sciences' ","'UK' ","'RPA' ",5
2010 ,"'B6 - Aural and Oral Sciences' ","'EU (excluding UK)' ","'Firm choice' ",30
2010 ,"'B6 - Aural and Oral Sciences' ","'Not EU' ","'Firm choice' ",10
2010 ,"'B7 - Nursing' ","'UK' ","'Firm choice' ",22500
2010 ,"'B7 - Nursing' ","'UK' ","'Insurance choice' ",370
2010 ,"'B7 - Nursing' ","'UK' ","'Other main scheme choice' ",1100
2010 ,"'B7 - Nursing' ","'UK' ","'Extra' ",360
2010 ,"'B7 - Nursing' ","'UK' ","'Main scheme Clearing' ",1070
2010 ,"'B7 - Nursing' ","'UK' ","'Direct Clearing' ",175
2010 ,"'B7 - Nursing' ","'UK' ","'RPA' ",415
2010 ,"'B7 - Nursing' ","'EU (excluding UK)' ","'Firm choice' ",370
2010 ,"'B7 - Nursing' ","'EU (excluding UK)' ","'Insurance choice' ",15
2010 ,"'B7 - Nursing' ","'EU (excluding UK)' ","'Other main scheme choice' ",25
2010 ,"'B7 - Nursing' ","'EU (excluding UK)' ","'Extra' ",15
2010 ,"'B7 - Nursing' ","'EU (excluding UK)' ","'Main scheme Clearing' ",35
2010 ,"'B7 - Nursing' ","'EU (excluding UK)' ","'Direct Clearing' ",10
2010 ,"'B7 - Nursing' ","'EU (excluding UK)' ","'RPA' ",5
2010 ,"'B7 - Nursing' ","'Not EU' ","'Firm choice' ",70
2010 ,"'B7 - Nursing' ","'Not EU' ","'Other main scheme choice' ",5
2010 ,"'B7 - Nursing' ","'Not EU' ","'Main scheme Clearing' ",5
2010 ,"'B7 - Nursing' ","'Not EU' ","'RPA' ",10
2010 ,"'B8 - Medical Technology' ","'UK' ","'Firm choice' ",1475
2010 ,"'B8 - Medical Technology' ","'UK' ","'Insurance choice' ",95
2010 ,"'B8 - Medical Technology' ","'UK' ","'Other main scheme choice' ",35
2010 ,"'B8 - Medical Technology' ","'UK' ","'Extra' ",20
2010 ,"'B8 - Medical Technology' ","'UK' ","'Main scheme Clearing' ",120
2010 ,"'B8 - Medical Technology' ","'UK' ","'Direct Clearing' ",15
2010 ,"'B8 - Medical Technology' ","'UK' ","'RPA' ",10
2010 ,"'B8 - Medical Technology' ","'EU (excluding UK)' ","'Firm choice' ",110
2010 ,"'B8 - Medical Technology' ","'EU (excluding UK)' ","'Insurance choice' ",10
2010 ,"'B8 - Medical Technology' ","'EU (excluding UK)' ","'Other main scheme choice' ",5
2010 ,"'B8 - Medical Technology' ","'EU (excluding UK)' ","'Extra' ",5
2010 ,"'B8 - Medical Technology' ","'EU (excluding UK)' ","'Main scheme Clearing' ",5
2010 ,"'B8 - Medical Technology' ","'EU (excluding UK)' ","'RPA' ",5
2010 ,"'B8 - Medical Technology' ","'Not EU' ","'Firm choice' ",20
2010 ,"'B8 - Medical Technology' ","'Not EU' ","'Other main scheme choice' ",5
2010 ,"'B8 - Medical Technology' ","'Not EU' ","'Direct Clearing' ",5
2010 ,"'B8 - Medical Technology' ","'Not EU' ","'RPA' ",5
2010 ,"'B9 - Others in Subjects allied to Medicine' ","'UK' ","'Firm choice' ",5785
2010 ,"'B9 - Others in Subjects allied to Medicine' ","'UK' ","'Insurance choice' ",700
2010 ,"'B9 - Others in Subjects allied to Medicine' ","'UK' ","'Other main scheme choice' ",295
2010 ,"'B9 - Others in Subjects allied to Medicine' ","'UK' ","'Extra' ",225
2010 ,"'B9 - Others in Subjects allied to Medicine' ","'UK' ","'Adjustment' ",5
2010 ,"'B9 - Others in Subjects allied to Medicine' ","'UK' ","'Main scheme Clearing' ",1030
2010 ,"'B9 - Others in Subjects allied to Medicine' ","'UK' ","'Direct Clearing' ",140
2010 ,"'B9 - Others in Subjects allied to Medicine' ","'UK' ","'RPA' ",265
2010 ,"'B9 - Others in Subjects allied to Medicine' ","'EU (excluding UK)' ","'Firm choice' ",245
2010 ,"'B9 - Others in Subjects allied to Medicine' ","'EU (excluding UK)' ","'Insurance choice' ",30
