"Statistic:   Number of Acceptances"
"Variables:   Subject Group (Detailed Level) , Age Band , Acceptance Route , Cycle Year"
"Coverage:   All"
"For a list of key definitions and descriptions please refer to the PDF file provided - EOC_data_resource_2016-DR3_018_07.pdf"
 
Cycle Year,Subject Group (Detailed Level) , Age Band , Acceptance Route,Number of Acceptances,
2007 ,"'A1 - Pre-clinical Medicine' ","'17 and under' ","'Firm choice' ",100
2009 ,"'WW - Combinations within Creative Arts and Design' ","'21 and over' ","'Extra' ",10
2009 ,"'WW - Combinations within Creative Arts and Design' ","'21 and over' ","'Main scheme Clearing' ",55
2009 ,"'WW - Combinations within Creative Arts and Design' ","'21 and over' ","'Direct Clearing' ",50
2009 ,"'WW - Combinations within Creative Arts and Design' ","'21 and over' ","'RPA' ",140
2009 ,"'X1 - Training Teachers' ","'17 and under' ","'Firm choice' ",30
2009 ,"'X1 - Training Teachers' ","'17 and under' ","'Main scheme Clearing' ",10
2009 ,"'X1 - Training Teachers' ","'17 and under' ","'RPA' ",10
2009 ,"'X1 - Training Teachers' ","'18' ","'Firm choice' ",3770
2009 ,"'X1 - Training Teachers' ","'18' ","'Insurance choice' ",165
2009 ,"'X1 - Training Teachers' ","'18' ","'Other main scheme choice' ",15
2009 ,"'X1 - Training Teachers' ","'18' ","'Extra' ",25
2009 ,"'X1 - Training Teachers' ","'18' ","'Main scheme Clearing' ",155
2009 ,"'X1 - Training Teachers' ","'18' ","'Direct Clearing' ",5
2009 ,"'X1 - Training Teachers' ","'18' ","'RPA' ",15
2009 ,"'X1 - Training Teachers' ","'19' ","'Firm choice' ",1045
2009 ,"'X1 - Training Teachers' ","'19' ","'Insurance choice' ",20
2009 ,"'X1 - Training Teachers' ","'19' ","'Other main scheme choice' ",30
2009 ,"'X1 - Training Teachers' ","'19' ","'Extra' ",5
2009 ,"'X1 - Training Teachers' ","'19' ","'Main scheme Clearing' ",45
2009 ,"'X1 - Training Teachers' ","'19' ","'Direct Clearing' ",10
2009 ,"'X1 - Training Teachers' ","'19' ","'RPA' ",25
2009 ,"'X1 - Training Teachers' ","'20' ","'Firm choice' ",415
2009 ,"'X1 - Training Teachers' ","'20' ","'Other main scheme choice' ",10
2009 ,"'X1 - Training Teachers' ","'20' ","'Extra' ",5
2009 ,"'X1 - Training Teachers' ","'20' ","'Main scheme Clearing' ",15
2009 ,"'X1 - Training Teachers' ","'20' ","'Direct Clearing' ",5
2009 ,"'X1 - Training Teachers' ","'20' ","'RPA' ",15
2009 ,"'X1 - Training Teachers' ","'21 and over' ","'Firm choice' ",1580
2009 ,"'X1 - Training Teachers' ","'21 and over' ","'Insurance choice' ",5
2009 ,"'X1 - Training Teachers' ","'21 and over' ","'Other main scheme choice' ",130
2009 ,"'X1 - Training Teachers' ","'21 and over' ","'Extra' ",5
2009 ,"'X1 - Training Teachers' ","'21 and over' ","'Main scheme Clearing' ",80
2009 ,"'X1 - Training Teachers' ","'21 and over' ","'Direct Clearing' ",65
2009 ,"'X1 - Training Teachers' ","'21 and over' ","'RPA' ",205
2009 ,"'X2 - Research and Study Skills in Education' ","'21 and over' ","'Firm choice' ",30
2009 ,"'X2 - Research and Study Skills in Education' ","'21 and over' ","'Other main scheme choice' ",5
2009 ,"'X2 - Research and Study Skills in Education' ","'21 and over' ","'RPA' ",5
2009 ,"'X3 - Academic studies in Education' ","'17 and under' ","'Firm choice' ",5
2009 ,"'X3 - Academic studies in Education' ","'17 and under' ","'RPA' ",5
2009 ,"'X3 - Academic studies in Education' ","'18' ","'Firm choice' ",2300
2009 ,"'X3 - Academic studies in Education' ","'18' ","'Insurance choice' ",245
2009 ,"'X3 - Academic studies in Education' ","'18' ","'Other main scheme choice' ",20
2009 ,"'X3 - Academic studies in Education' ","'18' ","'Extra' ",45
2009 ,"'X3 - Academic studies in Education' ","'18' ","'Main scheme Clearing' ",260
2009 ,"'X3 - Academic studies in Education' ","'18' ","'Direct Clearing' ",20
2009 ,"'X3 - Academic studies in Education' ","'18' ","'RPA' ",55
2009 ,"'X3 - Academic studies in Education' ","'19' ","'Firm choice' ",940
2009 ,"'X3 - Academic studies in Education' ","'19' ","'Insurance choice' ",45
2009 ,"'X3 - Academic studies in Education' ","'19' ","'Other main scheme choice' ",70
2009 ,"'X3 - Academic studies in Education' ","'19' ","'Extra' ",35
2009 ,"'X3 - Academic studies in Education' ","'19' ","'Main scheme Clearing' ",100
2009 ,"'X3 - Academic studies in Education' ","'19' ","'Direct Clearing' ",35
2009 ,"'X3 - Academic studies in Education' ","'19' ","'RPA' ",65
2009 ,"'X3 - Academic studies in Education' ","'20' ","'Firm choice' ",420
2009 ,"'X3 - Academic studies in Education' ","'20' ","'Insurance choice' ",20
2009 ,"'X3 - Academic studies in Education' ","'20' ","'Other main scheme choice' ",50
2009 ,"'X3 - Academic studies in Education' ","'20' ","'Extra' ",10
2009 ,"'X3 - Academic studies in Education' ","'20' ","'Main scheme Clearing' ",35
2009 ,"'X3 - Academic studies in Education' ","'20' ","'Direct Clearing' ",20
2009 ,"'X3 - Academic studies in Education' ","'20' ","'RPA' ",45
2009 ,"'X3 - Academic studies in Education' ","'21 and over' ","'Firm choice' ",1310
2009 ,"'X3 - Academic studies in Education' ","'21 and over' ","'Insurance choice' ",20
2009 ,"'X3 - Academic studies in Education' ","'21 and over' ","'Other main scheme choice' ",350
2009 ,"'X3 - Academic studies in Education' ","'21 and over' ","'Extra' ",5
2009 ,"'X3 - Academic studies in Education' ","'21 and over' ","'Main scheme Clearing' ",100
2009 ,"'X3 - Academic studies in Education' ","'21 and over' ","'Direct Clearing' ",135
2009 ,"'X3 - Academic studies in Education' ","'21 and over' ","'RPA' ",435
2009 ,"'X9 - Others in Education' ","'18' ","'Firm choice' ",40
2009 ,"'X9 - Others in Education' ","'19' ","'Firm choice' ",25
2009 ,"'X9 - Others in Education' ","'20' ","'Firm choice' ",15
2009 ,"'X9 - Others in Education' ","'20' ","'Other main scheme choice' ",5
2009 ,"'X9 - Others in Education' ","'21 and over' ","'Firm choice' ",90
2009 ,"'X9 - Others in Education' ","'21 and over' ","'Other main scheme choice' ",50
2009 ,"'X9 - Others in Education' ","'21 and over' ","'Main scheme Clearing' ",5
2009 ,"'X9 - Others in Education' ","'21 and over' ","'Direct Clearing' ",25
2009 ,"'X9 - Others in Education' ","'21 and over' ","'RPA' ",50
2009 ,"'XX - Combinations within Education' ","'18' ","'Firm choice' ",155
2009 ,"'XX - Combinations within Education' ","'18' ","'Insurance choice' ",10
2009 ,"'XX - Combinations within Education' ","'18' ","'Extra' ",5
2009 ,"'XX - Combinations within Education' ","'18' ","'Main scheme Clearing' ",10
2009 ,"'XX - Combinations within Education' ","'19' ","'Firm choice' ",40
2009 ,"'XX - Combinations within Education' ","'19' ","'Insurance choice' ",5
2009 ,"'XX - Combinations within Education' ","'19' ","'Main scheme Clearing' ",5
2009 ,"'XX - Combinations within Education' ","'20' ","'Firm choice' ",15
2009 ,"'XX - Combinations within Education' ","'20' ","'Other main scheme choice' ",5
2009 ,"'XX - Combinations within Education' ","'21 and over' ","'Firm choice' ",140
2009 ,"'XX - Combinations within Education' ","'21 and over' ","'Insurance choice' ",5
2009 ,"'XX - Combinations within Education' ","'21 and over' ","'Other main scheme choice' ",60
2009 ,"'XX - Combinations within Education' ","'21 and over' ","'Main scheme Clearing' ",5
2009 ,"'XX - Combinations within Education' ","'21 and over' ","'Direct Clearing' ",25
2009 ,"'XX - Combinations within Education' ","'21 and over' ","'RPA' ",50
2009 ,"'Y Combs of arts/humanities' ","'17 and under' ","'Firm choice' ",15
2009 ,"'Y Combs of arts/humanities' ","'18' ","'Firm choice' ",1590
2009 ,"'Y Combs of arts/humanities' ","'18' ","'Insurance choice' ",105
2009 ,"'Y Combs of arts/humanities' ","'18' ","'Other main scheme choice' ",20
2009 ,"'Y Combs of arts/humanities' ","'18' ","'Extra' ",30
2009 ,"'Y Combs of arts/humanities' ","'18' ","'Main scheme Clearing' ",125
2009 ,"'Y Combs of arts/humanities' ","'18' ","'Direct Clearing' ",5
2009 ,"'Y Combs of arts/humanities' ","'18' ","'RPA' ",10
2009 ,"'Y Combs of arts/humanities' ","'19' ","'Firm choice' ",840
2009 ,"'Y Combs of arts/humanities' ","'19' ","'Insurance choice' ",20
2009 ,"'Y Combs of arts/humanities' ","'19' ","'Other main scheme choice' ",45
2009 ,"'Y Combs of arts/humanities' ","'19' ","'Extra' ",15
2009 ,"'Y Combs of arts/humanities' ","'19' ","'Main scheme Clearing' ",70
2009 ,"'Y Combs of arts/humanities' ","'19' ","'Direct Clearing' ",15
2009 ,"'Y Combs of arts/humanities' ","'19' ","'RPA' ",25
2009 ,"'Y Combs of arts/humanities' ","'20' ","'Firm choice' ",285
2009 ,"'Y Combs of arts/humanities' ","'20' ","'Insurance choice' ",5
2009 ,"'Y Combs of arts/humanities' ","'20' ","'Other main scheme choice' ",30
2009 ,"'Y Combs of arts/humanities' ","'20' ","'Main scheme Clearing' ",20
2009 ,"'Y Combs of arts/humanities' ","'20' ","'Direct Clearing' ",20
2009 ,"'Y Combs of arts/humanities' ","'20' ","'RPA' ",30
2009 ,"'Y Combs of arts/humanities' ","'21 and over' ","'Firm choice' ",570
2009 ,"'Y Combs of arts/humanities' ","'21 and over' ","'Insurance choice' ",5
2009 ,"'Y Combs of arts/humanities' ","'21 and over' ","'Other main scheme choice' ",95
2009 ,"'Y Combs of arts/humanities' ","'21 and over' ","'Extra' ",10
2009 ,"'Y Combs of arts/humanities' ","'21 and over' ","'Main scheme Clearing' ",45
2009 ,"'Y Combs of arts/humanities' ","'21 and over' ","'Direct Clearing' ",45
2009 ,"'Y Combs of arts/humanities' ","'21 and over' ","'RPA' ",90
2009 ,"'Y Combs of engin/tech/building studies' ","'18' ","'Firm choice' ",115
2009 ,"'Y Combs of engin/tech/building studies' ","'18' ","'Insurance choice' ",10
2009 ,"'Y Combs of engin/tech/building studies' ","'18' ","'Main scheme Clearing' ",15
2009 ,"'Y Combs of engin/tech/building studies' ","'19' ","'Firm choice' ",25
2009 ,"'Y Combs of engin/tech/building studies' ","'19' ","'Other main scheme choice' ",5
2009 ,"'Y Combs of engin/tech/building studies' ","'19' ","'Main scheme Clearing' ",5
2009 ,"'Y Combs of engin/tech/building studies' ","'20' ","'Firm choice' ",5
2009 ,"'Y Combs of engin/tech/building studies' ","'21 and over' ","'Firm choice' ",10
2009 ,"'Y Combs of engin/tech/building studies' ","'21 and over' ","'Other main scheme choice' ",5
2009 ,"'Y Combs of engin/tech/building studies' ","'21 and over' ","'RPA' ",5
2009 ,"'Y Combs of engineering/technology' ","'17 and under' ","'Firm choice' ",5
2009 ,"'Y Combs of engineering/technology' ","'18' ","'Firm choice' ",130
2009 ,"'Y Combs of engineering/technology' ","'18' ","'Insurance choice' ",10
2009 ,"'Y Combs of engineering/technology' ","'18' ","'Main scheme Clearing' ",10
2009 ,"'Y Combs of engineering/technology' ","'19' ","'Firm choice' ",50
2009 ,"'Y Combs of engineering/technology' ","'19' ","'Other main scheme choice' ",5
2009 ,"'Y Combs of engineering/technology' ","'19' ","'Main scheme Clearing' ",5
2009 ,"'Y Combs of engineering/technology' ","'19' ","'Direct Clearing' ",5
2009 ,"'Y Combs of engineering/technology' ","'20' ","'Firm choice' ",25
2009 ,"'Y Combs of engineering/technology' ","'20' ","'Other main scheme choice' ",5
2009 ,"'Y Combs of engineering/technology' ","'20' ","'Main scheme Clearing' ",5
2009 ,"'Y Combs of engineering/technology' ","'21 and over' ","'Firm choice' ",45
2009 ,"'Y Combs of engineering/technology' ","'21 and over' ","'Other main scheme choice' ",20
2009 ,"'Y Combs of engineering/technology' ","'21 and over' ","'Main scheme Clearing' ",5
2009 ,"'Y Combs of engineering/technology' ","'21 and over' ","'Direct Clearing' ",5
2009 ,"'Y Combs of engineering/technology' ","'21 and over' ","'RPA' ",15
2009 ,"'Y Combs of languages' ","'17 and under' ","'Firm choice' ",15
2009 ,"'Y Combs of languages' ","'17 and under' ","'Insurance choice' ",5
2009 ,"'Y Combs of languages' ","'18' ","'Firm choice' ",855
2009 ,"'Y Combs of languages' ","'18' ","'Insurance choice' ",125
2009 ,"'Y Combs of languages' ","'18' ","'Extra' ",15
2009 ,"'Y Combs of languages' ","'18' ","'Main scheme Clearing' ",55
2009 ,"'Y Combs of languages' ","'19' ","'Firm choice' ",205
2009 ,"'Y Combs of languages' ","'19' ","'Insurance choice' ",15
2009 ,"'Y Combs of languages' ","'19' ","'Other main scheme choice' ",10
2009 ,"'Y Combs of languages' ","'19' ","'Extra' ",5
2009 ,"'Y Combs of languages' ","'19' ","'Main scheme Clearing' ",15
2009 ,"'Y Combs of languages' ","'19' ","'Direct Clearing' ",5
2009 ,"'Y Combs of languages' ","'19' ","'RPA' ",5
2009 ,"'Y Combs of languages' ","'20' ","'Firm choice' ",50
2009 ,"'Y Combs of languages' ","'20' ","'Other main scheme choice' ",10
2009 ,"'Y Combs of languages' ","'20' ","'Main scheme Clearing' ",5
2009 ,"'Y Combs of languages' ","'21 and over' ","'Firm choice' ",100
2009 ,"'Y Combs of languages' ","'21 and over' ","'Insurance choice' ",5
2009 ,"'Y Combs of languages' ","'21 and over' ","'Other main scheme choice' ",20
2009 ,"'Y Combs of languages' ","'21 and over' ","'Extra' ",5
2009 ,"'Y Combs of languages' ","'21 and over' ","'Main scheme Clearing' ",10
2009 ,"'Y Combs of languages' ","'21 and over' ","'Direct Clearing' ",20
2009 ,"'Y Combs of languages' ","'21 and over' ","'RPA' ",10
2009 ,"'Y Combs of languages with arts/humanities' ","'17 and under' ","'Firm choice' ",45
2009 ,"'Y Combs of languages with arts/humanities' ","'17 and under' ","'Insurance choice' ",5
2009 ,"'Y Combs of languages with arts/humanities' ","'18' ","'Firm choice' ",3655
2009 ,"'Y Combs of languages with arts/humanities' ","'18' ","'Insurance choice' ",535
2009 ,"'Y Combs of languages with arts/humanities' ","'18' ","'Other main scheme choice' ",30
2009 ,"'Y Combs of languages with arts/humanities' ","'18' ","'Extra' ",65
2009 ,"'Y Combs of languages with arts/humanities' ","'18' ","'Adjustment' ",5
2009 ,"'Y Combs of languages with arts/humanities' ","'18' ","'Main scheme Clearing' ",340
2009 ,"'Y Combs of languages with arts/humanities' ","'18' ","'Direct Clearing' ",10
2009 ,"'Y Combs of languages with arts/humanities' ","'18' ","'RPA' ",15
2009 ,"'Y Combs of languages with arts/humanities' ","'19' ","'Firm choice' ",1220
2009 ,"'Y Combs of languages with arts/humanities' ","'19' ","'Insurance choice' ",65
2009 ,"'Y Combs of languages with arts/humanities' ","'19' ","'Other main scheme choice' ",45
2009 ,"'Y Combs of languages with arts/humanities' ","'19' ","'Extra' ",30
2009 ,"'Y Combs of languages with arts/humanities' ","'19' ","'Main scheme Clearing' ",75
2009 ,"'Y Combs of languages with arts/humanities' ","'19' ","'Direct Clearing' ",20
2009 ,"'Y Combs of languages with arts/humanities' ","'19' ","'RPA' ",25
2009 ,"'Y Combs of languages with arts/humanities' ","'20' ","'Firm choice' ",380
2009 ,"'Y Combs of languages with arts/humanities' ","'20' ","'Insurance choice' ",10
2009 ,"'Y Combs of languages with arts/humanities' ","'20' ","'Other main scheme choice' ",30
2009 ,"'Y Combs of languages with arts/humanities' ","'20' ","'Extra' ",15
2009 ,"'Y Combs of languages with arts/humanities' ","'20' ","'Main scheme Clearing' ",30
2009 ,"'Y Combs of languages with arts/humanities' ","'20' ","'Direct Clearing' ",25
2009 ,"'Y Combs of languages with arts/humanities' ","'20' ","'RPA' ",10
2009 ,"'Y Combs of languages with arts/humanities' ","'21 and over' ","'Firm choice' ",815
2009 ,"'Y Combs of languages with arts/humanities' ","'21 and over' ","'Insurance choice' ",10
2009 ,"'Y Combs of languages with arts/humanities' ","'21 and over' ","'Other main scheme choice' ",105
2009 ,"'Y Combs of languages with arts/humanities' ","'21 and over' ","'Extra' ",15
2009 ,"'Y Combs of languages with arts/humanities' ","'21 and over' ","'Main scheme Clearing' ",50
2009 ,"'Y Combs of languages with arts/humanities' ","'21 and over' ","'Direct Clearing' ",65
2009 ,"'Y Combs of languages with arts/humanities' ","'21 and over' ","'RPA' ",110
2009 ,"'Y Combs of med/bio/agric sciences' ","'17 and under' ","'Firm choice' ",20
2009 ,"'Y Combs of med/bio/agric sciences' ","'17 and under' ","'Main scheme Clearing' ",5
2009 ,"'Y Combs of med/bio/agric sciences' ","'18' ","'Firm choice' ",1365
2009 ,"'Y Combs of med/bio/agric sciences' ","'18' ","'Insurance choice' ",150
2009 ,"'Y Combs of med/bio/agric sciences' ","'18' ","'Other main scheme choice' ",25
2009 ,"'Y Combs of med/bio/agric sciences' ","'18' ","'Extra' ",40
2009 ,"'Y Combs of med/bio/agric sciences' ","'18' ","'Main scheme Clearing' ",155
2009 ,"'Y Combs of med/bio/agric sciences' ","'18' ","'Direct Clearing' ",10
2009 ,"'Y Combs of med/bio/agric sciences' ","'18' ","'RPA' ",15
2009 ,"'Y Combs of med/bio/agric sciences' ","'19' ","'Firm choice' ",480
2009 ,"'Y Combs of med/bio/agric sciences' ","'19' ","'Insurance choice' ",25
2009 ,"'Y Combs of med/bio/agric sciences' ","'19' ","'Other main scheme choice' ",15
2009 ,"'Y Combs of med/bio/agric sciences' ","'19' ","'Extra' ",25
2009 ,"'Y Combs of med/bio/agric sciences' ","'19' ","'Main scheme Clearing' ",40
2009 ,"'Y Combs of med/bio/agric sciences' ","'19' ","'Direct Clearing' ",15
2009 ,"'Y Combs of med/bio/agric sciences' ","'19' ","'RPA' ",30
2009 ,"'Y Combs of med/bio/agric sciences' ","'20' ","'Firm choice' ",220
2009 ,"'Y Combs of med/bio/agric sciences' ","'20' ","'Insurance choice' ",5
2009 ,"'Y Combs of med/bio/agric sciences' ","'20' ","'Other main scheme choice' ",25
2009 ,"'Y Combs of med/bio/agric sciences' ","'20' ","'Extra' ",5
2009 ,"'Y Combs of med/bio/agric sciences' ","'20' ","'Main scheme Clearing' ",25
2009 ,"'Y Combs of med/bio/agric sciences' ","'20' ","'Direct Clearing' ",25
2009 ,"'Y Combs of med/bio/agric sciences' ","'20' ","'RPA' ",15
2009 ,"'Y Combs of med/bio/agric sciences' ","'21 and over' ","'Firm choice' ",430
2009 ,"'Y Combs of med/bio/agric sciences' ","'21 and over' ","'Insurance choice' ",5
2009 ,"'Y Combs of med/bio/agric sciences' ","'21 and over' ","'Other main scheme choice' ",80
2009 ,"'Y Combs of med/bio/agric sciences' ","'21 and over' ","'Extra' ",15
2009 ,"'Y Combs of med/bio/agric sciences' ","'21 and over' ","'Main scheme Clearing' ",40
2009 ,"'Y Combs of med/bio/agric sciences' ","'21 and over' ","'Direct Clearing' ",40
2009 ,"'Y Combs of med/bio/agric sciences' ","'21 and over' ","'RPA' ",90
2009 ,"'Y Combs of med/bio/agric sciences with phys/math/comp sciences' ","'17 and under' ","'Firm choice' ",10
2009 ,"'Y Combs of med/bio/agric sciences with phys/math/comp sciences' ","'17 and under' ","'RPA' ",5
2009 ,"'Y Combs of med/bio/agric sciences with phys/math/comp sciences' ","'18' ","'Firm choice' ",560
2009 ,"'Y Combs of med/bio/agric sciences with phys/math/comp sciences' ","'18' ","'Insurance choice' ",95
2009 ,"'Y Combs of med/bio/agric sciences with phys/math/comp sciences' ","'18' ","'Other main scheme choice' ",5
2009 ,"'Y Combs of med/bio/agric sciences with phys/math/comp sciences' ","'18' ","'Extra' ",10
2009 ,"'Y Combs of med/bio/agric sciences with phys/math/comp sciences' ","'18' ","'Adjustment' ",5
2009 ,"'Y Combs of med/bio/agric sciences with phys/math/comp sciences' ","'18' ","'Main scheme Clearing' ",85
2009 ,"'Y Combs of med/bio/agric sciences with phys/math/comp sciences' ","'18' ","'RPA' ",5
2009 ,"'Y Combs of med/bio/agric sciences with phys/math/comp sciences' ","'19' ","'Firm choice' ",195
2009 ,"'Y Combs of med/bio/agric sciences with phys/math/comp sciences' ","'19' ","'Insurance choice' ",20
2009 ,"'Y Combs of med/bio/agric sciences with phys/math/comp sciences' ","'19' ","'Other main scheme choice' ",5
2009 ,"'Y Combs of med/bio/agric sciences with phys/math/comp sciences' ","'19' ","'Extra' ",5
2009 ,"'Y Combs of med/bio/agric sciences with phys/math/comp sciences' ","'19' ","'Main scheme Clearing' ",35
2009 ,"'Y Combs of med/bio/agric sciences with phys/math/comp sciences' ","'19' ","'Direct Clearing' ",5
2009 ,"'Y Combs of med/bio/agric sciences with phys/math/comp sciences' ","'19' ","'RPA' ",15
2009 ,"'Y Combs of med/bio/agric sciences with phys/math/comp sciences' ","'20' ","'Firm choice' ",65
2009 ,"'Y Combs of med/bio/agric sciences with phys/math/comp sciences' ","'20' ","'Insurance choice' ",5
2009 ,"'Y Combs of med/bio/agric sciences with phys/math/comp sciences' ","'20' ","'Other main scheme choice' ",10
2009 ,"'Y Combs of med/bio/agric sciences with phys/math/comp sciences' ","'20' ","'Main scheme Clearing' ",15
2009 ,"'Y Combs of med/bio/agric sciences with phys/math/comp sciences' ","'20' ","'Direct Clearing' ",10
2009 ,"'Y Combs of med/bio/agric sciences with phys/math/comp sciences' ","'20' ","'RPA' ",5
2009 ,"'Y Combs of med/bio/agric sciences with phys/math/comp sciences' ","'21 and over' ","'Firm choice' ",245
2009 ,"'Y Combs of med/bio/agric sciences with phys/math/comp sciences' ","'21 and over' ","'Insurance choice' ",10
2009 ,"'Y Combs of med/bio/agric sciences with phys/math/comp sciences' ","'21 and over' ","'Other main scheme choice' ",35
2009 ,"'Y Combs of med/bio/agric sciences with phys/math/comp sciences' ","'21 and over' ","'Extra' ",5
2009 ,"'Y Combs of med/bio/agric sciences with phys/math/comp sciences' ","'21 and over' ","'Main scheme Clearing' ",15
2009 ,"'Y Combs of med/bio/agric sciences with phys/math/comp sciences' ","'21 and over' ","'Direct Clearing' ",15
2009 ,"'Y Combs of med/bio/agric sciences with phys/math/comp sciences' ","'21 and over' ","'RPA' ",65
2009 ,"'Y Combs of phys/math science with arts/humanities/languages' ","'17 and under' ","'Firm choice' ",10
2009 ,"'Y Combs of phys/math science with arts/humanities/languages' ","'18' ","'Firm choice' ",975
2009 ,"'Y Combs of phys/math science with arts/humanities/languages' ","'18' ","'Insurance choice' ",100
2009 ,"'Y Combs of phys/math science with arts/humanities/languages' ","'18' ","'Other main scheme choice' ",20
2009 ,"'Y Combs of phys/math science with arts/humanities/languages' ","'18' ","'Extra' ",10
2009 ,"'Y Combs of phys/math science with arts/humanities/languages' ","'18' ","'Main scheme Clearing' ",65
2009 ,"'Y Combs of phys/math science with arts/humanities/languages' ","'18' ","'Direct Clearing' ",5
2009 ,"'Y Combs of phys/math science with arts/humanities/languages' ","'18' ","'RPA' ",20
2009 ,"'Y Combs of phys/math science with arts/humanities/languages' ","'19' ","'Firm choice' ",380
2009 ,"'Y Combs of phys/math science with arts/humanities/languages' ","'19' ","'Insurance choice' ",25
2009 ,"'Y Combs of phys/math science with arts/humanities/languages' ","'19' ","'Other main scheme choice' ",30
2009 ,"'Y Combs of phys/math science with arts/humanities/languages' ","'19' ","'Extra' ",5
2009 ,"'Y Combs of phys/math science with arts/humanities/languages' ","'19' ","'Main scheme Clearing' ",30
2009 ,"'Y Combs of phys/math science with arts/humanities/languages' ","'19' ","'Direct Clearing' ",10
2009 ,"'Y Combs of phys/math science with arts/humanities/languages' ","'19' ","'RPA' ",30
2009 ,"'Y Combs of phys/math science with arts/humanities/languages' ","'20' ","'Firm choice' ",180
2009 ,"'Y Combs of phys/math science with arts/humanities/languages' ","'20' ","'Insurance choice' ",10
2009 ,"'Y Combs of phys/math science with arts/humanities/languages' ","'20' ","'Other main scheme choice' ",25
2009 ,"'Y Combs of phys/math science with arts/humanities/languages' ","'20' ","'Extra' ",5
2009 ,"'Y Combs of phys/math science with arts/humanities/languages' ","'20' ","'Main scheme Clearing' ",15
2009 ,"'Y Combs of phys/math science with arts/humanities/languages' ","'20' ","'Direct Clearing' ",15
2009 ,"'Y Combs of phys/math science with arts/humanities/languages' ","'20' ","'RPA' ",25
2009 ,"'Y Combs of phys/math science with arts/humanities/languages' ","'21 and over' ","'Firm choice' ",420
2009 ,"'Y Combs of phys/math science with arts/humanities/languages' ","'21 and over' ","'Insurance choice' ",15
2009 ,"'Y Combs of phys/math science with arts/humanities/languages' ","'21 and over' ","'Other main scheme choice' ",75
2009 ,"'Y Combs of phys/math science with arts/humanities/languages' ","'21 and over' ","'Main scheme Clearing' ",35
2009 ,"'Y Combs of phys/math science with arts/humanities/languages' ","'21 and over' ","'Direct Clearing' ",35
2009 ,"'Y Combs of phys/math science with arts/humanities/languages' ","'21 and over' ","'RPA' ",120
2009 ,"'Y Combs of phys/math science with social studies/bus/law' ","'17 and under' ","'Firm choice' ",35
2009 ,"'Y Combs of phys/math science with social studies/bus/law' ","'17 and under' ","'Insurance choice' ",5
2009 ,"'Y Combs of phys/math science with social studies/bus/law' ","'17 and under' ","'Other main scheme choice' ",5
2009 ,"'Y Combs of phys/math science with social studies/bus/law' ","'17 and under' ","'Main scheme Clearing' ",5
2009 ,"'Y Combs of phys/math science with social studies/bus/law' ","'17 and under' ","'RPA' ",5
2009 ,"'Y Combs of phys/math science with social studies/bus/law' ","'18' ","'Firm choice' ",1625
2009 ,"'Y Combs of phys/math science with social studies/bus/law' ","'18' ","'Insurance choice' ",285
2009 ,"'Y Combs of phys/math science with social studies/bus/law' ","'18' ","'Other main scheme choice' ",15
2009 ,"'Y Combs of phys/math science with social studies/bus/law' ","'18' ","'Extra' ",25
2009 ,"'Y Combs of phys/math science with social studies/bus/law' ","'18' ","'Adjustment' ",5
2009 ,"'Y Combs of phys/math science with social studies/bus/law' ","'18' ","'Main scheme Clearing' ",255
2009 ,"'Y Combs of phys/math science with social studies/bus/law' ","'18' ","'Direct Clearing' ",5
2009 ,"'Y Combs of phys/math science with social studies/bus/law' ","'18' ","'RPA' ",15
2009 ,"'Y Combs of phys/math science with social studies/bus/law' ","'19' ","'Firm choice' ",600
2009 ,"'Y Combs of phys/math science with social studies/bus/law' ","'19' ","'Insurance choice' ",95
2009 ,"'Y Combs of phys/math science with social studies/bus/law' ","'19' ","'Other main scheme choice' ",30
2009 ,"'Y Combs of phys/math science with social studies/bus/law' ","'19' ","'Extra' ",10
2009 ,"'Y Combs of phys/math science with social studies/bus/law' ","'19' ","'Main scheme Clearing' ",120
2009 ,"'Y Combs of phys/math science with social studies/bus/law' ","'19' ","'Direct Clearing' ",20
2009 ,"'Y Combs of phys/math science with social studies/bus/law' ","'19' ","'RPA' ",30
2009 ,"'Y Combs of phys/math science with social studies/bus/law' ","'20' ","'Firm choice' ",175
2009 ,"'Y Combs of phys/math science with social studies/bus/law' ","'20' ","'Insurance choice' ",20
2009 ,"'Y Combs of phys/math science with social studies/bus/law' ","'20' ","'Other main scheme choice' ",20
2009 ,"'Y Combs of phys/math science with social studies/bus/law' ","'20' ","'Extra' ",5
2009 ,"'Y Combs of phys/math science with social studies/bus/law' ","'20' ","'Main scheme Clearing' ",45
2009 ,"'Y Combs of phys/math science with social studies/bus/law' ","'20' ","'Direct Clearing' ",15
2009 ,"'Y Combs of phys/math science with social studies/bus/law' ","'20' ","'RPA' ",25
2009 ,"'Y Combs of phys/math science with social studies/bus/law' ","'21 and over' ","'Firm choice' ",295
2009 ,"'Y Combs of phys/math science with social studies/bus/law' ","'21 and over' ","'Insurance choice' ",15
2009 ,"'Y Combs of phys/math science with social studies/bus/law' ","'21 and over' ","'Other main scheme choice' ",60
2009 ,"'Y Combs of phys/math science with social studies/bus/law' ","'21 and over' ","'Extra' ",10
2009 ,"'Y Combs of phys/math science with social studies/bus/law' ","'21 and over' ","'Main scheme Clearing' ",35
2009 ,"'Y Combs of phys/math science with social studies/bus/law' ","'21 and over' ","'Direct Clearing' ",40
