"Statistic:   Number of Acceptances"
"Variables:   Subject Group (Summary Level) , Age Band , Acceptance Route , Cycle Year"
"Coverage:   All"
"For a list of key definitions and descriptions please refer to the PDF file provided - EOC_data_resource_2016-DR3_013_07.pdf"
 
Cycle Year,Subject Group (Summary Level) , Age Band , Acceptance Route,Number of Acceptances,
2007 ,"'Group A Medicine and Dentistry' ","'17 and under' ","'Firm choice' ",110
2010 ,"'Group C Biological Sciences' ","'20' ","'Insurance choice' ",100
2010 ,"'Group C Biological Sciences' ","'20' ","'Other main scheme choice' ",105
2010 ,"'Group C Biological Sciences' ","'20' ","'Extra' ",60
2010 ,"'Group C Biological Sciences' ","'20' ","'Main scheme Clearing' ",180
2010 ,"'Group C Biological Sciences' ","'20' ","'Direct Clearing' ",60
2010 ,"'Group C Biological Sciences' ","'20' ","'RPA' ",130
2010 ,"'Group C Biological Sciences' ","'21 and over' ","'Firm choice' ",3970
2010 ,"'Group C Biological Sciences' ","'21 and over' ","'Insurance choice' ",120
2010 ,"'Group C Biological Sciences' ","'21 and over' ","'Other main scheme choice' ",350
2010 ,"'Group C Biological Sciences' ","'21 and over' ","'Extra' ",110
2010 ,"'Group C Biological Sciences' ","'21 and over' ","'Main scheme Clearing' ",355
2010 ,"'Group C Biological Sciences' ","'21 and over' ","'Direct Clearing' ",230
2010 ,"'Group C Biological Sciences' ","'21 and over' ","'RPA' ",535
2010 ,"'Group D Veterinary Sciences, Agriculture and related' ","'17 and under' ","'Firm choice' ",45
2010 ,"'Group D Veterinary Sciences, Agriculture and related' ","'17 and under' ","'Insurance choice' ",5
2010 ,"'Group D Veterinary Sciences, Agriculture and related' ","'17 and under' ","'Other main scheme choice' ",5
2010 ,"'Group D Veterinary Sciences, Agriculture and related' ","'17 and under' ","'Main scheme Clearing' ",10
2010 ,"'Group D Veterinary Sciences, Agriculture and related' ","'17 and under' ","'Direct Clearing' ",10
2010 ,"'Group D Veterinary Sciences, Agriculture and related' ","'17 and under' ","'RPA' ",20
2010 ,"'Group D Veterinary Sciences, Agriculture and related' ","'18' ","'Firm choice' ",2095
2010 ,"'Group D Veterinary Sciences, Agriculture and related' ","'18' ","'Insurance choice' ",160
2010 ,"'Group D Veterinary Sciences, Agriculture and related' ","'18' ","'Other main scheme choice' ",40
2010 ,"'Group D Veterinary Sciences, Agriculture and related' ","'18' ","'Extra' ",35
2010 ,"'Group D Veterinary Sciences, Agriculture and related' ","'18' ","'Main scheme Clearing' ",215
2010 ,"'Group D Veterinary Sciences, Agriculture and related' ","'18' ","'Direct Clearing' ",25
2010 ,"'Group D Veterinary Sciences, Agriculture and related' ","'18' ","'RPA' ",40
2010 ,"'Group D Veterinary Sciences, Agriculture and related' ","'19' ","'Firm choice' ",830
2010 ,"'Group D Veterinary Sciences, Agriculture and related' ","'19' ","'Insurance choice' ",35
2010 ,"'Group D Veterinary Sciences, Agriculture and related' ","'19' ","'Other main scheme choice' ",20
2010 ,"'Group D Veterinary Sciences, Agriculture and related' ","'19' ","'Extra' ",15
2010 ,"'Group D Veterinary Sciences, Agriculture and related' ","'19' ","'Main scheme Clearing' ",60
2010 ,"'Group D Veterinary Sciences, Agriculture and related' ","'19' ","'Direct Clearing' ",25
2010 ,"'Group D Veterinary Sciences, Agriculture and related' ","'19' ","'RPA' ",40
2010 ,"'Group D Veterinary Sciences, Agriculture and related' ","'20' ","'Firm choice' ",330
2010 ,"'Group D Veterinary Sciences, Agriculture and related' ","'20' ","'Insurance choice' ",10
2010 ,"'Group D Veterinary Sciences, Agriculture and related' ","'20' ","'Other main scheme choice' ",20
2010 ,"'Group D Veterinary Sciences, Agriculture and related' ","'20' ","'Extra' ",5
2010 ,"'Group D Veterinary Sciences, Agriculture and related' ","'20' ","'Main scheme Clearing' ",25
2010 ,"'Group D Veterinary Sciences, Agriculture and related' ","'20' ","'Direct Clearing' ",20
2010 ,"'Group D Veterinary Sciences, Agriculture and related' ","'20' ","'RPA' ",40
2010 ,"'Group D Veterinary Sciences, Agriculture and related' ","'21 and over' ","'Firm choice' ",995
2010 ,"'Group D Veterinary Sciences, Agriculture and related' ","'21 and over' ","'Insurance choice' ",5
2010 ,"'Group D Veterinary Sciences, Agriculture and related' ","'21 and over' ","'Other main scheme choice' ",145
2010 ,"'Group D Veterinary Sciences, Agriculture and related' ","'21 and over' ","'Extra' ",10
2010 ,"'Group D Veterinary Sciences, Agriculture and related' ","'21 and over' ","'Main scheme Clearing' ",55
2010 ,"'Group D Veterinary Sciences, Agriculture and related' ","'21 and over' ","'Direct Clearing' ",105
2010 ,"'Group D Veterinary Sciences, Agriculture and related' ","'21 and over' ","'RPA' ",285
2010 ,"'Group F Physical Sciences' ","'17 and under' ","'Firm choice' ",155
2010 ,"'Group F Physical Sciences' ","'17 and under' ","'Insurance choice' ",20
2010 ,"'Group F Physical Sciences' ","'17 and under' ","'Other main scheme choice' ",5
2010 ,"'Group F Physical Sciences' ","'17 and under' ","'Main scheme Clearing' ",15
2010 ,"'Group F Physical Sciences' ","'17 and under' ","'RPA' ",5
2010 ,"'Group F Physical Sciences' ","'18' ","'Firm choice' ",9215
2010 ,"'Group F Physical Sciences' ","'18' ","'Insurance choice' ",1625
2010 ,"'Group F Physical Sciences' ","'18' ","'Other main scheme choice' ",25
2010 ,"'Group F Physical Sciences' ","'18' ","'Extra' ",80
2010 ,"'Group F Physical Sciences' ","'18' ","'Adjustment' ",10
2010 ,"'Group F Physical Sciences' ","'18' ","'Main scheme Clearing' ",1100
2010 ,"'Group F Physical Sciences' ","'18' ","'Direct Clearing' ",15
2010 ,"'Group F Physical Sciences' ","'18' ","'RPA' ",40
2010 ,"'Group F Physical Sciences' ","'19' ","'Firm choice' ",2205
2010 ,"'Group F Physical Sciences' ","'19' ","'Insurance choice' ",240
2010 ,"'Group F Physical Sciences' ","'19' ","'Other main scheme choice' ",45
2010 ,"'Group F Physical Sciences' ","'19' ","'Extra' ",35
2010 ,"'Group F Physical Sciences' ","'19' ","'Adjustment' ",5
2010 ,"'Group F Physical Sciences' ","'19' ","'Main scheme Clearing' ",225
2010 ,"'Group F Physical Sciences' ","'19' ","'Direct Clearing' ",35
2010 ,"'Group F Physical Sciences' ","'19' ","'RPA' ",65
2010 ,"'Group F Physical Sciences' ","'20' ","'Firm choice' ",640
2010 ,"'Group F Physical Sciences' ","'20' ","'Insurance choice' ",45
2010 ,"'Group F Physical Sciences' ","'20' ","'Other main scheme choice' ",40
2010 ,"'Group F Physical Sciences' ","'20' ","'Extra' ",10
2010 ,"'Group F Physical Sciences' ","'20' ","'Main scheme Clearing' ",45
2010 ,"'Group F Physical Sciences' ","'20' ","'Direct Clearing' ",40
2010 ,"'Group F Physical Sciences' ","'20' ","'RPA' ",75
2010 ,"'Group F Physical Sciences' ","'21 and over' ","'Firm choice' ",1285
2010 ,"'Group F Physical Sciences' ","'21 and over' ","'Insurance choice' ",45
2010 ,"'Group F Physical Sciences' ","'21 and over' ","'Other main scheme choice' ",135
2010 ,"'Group F Physical Sciences' ","'21 and over' ","'Extra' ",25
2010 ,"'Group F Physical Sciences' ","'21 and over' ","'Main scheme Clearing' ",120
2010 ,"'Group F Physical Sciences' ","'21 and over' ","'Direct Clearing' ",100
2010 ,"'Group F Physical Sciences' ","'21 and over' ","'RPA' ",225
2010 ,"'Group G Mathematical Sciences' ","'17 and under' ","'Firm choice' ",100
2010 ,"'Group G Mathematical Sciences' ","'17 and under' ","'Insurance choice' ",20
2010 ,"'Group G Mathematical Sciences' ","'17 and under' ","'Main scheme Clearing' ",5
2010 ,"'Group G Mathematical Sciences' ","'18' ","'Firm choice' ",3735
2010 ,"'Group G Mathematical Sciences' ","'18' ","'Insurance choice' ",1035
2010 ,"'Group G Mathematical Sciences' ","'18' ","'Other main scheme choice' ",10
2010 ,"'Group G Mathematical Sciences' ","'18' ","'Extra' ",35
2010 ,"'Group G Mathematical Sciences' ","'18' ","'Adjustment' ",10
2010 ,"'Group G Mathematical Sciences' ","'18' ","'Main scheme Clearing' ",445
2010 ,"'Group G Mathematical Sciences' ","'18' ","'Direct Clearing' ",5
2010 ,"'Group G Mathematical Sciences' ","'18' ","'RPA' ",5
2010 ,"'Group G Mathematical Sciences' ","'19' ","'Firm choice' ",1055
2010 ,"'Group G Mathematical Sciences' ","'19' ","'Insurance choice' ",210
2010 ,"'Group G Mathematical Sciences' ","'19' ","'Other main scheme choice' ",25
2010 ,"'Group G Mathematical Sciences' ","'19' ","'Extra' ",20
2010 ,"'Group G Mathematical Sciences' ","'19' ","'Main scheme Clearing' ",150
2010 ,"'Group G Mathematical Sciences' ","'19' ","'Direct Clearing' ",25
2010 ,"'Group G Mathematical Sciences' ","'19' ","'RPA' ",15
2010 ,"'Group G Mathematical Sciences' ","'20' ","'Firm choice' ",295
2010 ,"'Group G Mathematical Sciences' ","'20' ","'Insurance choice' ",55
2010 ,"'Group G Mathematical Sciences' ","'20' ","'Other main scheme choice' ",20
2010 ,"'Group G Mathematical Sciences' ","'20' ","'Extra' ",10
2010 ,"'Group G Mathematical Sciences' ","'20' ","'Main scheme Clearing' ",45
2010 ,"'Group G Mathematical Sciences' ","'20' ","'Direct Clearing' ",25
2010 ,"'Group G Mathematical Sciences' ","'20' ","'RPA' ",25
2010 ,"'Group G Mathematical Sciences' ","'21 and over' ","'Firm choice' ",320
2010 ,"'Group G Mathematical Sciences' ","'21 and over' ","'Insurance choice' ",30
2010 ,"'Group G Mathematical Sciences' ","'21 and over' ","'Other main scheme choice' ",50
2010 ,"'Group G Mathematical Sciences' ","'21 and over' ","'Extra' ",10
2010 ,"'Group G Mathematical Sciences' ","'21 and over' ","'Main scheme Clearing' ",35
2010 ,"'Group G Mathematical Sciences' ","'21 and over' ","'Direct Clearing' ",30
2010 ,"'Group G Mathematical Sciences' ","'21 and over' ","'RPA' ",75
2010 ,"'Group H Engineering' ","'17 and under' ","'Firm choice' ",370
2010 ,"'Group H Engineering' ","'17 and under' ","'Insurance choice' ",75
2010 ,"'Group H Engineering' ","'17 and under' ","'Other main scheme choice' ",35
2010 ,"'Group H Engineering' ","'17 and under' ","'Extra' ",5
2010 ,"'Group H Engineering' ","'17 and under' ","'Main scheme Clearing' ",55
2010 ,"'Group H Engineering' ","'17 and under' ","'Direct Clearing' ",10
2010 ,"'Group H Engineering' ","'17 and under' ","'RPA' ",55
2010 ,"'Group H Engineering' ","'18' ","'Firm choice' ",8655
2010 ,"'Group H Engineering' ","'18' ","'Insurance choice' ",1835
2010 ,"'Group H Engineering' ","'18' ","'Other main scheme choice' ",125
2010 ,"'Group H Engineering' ","'18' ","'Extra' ",80
2010 ,"'Group H Engineering' ","'18' ","'Adjustment' ",5
2010 ,"'Group H Engineering' ","'18' ","'Main scheme Clearing' ",1330
2010 ,"'Group H Engineering' ","'18' ","'Direct Clearing' ",50
2010 ,"'Group H Engineering' ","'18' ","'RPA' ",265
2010 ,"'Group H Engineering' ","'19' ","'Firm choice' ",3425
2010 ,"'Group H Engineering' ","'19' ","'Insurance choice' ",475
2010 ,"'Group H Engineering' ","'19' ","'Other main scheme choice' ",170
2010 ,"'Group H Engineering' ","'19' ","'Extra' ",45
2010 ,"'Group H Engineering' ","'19' ","'Main scheme Clearing' ",535
2010 ,"'Group H Engineering' ","'19' ","'Direct Clearing' ",85
2010 ,"'Group H Engineering' ","'19' ","'RPA' ",330
2010 ,"'Group H Engineering' ","'20' ","'Firm choice' ",1535
2010 ,"'Group H Engineering' ","'20' ","'Insurance choice' ",170
2010 ,"'Group H Engineering' ","'20' ","'Other main scheme choice' ",160
2010 ,"'Group H Engineering' ","'20' ","'Extra' ",35
2010 ,"'Group H Engineering' ","'20' ","'Main scheme Clearing' ",190
2010 ,"'Group H Engineering' ","'20' ","'Direct Clearing' ",90
2010 ,"'Group H Engineering' ","'20' ","'RPA' ",425
2010 ,"'Group H Engineering' ","'21 and over' ","'Firm choice' ",2825
2010 ,"'Group H Engineering' ","'21 and over' ","'Insurance choice' ",170
2010 ,"'Group H Engineering' ","'21 and over' ","'Other main scheme choice' ",545
2010 ,"'Group H Engineering' ","'21 and over' ","'Extra' ",60
2010 ,"'Group H Engineering' ","'21 and over' ","'Main scheme Clearing' ",335
2010 ,"'Group H Engineering' ","'21 and over' ","'Direct Clearing' ",295
2010 ,"'Group H Engineering' ","'21 and over' ","'RPA' ",1195
2010 ,"'Group I Computer Sciences' ","'17 and under' ","'Firm choice' ",80
2010 ,"'Group I Computer Sciences' ","'17 and under' ","'Insurance choice' ",15
2010 ,"'Group I Computer Sciences' ","'17 and under' ","'Other main scheme choice' ",15
2010 ,"'Group I Computer Sciences' ","'17 and under' ","'Main scheme Clearing' ",15
2010 ,"'Group I Computer Sciences' ","'17 and under' ","'Direct Clearing' ",5
2010 ,"'Group I Computer Sciences' ","'17 and under' ","'RPA' ",25
2010 ,"'Group I Computer Sciences' ","'18' ","'Firm choice' ",5985
2010 ,"'Group I Computer Sciences' ","'18' ","'Insurance choice' ",965
2010 ,"'Group I Computer Sciences' ","'18' ","'Other main scheme choice' ",75
2010 ,"'Group I Computer Sciences' ","'18' ","'Extra' ",55
2010 ,"'Group I Computer Sciences' ","'18' ","'Adjustment' ",15
2010 ,"'Group I Computer Sciences' ","'18' ","'Main scheme Clearing' ",920
2010 ,"'Group I Computer Sciences' ","'18' ","'Direct Clearing' ",60
2010 ,"'Group I Computer Sciences' ","'18' ","'RPA' ",145
2010 ,"'Group I Computer Sciences' ","'19' ","'Firm choice' ",3210
2010 ,"'Group I Computer Sciences' ","'19' ","'Insurance choice' ",260
2010 ,"'Group I Computer Sciences' ","'19' ","'Other main scheme choice' ",125
2010 ,"'Group I Computer Sciences' ","'19' ","'Extra' ",65
2010 ,"'Group I Computer Sciences' ","'19' ","'Adjustment' ",5
2010 ,"'Group I Computer Sciences' ","'19' ","'Main scheme Clearing' ",590
2010 ,"'Group I Computer Sciences' ","'19' ","'Direct Clearing' ",110
2010 ,"'Group I Computer Sciences' ","'19' ","'RPA' ",205
2010 ,"'Group I Computer Sciences' ","'20' ","'Firm choice' ",1600
2010 ,"'Group I Computer Sciences' ","'20' ","'Insurance choice' ",105
2010 ,"'Group I Computer Sciences' ","'20' ","'Other main scheme choice' ",120
2010 ,"'Group I Computer Sciences' ","'20' ","'Extra' ",25
2010 ,"'Group I Computer Sciences' ","'20' ","'Adjustment' ",5
2010 ,"'Group I Computer Sciences' ","'20' ","'Main scheme Clearing' ",200
2010 ,"'Group I Computer Sciences' ","'20' ","'Direct Clearing' ",120
2010 ,"'Group I Computer Sciences' ","'20' ","'RPA' ",225
2010 ,"'Group I Computer Sciences' ","'21 and over' ","'Firm choice' ",2875
2010 ,"'Group I Computer Sciences' ","'21 and over' ","'Insurance choice' ",110
2010 ,"'Group I Computer Sciences' ","'21 and over' ","'Other main scheme choice' ",435
2010 ,"'Group I Computer Sciences' ","'21 and over' ","'Extra' ",40
2010 ,"'Group I Computer Sciences' ","'21 and over' ","'Main scheme Clearing' ",320
2010 ,"'Group I Computer Sciences' ","'21 and over' ","'Direct Clearing' ",395
2010 ,"'Group I Computer Sciences' ","'21 and over' ","'RPA' ",980
2010 ,"'Group J Technologies' ","'17 and under' ","'Firm choice' ",15
2010 ,"'Group J Technologies' ","'17 and under' ","'RPA' ",10
2010 ,"'Group J Technologies' ","'18' ","'Firm choice' ",950
2010 ,"'Group J Technologies' ","'18' ","'Insurance choice' ",105
2010 ,"'Group J Technologies' ","'18' ","'Other main scheme choice' ",15
2010 ,"'Group J Technologies' ","'18' ","'Extra' ",10
2010 ,"'Group J Technologies' ","'18' ","'Adjustment' ",5
2010 ,"'Group J Technologies' ","'18' ","'Main scheme Clearing' ",130
2010 ,"'Group J Technologies' ","'18' ","'Direct Clearing' ",5
2010 ,"'Group J Technologies' ","'18' ","'RPA' ",20
2010 ,"'Group J Technologies' ","'19' ","'Firm choice' ",505
2010 ,"'Group J Technologies' ","'19' ","'Insurance choice' ",30
2010 ,"'Group J Technologies' ","'19' ","'Other main scheme choice' ",20
2010 ,"'Group J Technologies' ","'19' ","'Extra' ",10
2010 ,"'Group J Technologies' ","'19' ","'Main scheme Clearing' ",50
2010 ,"'Group J Technologies' ","'19' ","'Direct Clearing' ",10
2010 ,"'Group J Technologies' ","'19' ","'RPA' ",25
2010 ,"'Group J Technologies' ","'20' ","'Firm choice' ",285
2010 ,"'Group J Technologies' ","'20' ","'Insurance choice' ",10
2010 ,"'Group J Technologies' ","'20' ","'Other main scheme choice' ",30
2010 ,"'Group J Technologies' ","'20' ","'Main scheme Clearing' ",15
2010 ,"'Group J Technologies' ","'20' ","'Direct Clearing' ",15
2010 ,"'Group J Technologies' ","'20' ","'RPA' ",35
2010 ,"'Group J Technologies' ","'21 and over' ","'Firm choice' ",555
2010 ,"'Group J Technologies' ","'21 and over' ","'Insurance choice' ",5
2010 ,"'Group J Technologies' ","'21 and over' ","'Other main scheme choice' ",85
2010 ,"'Group J Technologies' ","'21 and over' ","'Extra' ",10
2010 ,"'Group J Technologies' ","'21 and over' ","'Main scheme Clearing' ",40
2010 ,"'Group J Technologies' ","'21 and over' ","'Direct Clearing' ",35
2010 ,"'Group J Technologies' ","'21 and over' ","'RPA' ",190
2010 ,"'Group K Architecture, Building and Planning' ","'17 and under' ","'Firm choice' ",75
2010 ,"'Group K Architecture, Building and Planning' ","'17 and under' ","'Insurance choice' ",15
2010 ,"'Group K Architecture, Building and Planning' ","'17 and under' ","'Other main scheme choice' ",5
2010 ,"'Group K Architecture, Building and Planning' ","'17 and under' ","'Main scheme Clearing' ",10
2010 ,"'Group K Architecture, Building and Planning' ","'17 and under' ","'Direct Clearing' ",5
2010 ,"'Group K Architecture, Building and Planning' ","'17 and under' ","'RPA' ",5
2010 ,"'Group K Architecture, Building and Planning' ","'18' ","'Firm choice' ",2990
2010 ,"'Group K Architecture, Building and Planning' ","'18' ","'Insurance choice' ",515
2010 ,"'Group K Architecture, Building and Planning' ","'18' ","'Other main scheme choice' ",40
2010 ,"'Group K Architecture, Building and Planning' ","'18' ","'Extra' ",35
2010 ,"'Group K Architecture, Building and Planning' ","'18' ","'Main scheme Clearing' ",355
2010 ,"'Group K Architecture, Building and Planning' ","'18' ","'Direct Clearing' ",15
2010 ,"'Group K Architecture, Building and Planning' ","'18' ","'RPA' ",30
2010 ,"'Group K Architecture, Building and Planning' ","'19' ","'Firm choice' ",1565
2010 ,"'Group K Architecture, Building and Planning' ","'19' ","'Insurance choice' ",130
2010 ,"'Group K Architecture, Building and Planning' ","'19' ","'Other main scheme choice' ",60
2010 ,"'Group K Architecture, Building and Planning' ","'19' ","'Extra' ",30
2010 ,"'Group K Architecture, Building and Planning' ","'19' ","'Main scheme Clearing' ",165
2010 ,"'Group K Architecture, Building and Planning' ","'19' ","'Direct Clearing' ",25
2010 ,"'Group K Architecture, Building and Planning' ","'19' ","'RPA' ",60
2010 ,"'Group K Architecture, Building and Planning' ","'20' ","'Firm choice' ",640
2010 ,"'Group K Architecture, Building and Planning' ","'20' ","'Insurance choice' ",40
2010 ,"'Group K Architecture, Building and Planning' ","'20' ","'Other main scheme choice' ",60
2010 ,"'Group K Architecture, Building and Planning' ","'20' ","'Extra' ",10
2010 ,"'Group K Architecture, Building and Planning' ","'20' ","'Main scheme Clearing' ",45
2010 ,"'Group K Architecture, Building and Planning' ","'20' ","'Direct Clearing' ",35
2010 ,"'Group K Architecture, Building and Planning' ","'20' ","'RPA' ",45
2010 ,"'Group K Architecture, Building and Planning' ","'21 and over' ","'Firm choice' ",1535
2010 ,"'Group K Architecture, Building and Planning' ","'21 and over' ","'Insurance choice' ",35
2010 ,"'Group K Architecture, Building and Planning' ","'21 and over' ","'Other main scheme choice' ",245
2010 ,"'Group K Architecture, Building and Planning' ","'21 and over' ","'Extra' ",25
2010 ,"'Group K Architecture, Building and Planning' ","'21 and over' ","'Main scheme Clearing' ",140
2010 ,"'Group K Architecture, Building and Planning' ","'21 and over' ","'Direct Clearing' ",150
2010 ,"'Group K Architecture, Building and Planning' ","'21 and over' ","'RPA' ",275
2010 ,"'Group L Social Studies' ","'17 and under' ","'Firm choice' ",300
2010 ,"'Group L Social Studies' ","'17 and under' ","'Insurance choice' ",55
2010 ,"'Group L Social Studies' ","'17 and under' ","'Other main scheme choice' ",5
2010 ,"'Group L Social Studies' ","'17 and under' ","'Extra' ",5
2010 ,"'Group L Social Studies' ","'17 and under' ","'Main scheme Clearing' ",40
2010 ,"'Group L Social Studies' ","'17 and under' ","'Direct Clearing' ",5
2010 ,"'Group L Social Studies' ","'17 and under' ","'RPA' ",25
2010 ,"'Group L Social Studies' ","'18' ","'Firm choice' ",11970
2010 ,"'Group L Social Studies' ","'18' ","'Insurance choice' ",2455
2010 ,"'Group L Social Studies' ","'18' ","'Other main scheme choice' ",80
2010 ,"'Group L Social Studies' ","'18' ","'Extra' ",220
2010 ,"'Group L Social Studies' ","'18' ","'Adjustment' ",35
2010 ,"'Group L Social Studies' ","'18' ","'Main scheme Clearing' ",1945
2010 ,"'Group L Social Studies' ","'18' ","'Direct Clearing' ",35
2010 ,"'Group L Social Studies' ","'18' ","'RPA' ",195
2010 ,"'Group L Social Studies' ","'19' ","'Firm choice' ",5455
2010 ,"'Group L Social Studies' ","'19' ","'Insurance choice' ",530
2010 ,"'Group L Social Studies' ","'19' ","'Other main scheme choice' ",160
2010 ,"'Group L Social Studies' ","'19' ","'Extra' ",170
2010 ,"'Group L Social Studies' ","'19' ","'Adjustment' ",10
2010 ,"'Group L Social Studies' ","'19' ","'Main scheme Clearing' ",725
2010 ,"'Group L Social Studies' ","'19' ","'Direct Clearing' ",100
2010 ,"'Group L Social Studies' ","'19' ","'RPA' ",215
2010 ,"'Group L Social Studies' ","'20' ","'Firm choice' ",1790
2010 ,"'Group L Social Studies' ","'20' ","'Insurance choice' ",110
2010 ,"'Group L Social Studies' ","'20' ","'Other main scheme choice' ",135
2010 ,"'Group L Social Studies' ","'20' ","'Extra' ",50
2010 ,"'Group L Social Studies' ","'20' ","'Main scheme Clearing' ",220
2010 ,"'Group L Social Studies' ","'20' ","'Direct Clearing' ",85
2010 ,"'Group L Social Studies' ","'20' ","'RPA' ",215
2010 ,"'Group L Social Studies' ","'21 and over' ","'Firm choice' ",8005
2010 ,"'Group L Social Studies' ","'21 and over' ","'Insurance choice' ",160
2010 ,"'Group L Social Studies' ","'21 and over' ","'Other main scheme choice' ",730
2010 ,"'Group L Social Studies' ","'21 and over' ","'Extra' ",195
2010 ,"'Group L Social Studies' ","'21 and over' ","'Main scheme Clearing' ",820
2010 ,"'Group L Social Studies' ","'21 and over' ","'Direct Clearing' ",365
2010 ,"'Group L Social Studies' ","'21 and over' ","'RPA' ",1035
2010 ,"'Group M Law' ","'17 and under' ","'Firm choice' ",220
2010 ,"'Group M Law' ","'17 and under' ","'Insurance choice' ",55
2010 ,"'Group M Law' ","'17 and under' ","'Other main scheme choice' ",20
2010 ,"'Group M Law' ","'17 and under' ","'Extra' ",5
2010 ,"'Group M Law' ","'17 and under' ","'Main scheme Clearing' ",30
2010 ,"'Group M Law' ","'17 and under' ","'Direct Clearing' ",5
2010 ,"'Group M Law' ","'17 and under' ","'RPA' ",25
2010 ,"'Group M Law' ","'18' ","'Firm choice' ",7990
2010 ,"'Group M Law' ","'18' ","'Insurance choice' ",1800
2010 ,"'Group M Law' ","'18' ","'Other main scheme choice' ",65
2010 ,"'Group M Law' ","'18' ","'Extra' ",125
2010 ,"'Group M Law' ","'18' ","'Adjustment' ",25
2010 ,"'Group M Law' ","'18' ","'Main scheme Clearing' ",1470
2010 ,"'Group M Law' ","'18' ","'Direct Clearing' ",35
2010 ,"'Group M Law' ","'18' ","'RPA' ",75
2010 ,"'Group M Law' ","'19' ","'Firm choice' ",2730
2010 ,"'Group M Law' ","'19' ","'Insurance choice' ",325
2010 ,"'Group M Law' ","'19' ","'Other main scheme choice' ",110
2010 ,"'Group M Law' ","'19' ","'Extra' ",90
2010 ,"'Group M Law' ","'19' ","'Adjustment' ",10
2010 ,"'Group M Law' ","'19' ","'Main scheme Clearing' ",495
2010 ,"'Group M Law' ","'19' ","'Direct Clearing' ",80
2010 ,"'Group M Law' ","'19' ","'RPA' ",150
2010 ,"'Group M Law' ","'20' ","'Firm choice' ",1045
2010 ,"'Group M Law' ","'20' ","'Insurance choice' ",80
2010 ,"'Group M Law' ","'20' ","'Other main scheme choice' ",85
2010 ,"'Group M Law' ","'20' ","'Extra' ",25
2010 ,"'Group M Law' ","'20' ","'Main scheme Clearing' ",160
2010 ,"'Group M Law' ","'20' ","'Direct Clearing' ",75
2010 ,"'Group M Law' ","'20' ","'RPA' ",115
2010 ,"'Group M Law' ","'21 and over' ","'Firm choice' ",2645
2010 ,"'Group M Law' ","'21 and over' ","'Insurance choice' ",120
2010 ,"'Group M Law' ","'21 and over' ","'Other main scheme choice' ",450
2010 ,"'Group M Law' ","'21 and over' ","'Extra' ",65
2010 ,"'Group M Law' ","'21 and over' ","'Main scheme Clearing' ",275
2010 ,"'Group M Law' ","'21 and over' ","'Direct Clearing' ",270
2010 ,"'Group M Law' ","'21 and over' ","'RPA' ",500
2010 ,"'Group N Business and Admin studies' ","'17 and under' ","'Firm choice' ",470
2010 ,"'Group N Business and Admin studies' ","'17 and under' ","'Insurance choice' ",105
2010 ,"'Group N Business and Admin studies' ","'17 and under' ","'Other main scheme choice' ",30
2010 ,"'Group N Business and Admin studies' ","'17 and under' ","'Extra' ",5
2010 ,"'Group N Business and Admin studies' ","'17 and under' ","'Main scheme Clearing' ",80
2010 ,"'Group N Business and Admin studies' ","'17 and under' ","'Direct Clearing' ",5
2010 ,"'Group N Business and Admin studies' ","'17 and under' ","'RPA' ",60
2010 ,"'Group N Business and Admin studies' ","'18' ","'Firm choice' ",17220
2010 ,"'Group N Business and Admin studies' ","'18' ","'Insurance choice' ",3665
2010 ,"'Group N Business and Admin studies' ","'18' ","'Other main scheme choice' ",195
2010 ,"'Group N Business and Admin studies' ","'18' ","'Extra' ",235
2010 ,"'Group N Business and Admin studies' ","'18' ","'Adjustment' ",35
2010 ,"'Group N Business and Admin studies' ","'18' ","'Main scheme Clearing' ",2830
2010 ,"'Group N Business and Admin studies' ","'18' ","'Direct Clearing' ",110
2010 ,"'Group N Business and Admin studies' ","'18' ","'RPA' ",345
2010 ,"'Group N Business and Admin studies' ","'19' ","'Firm choice' ",9440
2010 ,"'Group N Business and Admin studies' ","'19' ","'Insurance choice' ",1060
2010 ,"'Group N Business and Admin studies' ","'19' ","'Other main scheme choice' ",370
2010 ,"'Group N Business and Admin studies' ","'19' ","'Extra' ",205
2010 ,"'Group N Business and Admin studies' ","'19' ","'Adjustment' ",20
2010 ,"'Group N Business and Admin studies' ","'19' ","'Main scheme Clearing' ",1470
2010 ,"'Group N Business and Admin studies' ","'19' ","'Direct Clearing' ",280
2010 ,"'Group N Business and Admin studies' ","'19' ","'RPA' ",765
2010 ,"'Group N Business and Admin studies' ","'20' ","'Firm choice' ",4030
2010 ,"'Group N Business and Admin studies' ","'20' ","'Insurance choice' ",385
2010 ,"'Group N Business and Admin studies' ","'20' ","'Other main scheme choice' ",380
2010 ,"'Group N Business and Admin studies' ","'20' ","'Extra' ",95
2010 ,"'Group N Business and Admin studies' ","'20' ","'Main scheme Clearing' ",630
2010 ,"'Group N Business and Admin studies' ","'20' ","'Direct Clearing' ",265
2010 ,"'Group N Business and Admin studies' ","'20' ","'RPA' ",1265
2010 ,"'Group N Business and Admin studies' ","'21 and over' ","'Firm choice' ",6025
2010 ,"'Group N Business and Admin studies' ","'21 and over' ","'Insurance choice' ",305
2010 ,"'Group N Business and Admin studies' ","'21 and over' ","'Other main scheme choice' ",1010
2010 ,"'Group N Business and Admin studies' ","'21 and over' ","'Extra' ",145
