"Statistic:   Number of Acceptances"
"Variables:   Subject Group (Summary Level) , Disability Indicator , Acceptance Route , Cycle Year"
"Coverage:   UK domiciled"
"For a list of key definitions and descriptions please refer to the PDF file provided - EOC_data_resource_2016-DR3_023_07.pdf"
 
Cycle Year,Subject Group (Summary Level) , Disability Indicator , Acceptance Route,Number of Acceptances,
2010 ,"'Group A Medicine and Dentistry' ","'Disability declared' ","'Firm choice' ",335
2011 ,"'Group K Architecture, Building and Planning' ","'No disability declared' ","'Main scheme Clearing' ",540
2011 ,"'Group K Architecture, Building and Planning' ","'No disability declared' ","'Direct Clearing' ",215
2011 ,"'Group K Architecture, Building and Planning' ","'No disability declared' ","'RPA' ",180
2011 ,"'Group L Social Studies' ","'Disability declared' ","'Firm choice' ",1815
2011 ,"'Group L Social Studies' ","'Disability declared' ","'Insurance choice' ",180
2011 ,"'Group L Social Studies' ","'Disability declared' ","'Other main scheme choice' ",95
2011 ,"'Group L Social Studies' ","'Disability declared' ","'Extra' ",60
2011 ,"'Group L Social Studies' ","'Disability declared' ","'Adjustment' ",5
2011 ,"'Group L Social Studies' ","'Disability declared' ","'Main scheme Clearing' ",215
2011 ,"'Group L Social Studies' ","'Disability declared' ","'Direct Clearing' ",45
2011 ,"'Group L Social Studies' ","'Disability declared' ","'RPA' ",90
2011 ,"'Group L Social Studies' ","'No disability declared' ","'Firm choice' ",22720
2011 ,"'Group L Social Studies' ","'No disability declared' ","'Insurance choice' ",2945
2011 ,"'Group L Social Studies' ","'No disability declared' ","'Other main scheme choice' ",815
2011 ,"'Group L Social Studies' ","'No disability declared' ","'Extra' ",810
2011 ,"'Group L Social Studies' ","'No disability declared' ","'Adjustment' ",40
2011 ,"'Group L Social Studies' ","'No disability declared' ","'Main scheme Clearing' ",3165
2011 ,"'Group L Social Studies' ","'No disability declared' ","'Direct Clearing' ",460
2011 ,"'Group L Social Studies' ","'No disability declared' ","'RPA' ",960
2011 ,"'Group M Law' ","'Disability declared' ","'Firm choice' ",560
2011 ,"'Group M Law' ","'Disability declared' ","'Insurance choice' ",80
2011 ,"'Group M Law' ","'Disability declared' ","'Other main scheme choice' ",35
2011 ,"'Group M Law' ","'Disability declared' ","'Extra' ",15
2011 ,"'Group M Law' ","'Disability declared' ","'Main scheme Clearing' ",90
2011 ,"'Group M Law' ","'Disability declared' ","'Direct Clearing' ",25
2011 ,"'Group M Law' ","'Disability declared' ","'RPA' ",25
2011 ,"'Group M Law' ","'No disability declared' ","'Firm choice' ",11820
2011 ,"'Group M Law' ","'No disability declared' ","'Insurance choice' ",2020
2011 ,"'Group M Law' ","'No disability declared' ","'Other main scheme choice' ",375
2011 ,"'Group M Law' ","'No disability declared' ","'Extra' ",285
2011 ,"'Group M Law' ","'No disability declared' ","'Adjustment' ",65
2011 ,"'Group M Law' ","'No disability declared' ","'Main scheme Clearing' ",2345
2011 ,"'Group M Law' ","'No disability declared' ","'Direct Clearing' ",455
2011 ,"'Group M Law' ","'No disability declared' ","'RPA' ",260
2011 ,"'Group N Business and Admin studies' ","'Disability declared' ","'Firm choice' ",1635
2011 ,"'Group N Business and Admin studies' ","'Disability declared' ","'Insurance choice' ",240
2011 ,"'Group N Business and Admin studies' ","'Disability declared' ","'Other main scheme choice' ",75
2011 ,"'Group N Business and Admin studies' ","'Disability declared' ","'Extra' ",40
2011 ,"'Group N Business and Admin studies' ","'Disability declared' ","'Main scheme Clearing' ",235
2011 ,"'Group N Business and Admin studies' ","'Disability declared' ","'Direct Clearing' ",65
2011 ,"'Group N Business and Admin studies' ","'Disability declared' ","'RPA' ",90
2011 ,"'Group N Business and Admin studies' ","'No disability declared' ","'Firm choice' ",29505
2011 ,"'Group N Business and Admin studies' ","'No disability declared' ","'Insurance choice' ",4525
2011 ,"'Group N Business and Admin studies' ","'No disability declared' ","'Other main scheme choice' ",1220
2011 ,"'Group N Business and Admin studies' ","'No disability declared' ","'Extra' ",745
2011 ,"'Group N Business and Admin studies' ","'No disability declared' ","'Adjustment' ",55
2011 ,"'Group N Business and Admin studies' ","'No disability declared' ","'Main scheme Clearing' ",5395
2011 ,"'Group N Business and Admin studies' ","'No disability declared' ","'Direct Clearing' ",1245
2011 ,"'Group N Business and Admin studies' ","'No disability declared' ","'RPA' ",1515
2011 ,"'Group P Mass Communication and Documentation' ","'Disability declared' ","'Firm choice' ",540
2011 ,"'Group P Mass Communication and Documentation' ","'Disability declared' ","'Insurance choice' ",35
2011 ,"'Group P Mass Communication and Documentation' ","'Disability declared' ","'Other main scheme choice' ",30
2011 ,"'Group P Mass Communication and Documentation' ","'Disability declared' ","'Extra' ",10
2011 ,"'Group P Mass Communication and Documentation' ","'Disability declared' ","'Main scheme Clearing' ",55
2011 ,"'Group P Mass Communication and Documentation' ","'Disability declared' ","'Direct Clearing' ",20
2011 ,"'Group P Mass Communication and Documentation' ","'Disability declared' ","'RPA' ",15
2011 ,"'Group P Mass Communication and Documentation' ","'No disability declared' ","'Firm choice' ",7480
2011 ,"'Group P Mass Communication and Documentation' ","'No disability declared' ","'Insurance choice' ",700
2011 ,"'Group P Mass Communication and Documentation' ","'No disability declared' ","'Other main scheme choice' ",225
2011 ,"'Group P Mass Communication and Documentation' ","'No disability declared' ","'Extra' ",155
2011 ,"'Group P Mass Communication and Documentation' ","'No disability declared' ","'Adjustment' ",10
2011 ,"'Group P Mass Communication and Documentation' ","'No disability declared' ","'Main scheme Clearing' ",915
2011 ,"'Group P Mass Communication and Documentation' ","'No disability declared' ","'Direct Clearing' ",140
2011 ,"'Group P Mass Communication and Documentation' ","'No disability declared' ","'RPA' ",175
2011 ,"'Group Q Linguistics, Classics and related' ","'Disability declared' ","'Firm choice' ",530
2011 ,"'Group Q Linguistics, Classics and related' ","'Disability declared' ","'Insurance choice' ",60
2011 ,"'Group Q Linguistics, Classics and related' ","'Disability declared' ","'Other main scheme choice' ",15
2011 ,"'Group Q Linguistics, Classics and related' ","'Disability declared' ","'Extra' ",15
2011 ,"'Group Q Linguistics, Classics and related' ","'Disability declared' ","'Main scheme Clearing' ",45
2011 ,"'Group Q Linguistics, Classics and related' ","'Disability declared' ","'Direct Clearing' ",15
2011 ,"'Group Q Linguistics, Classics and related' ","'Disability declared' ","'RPA' ",10
2011 ,"'Group Q Linguistics, Classics and related' ","'No disability declared' ","'Firm choice' ",8635
2011 ,"'Group Q Linguistics, Classics and related' ","'No disability declared' ","'Insurance choice' ",1145
2011 ,"'Group Q Linguistics, Classics and related' ","'No disability declared' ","'Other main scheme choice' ",115
2011 ,"'Group Q Linguistics, Classics and related' ","'No disability declared' ","'Extra' ",165
2011 ,"'Group Q Linguistics, Classics and related' ","'No disability declared' ","'Adjustment' ",30
2011 ,"'Group Q Linguistics, Classics and related' ","'No disability declared' ","'Main scheme Clearing' ",880
2011 ,"'Group Q Linguistics, Classics and related' ","'No disability declared' ","'Direct Clearing' ",95
2011 ,"'Group Q Linguistics, Classics and related' ","'No disability declared' ","'RPA' ",85
2011 ,"'Group R European Languages, Literature and related' ","'Disability declared' ","'Firm choice' ",130
2011 ,"'Group R European Languages, Literature and related' ","'Disability declared' ","'Insurance choice' ",20
2011 ,"'Group R European Languages, Literature and related' ","'Disability declared' ","'Other main scheme choice' ",5
2011 ,"'Group R European Languages, Literature and related' ","'Disability declared' ","'Main scheme Clearing' ",15
2011 ,"'Group R European Languages, Literature and related' ","'No disability declared' ","'Firm choice' ",3100
2011 ,"'Group R European Languages, Literature and related' ","'No disability declared' ","'Insurance choice' ",410
2011 ,"'Group R European Languages, Literature and related' ","'No disability declared' ","'Other main scheme choice' ",30
2011 ,"'Group R European Languages, Literature and related' ","'No disability declared' ","'Extra' ",35
2011 ,"'Group R European Languages, Literature and related' ","'No disability declared' ","'Adjustment' ",5
2011 ,"'Group R European Languages, Literature and related' ","'No disability declared' ","'Main scheme Clearing' ",310
2011 ,"'Group R European Languages, Literature and related' ","'No disability declared' ","'Direct Clearing' ",15
2011 ,"'Group R European Languages, Literature and related' ","'No disability declared' ","'RPA' ",10
2011 ,"'Group T Non-European Languages, Literature and related' ","'Disability declared' ","'Firm choice' ",75
2011 ,"'Group T Non-European Languages, Literature and related' ","'Disability declared' ","'Insurance choice' ",10
2011 ,"'Group T Non-European Languages, Literature and related' ","'No disability declared' ","'Firm choice' ",935
2011 ,"'Group T Non-European Languages, Literature and related' ","'No disability declared' ","'Insurance choice' ",135
2011 ,"'Group T Non-European Languages, Literature and related' ","'No disability declared' ","'Other main scheme choice' ",10
2011 ,"'Group T Non-European Languages, Literature and related' ","'No disability declared' ","'Extra' ",15
2011 ,"'Group T Non-European Languages, Literature and related' ","'No disability declared' ","'Main scheme Clearing' ",65
2011 ,"'Group T Non-European Languages, Literature and related' ","'No disability declared' ","'Direct Clearing' ",10
2011 ,"'Group T Non-European Languages, Literature and related' ","'No disability declared' ","'RPA' ",5
2011 ,"'Group V History and Philosophical studies' ","'Disability declared' ","'Firm choice' ",855
2011 ,"'Group V History and Philosophical studies' ","'Disability declared' ","'Insurance choice' ",105
2011 ,"'Group V History and Philosophical studies' ","'Disability declared' ","'Other main scheme choice' ",30
2011 ,"'Group V History and Philosophical studies' ","'Disability declared' ","'Extra' ",10
2011 ,"'Group V History and Philosophical studies' ","'Disability declared' ","'Adjustment' ",5
2011 ,"'Group V History and Philosophical studies' ","'Disability declared' ","'Main scheme Clearing' ",110
2011 ,"'Group V History and Philosophical studies' ","'Disability declared' ","'Direct Clearing' ",10
2011 ,"'Group V History and Philosophical studies' ","'Disability declared' ","'RPA' ",10
2011 ,"'Group V History and Philosophical studies' ","'No disability declared' ","'Firm choice' ",9950
2011 ,"'Group V History and Philosophical studies' ","'No disability declared' ","'Insurance choice' ",1585
2011 ,"'Group V History and Philosophical studies' ","'No disability declared' ","'Other main scheme choice' ",120
2011 ,"'Group V History and Philosophical studies' ","'No disability declared' ","'Extra' ",130
2011 ,"'Group V History and Philosophical studies' ","'No disability declared' ","'Adjustment' ",30
2011 ,"'Group V History and Philosophical studies' ","'No disability declared' ","'Main scheme Clearing' ",1065
2011 ,"'Group V History and Philosophical studies' ","'No disability declared' ","'Direct Clearing' ",85
2011 ,"'Group V History and Philosophical studies' ","'No disability declared' ","'RPA' ",105
2011 ,"'Group W Creative Arts and Design' ","'Disability declared' ","'Firm choice' ",4325
2011 ,"'Group W Creative Arts and Design' ","'Disability declared' ","'Insurance choice' ",85
2011 ,"'Group W Creative Arts and Design' ","'Disability declared' ","'Other main scheme choice' ",165
2011 ,"'Group W Creative Arts and Design' ","'Disability declared' ","'Extra' ",105
2011 ,"'Group W Creative Arts and Design' ","'Disability declared' ","'Main scheme Clearing' ",230
2011 ,"'Group W Creative Arts and Design' ","'Disability declared' ","'Direct Clearing' ",85
2011 ,"'Group W Creative Arts and Design' ","'Disability declared' ","'RPA' ",130
2011 ,"'Group W Creative Arts and Design' ","'No disability declared' ","'Firm choice' ",36180
2011 ,"'Group W Creative Arts and Design' ","'No disability declared' ","'Insurance choice' ",1190
2011 ,"'Group W Creative Arts and Design' ","'No disability declared' ","'Other main scheme choice' ",1205
2011 ,"'Group W Creative Arts and Design' ","'No disability declared' ","'Extra' ",995
2011 ,"'Group W Creative Arts and Design' ","'No disability declared' ","'Adjustment' ",20
2011 ,"'Group W Creative Arts and Design' ","'No disability declared' ","'Main scheme Clearing' ",2320
2011 ,"'Group W Creative Arts and Design' ","'No disability declared' ","'Direct Clearing' ",655
2011 ,"'Group W Creative Arts and Design' ","'No disability declared' ","'RPA' ",890
2011 ,"'Group X Education' ","'Disability declared' ","'Firm choice' ",745
2011 ,"'Group X Education' ","'Disability declared' ","'Insurance choice' ",25
2011 ,"'Group X Education' ","'Disability declared' ","'Other main scheme choice' ",35
2011 ,"'Group X Education' ","'Disability declared' ","'Extra' ",20
2011 ,"'Group X Education' ","'Disability declared' ","'Main scheme Clearing' ",60
2011 ,"'Group X Education' ","'Disability declared' ","'Direct Clearing' ",20
2011 ,"'Group X Education' ","'Disability declared' ","'RPA' ",40
2011 ,"'Group X Education' ","'No disability declared' ","'Firm choice' ",12095
2011 ,"'Group X Education' ","'No disability declared' ","'Insurance choice' ",575
2011 ,"'Group X Education' ","'No disability declared' ","'Other main scheme choice' ",560
2011 ,"'Group X Education' ","'No disability declared' ","'Extra' ",470
2011 ,"'Group X Education' ","'No disability declared' ","'Adjustment' ",10
2011 ,"'Group X Education' ","'No disability declared' ","'Main scheme Clearing' ",1145
2011 ,"'Group X Education' ","'No disability declared' ","'Direct Clearing' ",295
2011 ,"'Group X Education' ","'No disability declared' ","'RPA' ",635
2011 ,"'Y Combined arts' ","'Disability declared' ","'Firm choice' ",640
2011 ,"'Y Combined arts' ","'Disability declared' ","'Insurance choice' ",60
2011 ,"'Y Combined arts' ","'Disability declared' ","'Other main scheme choice' ",20
2011 ,"'Y Combined arts' ","'Disability declared' ","'Extra' ",20
2011 ,"'Y Combined arts' ","'Disability declared' ","'Main scheme Clearing' ",55
2011 ,"'Y Combined arts' ","'Disability declared' ","'Direct Clearing' ",10
2011 ,"'Y Combined arts' ","'Disability declared' ","'RPA' ",10
2011 ,"'Y Combined arts' ","'No disability declared' ","'Firm choice' ",8785
2011 ,"'Y Combined arts' ","'No disability declared' ","'Insurance choice' ",925
2011 ,"'Y Combined arts' ","'No disability declared' ","'Other main scheme choice' ",175
2011 ,"'Y Combined arts' ","'No disability declared' ","'Extra' ",175
2011 ,"'Y Combined arts' ","'No disability declared' ","'Adjustment' ",10
2011 ,"'Y Combined arts' ","'No disability declared' ","'Main scheme Clearing' ",770
2011 ,"'Y Combined arts' ","'No disability declared' ","'Direct Clearing' ",100
2011 ,"'Y Combined arts' ","'No disability declared' ","'RPA' ",95
2011 ,"'Y Combined sciences' ","'Disability declared' ","'Firm choice' ",410
2011 ,"'Y Combined sciences' ","'Disability declared' ","'Insurance choice' ",40
2011 ,"'Y Combined sciences' ","'Disability declared' ","'Other main scheme choice' ",20
2011 ,"'Y Combined sciences' ","'Disability declared' ","'Extra' ",10
2011 ,"'Y Combined sciences' ","'Disability declared' ","'Main scheme Clearing' ",50
2011 ,"'Y Combined sciences' ","'Disability declared' ","'Direct Clearing' ",15
2011 ,"'Y Combined sciences' ","'Disability declared' ","'RPA' ",15
2011 ,"'Y Combined sciences' ","'No disability declared' ","'Firm choice' ",5070
2011 ,"'Y Combined sciences' ","'No disability declared' ","'Insurance choice' ",610
2011 ,"'Y Combined sciences' ","'No disability declared' ","'Other main scheme choice' ",145
2011 ,"'Y Combined sciences' ","'No disability declared' ","'Extra' ",190
2011 ,"'Y Combined sciences' ","'No disability declared' ","'Adjustment' ",5
2011 ,"'Y Combined sciences' ","'No disability declared' ","'Main scheme Clearing' ",990
2011 ,"'Y Combined sciences' ","'No disability declared' ","'Direct Clearing' ",150
2011 ,"'Y Combined sciences' ","'No disability declared' ","'RPA' ",180
2011 ,"'Y Combined social sciences' ","'Disability declared' ","'Firm choice' ",165
2011 ,"'Y Combined social sciences' ","'Disability declared' ","'Insurance choice' ",10
2011 ,"'Y Combined social sciences' ","'Disability declared' ","'Other main scheme choice' ",10
2011 ,"'Y Combined social sciences' ","'Disability declared' ","'Extra' ",10
2011 ,"'Y Combined social sciences' ","'Disability declared' ","'Main scheme Clearing' ",25
2011 ,"'Y Combined social sciences' ","'Disability declared' ","'RPA' ",5
2011 ,"'Y Combined social sciences' ","'No disability declared' ","'Firm choice' ",2900
2011 ,"'Y Combined social sciences' ","'No disability declared' ","'Insurance choice' ",450
2011 ,"'Y Combined social sciences' ","'No disability declared' ","'Other main scheme choice' ",75
2011 ,"'Y Combined social sciences' ","'No disability declared' ","'Extra' ",100
2011 ,"'Y Combined social sciences' ","'No disability declared' ","'Adjustment' ",10
2011 ,"'Y Combined social sciences' ","'No disability declared' ","'Main scheme Clearing' ",565
2011 ,"'Y Combined social sciences' ","'No disability declared' ","'Direct Clearing' ",65
2011 ,"'Y Combined social sciences' ","'No disability declared' ","'RPA' ",80
2011 ,"'Y Sciences combined with Social Sciences or Arts' ","'Disability declared' ","'Firm choice' ",1085
2011 ,"'Y Sciences combined with Social Sciences or Arts' ","'Disability declared' ","'Insurance choice' ",80
2011 ,"'Y Sciences combined with Social Sciences or Arts' ","'Disability declared' ","'Other main scheme choice' ",40
2011 ,"'Y Sciences combined with Social Sciences or Arts' ","'Disability declared' ","'Extra' ",30
2011 ,"'Y Sciences combined with Social Sciences or Arts' ","'Disability declared' ","'Main scheme Clearing' ",70
2011 ,"'Y Sciences combined with Social Sciences or Arts' ","'Disability declared' ","'Direct Clearing' ",45
2011 ,"'Y Sciences combined with Social Sciences or Arts' ","'Disability declared' ","'RPA' ",30
2011 ,"'Y Sciences combined with Social Sciences or Arts' ","'No disability declared' ","'Firm choice' ",12985
2011 ,"'Y Sciences combined with Social Sciences or Arts' ","'No disability declared' ","'Insurance choice' ",1210
2011 ,"'Y Sciences combined with Social Sciences or Arts' ","'No disability declared' ","'Other main scheme choice' ",415
2011 ,"'Y Sciences combined with Social Sciences or Arts' ","'No disability declared' ","'Extra' ",365
2011 ,"'Y Sciences combined with Social Sciences or Arts' ","'No disability declared' ","'Adjustment' ",10
2011 ,"'Y Sciences combined with Social Sciences or Arts' ","'No disability declared' ","'Main scheme Clearing' ",1415
2011 ,"'Y Sciences combined with Social Sciences or Arts' ","'No disability declared' ","'Direct Clearing' ",315
2011 ,"'Y Sciences combined with Social Sciences or Arts' ","'No disability declared' ","'RPA' ",335
2011 ,"'Y Social Sciences combined with Arts' ","'Disability declared' ","'Firm choice' ",510
2011 ,"'Y Social Sciences combined with Arts' ","'Disability declared' ","'Insurance choice' ",65
2011 ,"'Y Social Sciences combined with Arts' ","'Disability declared' ","'Other main scheme choice' ",25
2011 ,"'Y Social Sciences combined with Arts' ","'Disability declared' ","'Extra' ",10
2011 ,"'Y Social Sciences combined with Arts' ","'Disability declared' ","'Main scheme Clearing' ",55
2011 ,"'Y Social Sciences combined with Arts' ","'Disability declared' ","'Direct Clearing' ",15
2011 ,"'Y Social Sciences combined with Arts' ","'Disability declared' ","'RPA' ",30
2011 ,"'Y Social Sciences combined with Arts' ","'No disability declared' ","'Firm choice' ",7295
2011 ,"'Y Social Sciences combined with Arts' ","'No disability declared' ","'Insurance choice' ",780
2011 ,"'Y Social Sciences combined with Arts' ","'No disability declared' ","'Other main scheme choice' ",225
2011 ,"'Y Social Sciences combined with Arts' ","'No disability declared' ","'Extra' ",235
2011 ,"'Y Social Sciences combined with Arts' ","'No disability declared' ","'Adjustment' ",15
2011 ,"'Y Social Sciences combined with Arts' ","'No disability declared' ","'Main scheme Clearing' ",745
2011 ,"'Y Social Sciences combined with Arts' ","'No disability declared' ","'Direct Clearing' ",145
2011 ,"'Y Social Sciences combined with Arts' ","'No disability declared' ","'RPA' ",360
2011 ,"'Z General, other combined and unknown' ","'Disability declared' ","'Firm choice' ",225
2011 ,"'Z General, other combined and unknown' ","'Disability declared' ","'Insurance choice' ",15
2011 ,"'Z General, other combined and unknown' ","'Disability declared' ","'Other main scheme choice' ",10
2011 ,"'Z General, other combined and unknown' ","'Disability declared' ","'Extra' ",10
2011 ,"'Z General, other combined and unknown' ","'Disability declared' ","'Main scheme Clearing' ",20
2011 ,"'Z General, other combined and unknown' ","'Disability declared' ","'Direct Clearing' ",10
2011 ,"'Z General, other combined and unknown' ","'Disability declared' ","'RPA' ",15
2011 ,"'Z General, other combined and unknown' ","'No disability declared' ","'Firm choice' ",2530
2011 ,"'Z General, other combined and unknown' ","'No disability declared' ","'Insurance choice' ",235
2011 ,"'Z General, other combined and unknown' ","'No disability declared' ","'Other main scheme choice' ",95
2011 ,"'Z General, other combined and unknown' ","'No disability declared' ","'Extra' ",95
2011 ,"'Z General, other combined and unknown' ","'No disability declared' ","'Main scheme Clearing' ",345
2011 ,"'Z General, other combined and unknown' ","'No disability declared' ","'Direct Clearing' ",75
2011 ,"'Z General, other combined and unknown' ","'No disability declared' ","'RPA' ",135
2012 ,"'Group A Medicine and Dentistry' ","'Disability declared' ","'Firm choice' ",320
2012 ,"'Group A Medicine and Dentistry' ","'Disability declared' ","'Insurance choice' ",5
2012 ,"'Group A Medicine and Dentistry' ","'Disability declared' ","'Other main scheme choice' ",5
2012 ,"'Group A Medicine and Dentistry' ","'Disability declared' ","'Main scheme Clearing' ",20
2012 ,"'Group A Medicine and Dentistry' ","'Disability declared' ","'RPA' ",5
2012 ,"'Group A Medicine and Dentistry' ","'No disability declared' ","'Firm choice' ",7205
2012 ,"'Group A Medicine and Dentistry' ","'No disability declared' ","'Insurance choice' ",55
2012 ,"'Group A Medicine and Dentistry' ","'No disability declared' ","'Other main scheme choice' ",20
2012 ,"'Group A Medicine and Dentistry' ","'No disability declared' ","'Extra' ",50
2012 ,"'Group A Medicine and Dentistry' ","'No disability declared' ","'Adjustment' ",10
2012 ,"'Group A Medicine and Dentistry' ","'No disability declared' ","'Main scheme Clearing' ",385
2012 ,"'Group A Medicine and Dentistry' ","'No disability declared' ","'RPA' ",80
2012 ,"'Group B Subjects allied to Medicine' ","'Disability declared' ","'Firm choice' ",2220
2012 ,"'Group B Subjects allied to Medicine' ","'Disability declared' ","'Insurance choice' ",85
2012 ,"'Group B Subjects allied to Medicine' ","'Disability declared' ","'Other main scheme choice' ",65
2012 ,"'Group B Subjects allied to Medicine' ","'Disability declared' ","'Extra' ",90
2012 ,"'Group B Subjects allied to Medicine' ","'Disability declared' ","'Adjustment' ",5
2012 ,"'Group B Subjects allied to Medicine' ","'Disability declared' ","'Main scheme Clearing' ",260
2012 ,"'Group B Subjects allied to Medicine' ","'Disability declared' ","'Direct Clearing' ",55
2012 ,"'Group B Subjects allied to Medicine' ","'Disability declared' ","'RPA' ",55
2012 ,"'Group B Subjects allied to Medicine' ","'No disability declared' ","'Firm choice' ",31515
2012 ,"'Group B Subjects allied to Medicine' ","'No disability declared' ","'Insurance choice' ",1745
2012 ,"'Group B Subjects allied to Medicine' ","'No disability declared' ","'Other main scheme choice' ",865
2012 ,"'Group B Subjects allied to Medicine' ","'No disability declared' ","'Extra' ",1380
2012 ,"'Group B Subjects allied to Medicine' ","'No disability declared' ","'Adjustment' ",45
2012 ,"'Group B Subjects allied to Medicine' ","'No disability declared' ","'Main scheme Clearing' ",3980
2012 ,"'Group B Subjects allied to Medicine' ","'No disability declared' ","'Direct Clearing' ",630
2012 ,"'Group B Subjects allied to Medicine' ","'No disability declared' ","'RPA' ",650
2012 ,"'Group C Biological Sciences' ","'Disability declared' ","'Firm choice' ",1900
2012 ,"'Group C Biological Sciences' ","'Disability declared' ","'Insurance choice' ",195
2012 ,"'Group C Biological Sciences' ","'Disability declared' ","'Other main scheme choice' ",45
2012 ,"'Group C Biological Sciences' ","'Disability declared' ","'Extra' ",25
2012 ,"'Group C Biological Sciences' ","'Disability declared' ","'Adjustment' ",10
2012 ,"'Group C Biological Sciences' ","'Disability declared' ","'Main scheme Clearing' ",250
2012 ,"'Group C Biological Sciences' ","'Disability declared' ","'Direct Clearing' ",60
2012 ,"'Group C Biological Sciences' ","'Disability declared' ","'RPA' ",55
2012 ,"'Group C Biological Sciences' ","'No disability declared' ","'Firm choice' ",24355
2012 ,"'Group C Biological Sciences' ","'No disability declared' ","'Insurance choice' ",2865
2012 ,"'Group C Biological Sciences' ","'No disability declared' ","'Other main scheme choice' ",415
2012 ,"'Group C Biological Sciences' ","'No disability declared' ","'Extra' ",685
2012 ,"'Group C Biological Sciences' ","'No disability declared' ","'Adjustment' ",115
2012 ,"'Group C Biological Sciences' ","'No disability declared' ","'Main scheme Clearing' ",3720
2012 ,"'Group C Biological Sciences' ","'No disability declared' ","'Direct Clearing' ",785
2012 ,"'Group C Biological Sciences' ","'No disability declared' ","'RPA' ",695
2012 ,"'Group D Veterinary Sciences, Agriculture and related' ","'Disability declared' ","'Firm choice' ",400
2012 ,"'Group D Veterinary Sciences, Agriculture and related' ","'Disability declared' ","'Insurance choice' ",20
2012 ,"'Group D Veterinary Sciences, Agriculture and related' ","'Disability declared' ","'Other main scheme choice' ",20
2012 ,"'Group D Veterinary Sciences, Agriculture and related' ","'Disability declared' ","'Extra' ",5
2012 ,"'Group D Veterinary Sciences, Agriculture and related' ","'Disability declared' ","'Main scheme Clearing' ",45
2012 ,"'Group D Veterinary Sciences, Agriculture and related' ","'Disability declared' ","'Direct Clearing' ",30
2012 ,"'Group D Veterinary Sciences, Agriculture and related' ","'Disability declared' ","'RPA' ",25
2012 ,"'Group D Veterinary Sciences, Agriculture and related' ","'No disability declared' ","'Firm choice' ",3695
2012 ,"'Group D Veterinary Sciences, Agriculture and related' ","'No disability declared' ","'Insurance choice' ",175
2012 ,"'Group D Veterinary Sciences, Agriculture and related' ","'No disability declared' ","'Other main scheme choice' ",110
2012 ,"'Group D Veterinary Sciences, Agriculture and related' ","'No disability declared' ","'Extra' ",55
2012 ,"'Group D Veterinary Sciences, Agriculture and related' ","'No disability declared' ","'Adjustment' ",5
2012 ,"'Group D Veterinary Sciences, Agriculture and related' ","'No disability declared' ","'Main scheme Clearing' ",335
2012 ,"'Group D Veterinary Sciences, Agriculture and related' ","'No disability declared' ","'Direct Clearing' ",200
2012 ,"'Group D Veterinary Sciences, Agriculture and related' ","'No disability declared' ","'RPA' ",170
2012 ,"'Group F Physical Sciences' ","'Disability declared' ","'Firm choice' ",945
2012 ,"'Group F Physical Sciences' ","'Disability declared' ","'Insurance choice' ",155
2012 ,"'Group F Physical Sciences' ","'Disability declared' ","'Other main scheme choice' ",20
2012 ,"'Group F Physical Sciences' ","'Disability declared' ","'Extra' ",10
2012 ,"'Group F Physical Sciences' ","'Disability declared' ","'Main scheme Clearing' ",130
2012 ,"'Group F Physical Sciences' ","'Disability declared' ","'Direct Clearing' ",20
2012 ,"'Group F Physical Sciences' ","'Disability declared' ","'RPA' ",20
2012 ,"'Group F Physical Sciences' ","'No disability declared' ","'Firm choice' ",11525
2012 ,"'Group F Physical Sciences' ","'No disability declared' ","'Insurance choice' ",1635
2012 ,"'Group F Physical Sciences' ","'No disability declared' ","'Other main scheme choice' ",130
2012 ,"'Group F Physical Sciences' ","'No disability declared' ","'Extra' ",170
2012 ,"'Group F Physical Sciences' ","'No disability declared' ","'Adjustment' ",40
2012 ,"'Group F Physical Sciences' ","'No disability declared' ","'Main scheme Clearing' ",1465
2012 ,"'Group F Physical Sciences' ","'No disability declared' ","'Direct Clearing' ",190
2012 ,"'Group F Physical Sciences' ","'No disability declared' ","'RPA' ",175
2012 ,"'Group G Mathematical Sciences' ","'Disability declared' ","'Firm choice' ",285
2012 ,"'Group G Mathematical Sciences' ","'Disability declared' ","'Insurance choice' ",55
2012 ,"'Group G Mathematical Sciences' ","'Disability declared' ","'Other main scheme choice' ",5
2012 ,"'Group G Mathematical Sciences' ","'Disability declared' ","'Extra' ",5
2012 ,"'Group G Mathematical Sciences' ","'Disability declared' ","'Main scheme Clearing' ",25
2012 ,"'Group G Mathematical Sciences' ","'Disability declared' ","'Direct Clearing' ",10
2012 ,"'Group G Mathematical Sciences' ","'Disability declared' ","'RPA' ",5
2012 ,"'Group G Mathematical Sciences' ","'No disability declared' ","'Firm choice' ",4440
2012 ,"'Group G Mathematical Sciences' ","'No disability declared' ","'Insurance choice' ",895
2012 ,"'Group G Mathematical Sciences' ","'No disability declared' ","'Other main scheme choice' ",55
2012 ,"'Group G Mathematical Sciences' ","'No disability declared' ","'Extra' ",55
2012 ,"'Group G Mathematical Sciences' ","'No disability declared' ","'Adjustment' ",25
2012 ,"'Group G Mathematical Sciences' ","'No disability declared' ","'Main scheme Clearing' ",590
2012 ,"'Group G Mathematical Sciences' ","'No disability declared' ","'Direct Clearing' ",95
2012 ,"'Group G Mathematical Sciences' ","'No disability declared' ","'RPA' ",75
