"Statistic:   Number of Acceptances"
"Variables:   Subject Group (Summary Level) , Applicant Domicile (UK / EU / Not EU) , Acceptance Route , Cycle Year"
"Coverage:   All"
"For a list of key definitions and descriptions please refer to the PDF file provided - EOC_data_resource_2016-DR3_011_07.pdf"
 
Cycle Year,Subject Group (Summary Level) , Applicant Domicile (UK / EU / Not EU) , Acceptance Route,Number of Acceptances,
2007 ,"'Group A Medicine and Dentistry' ","'UK' ","'Firm choice' ",7625
2009 ,"'Group B Subjects allied to Medicine' ","'UK' ","'Adjustment' ",25
2009 ,"'Group B Subjects allied to Medicine' ","'UK' ","'Main scheme Clearing' ",3635
2009 ,"'Group B Subjects allied to Medicine' ","'UK' ","'Direct Clearing' ",955
2009 ,"'Group B Subjects allied to Medicine' ","'UK' ","'RPA' ",1465
2009 ,"'Group B Subjects allied to Medicine' ","'EU (excluding UK)' ","'Firm choice' ",1000
2009 ,"'Group B Subjects allied to Medicine' ","'EU (excluding UK)' ","'Insurance choice' ",70
2009 ,"'Group B Subjects allied to Medicine' ","'EU (excluding UK)' ","'Other main scheme choice' ",125
2009 ,"'Group B Subjects allied to Medicine' ","'EU (excluding UK)' ","'Extra' ",30
2009 ,"'Group B Subjects allied to Medicine' ","'EU (excluding UK)' ","'Main scheme Clearing' ",105
2009 ,"'Group B Subjects allied to Medicine' ","'EU (excluding UK)' ","'Direct Clearing' ",65
2009 ,"'Group B Subjects allied to Medicine' ","'EU (excluding UK)' ","'RPA' ",50
2009 ,"'Group B Subjects allied to Medicine' ","'Not EU' ","'Firm choice' ",805
2009 ,"'Group B Subjects allied to Medicine' ","'Not EU' ","'Insurance choice' ",50
2009 ,"'Group B Subjects allied to Medicine' ","'Not EU' ","'Other main scheme choice' ",195
2009 ,"'Group B Subjects allied to Medicine' ","'Not EU' ","'Extra' ",30
2009 ,"'Group B Subjects allied to Medicine' ","'Not EU' ","'Main scheme Clearing' ",100
2009 ,"'Group B Subjects allied to Medicine' ","'Not EU' ","'Direct Clearing' ",35
2009 ,"'Group B Subjects allied to Medicine' ","'Not EU' ","'RPA' ",365
2009 ,"'Group C Biological Sciences' ","'UK' ","'Firm choice' ",24715
2009 ,"'Group C Biological Sciences' ","'UK' ","'Insurance choice' ",3350
2009 ,"'Group C Biological Sciences' ","'UK' ","'Other main scheme choice' ",935
2009 ,"'Group C Biological Sciences' ","'UK' ","'Extra' ",470
2009 ,"'Group C Biological Sciences' ","'UK' ","'Adjustment' ",25
2009 ,"'Group C Biological Sciences' ","'UK' ","'Main scheme Clearing' ",2955
2009 ,"'Group C Biological Sciences' ","'UK' ","'Direct Clearing' ",655
2009 ,"'Group C Biological Sciences' ","'UK' ","'RPA' ",1030
2009 ,"'Group C Biological Sciences' ","'EU (excluding UK)' ","'Firm choice' ",1155
2009 ,"'Group C Biological Sciences' ","'EU (excluding UK)' ","'Insurance choice' ",125
2009 ,"'Group C Biological Sciences' ","'EU (excluding UK)' ","'Other main scheme choice' ",95
2009 ,"'Group C Biological Sciences' ","'EU (excluding UK)' ","'Extra' ",30
2009 ,"'Group C Biological Sciences' ","'EU (excluding UK)' ","'Main scheme Clearing' ",95
2009 ,"'Group C Biological Sciences' ","'EU (excluding UK)' ","'Direct Clearing' ",35
2009 ,"'Group C Biological Sciences' ","'EU (excluding UK)' ","'RPA' ",50
2009 ,"'Group C Biological Sciences' ","'Not EU' ","'Firm choice' ",805
2009 ,"'Group C Biological Sciences' ","'Not EU' ","'Insurance choice' ",110
2009 ,"'Group C Biological Sciences' ","'Not EU' ","'Other main scheme choice' ",95
2009 ,"'Group C Biological Sciences' ","'Not EU' ","'Extra' ",20
2009 ,"'Group C Biological Sciences' ","'Not EU' ","'Main scheme Clearing' ",80
2009 ,"'Group C Biological Sciences' ","'Not EU' ","'Direct Clearing' ",20
2009 ,"'Group C Biological Sciences' ","'Not EU' ","'RPA' ",100
2009 ,"'Group D Veterinary Sciences, Agriculture and related' ","'UK' ","'Firm choice' ",3505
2009 ,"'Group D Veterinary Sciences, Agriculture and related' ","'UK' ","'Insurance choice' ",170
2009 ,"'Group D Veterinary Sciences, Agriculture and related' ","'UK' ","'Other main scheme choice' ",330
2009 ,"'Group D Veterinary Sciences, Agriculture and related' ","'UK' ","'Extra' ",50
2009 ,"'Group D Veterinary Sciences, Agriculture and related' ","'UK' ","'Main scheme Clearing' ",290
2009 ,"'Group D Veterinary Sciences, Agriculture and related' ","'UK' ","'Direct Clearing' ",245
2009 ,"'Group D Veterinary Sciences, Agriculture and related' ","'UK' ","'RPA' ",430
2009 ,"'Group D Veterinary Sciences, Agriculture and related' ","'EU (excluding UK)' ","'Firm choice' ",120
2009 ,"'Group D Veterinary Sciences, Agriculture and related' ","'EU (excluding UK)' ","'Insurance choice' ",20
2009 ,"'Group D Veterinary Sciences, Agriculture and related' ","'EU (excluding UK)' ","'Other main scheme choice' ",20
2009 ,"'Group D Veterinary Sciences, Agriculture and related' ","'EU (excluding UK)' ","'Main scheme Clearing' ",10
2009 ,"'Group D Veterinary Sciences, Agriculture and related' ","'EU (excluding UK)' ","'Direct Clearing' ",5
2009 ,"'Group D Veterinary Sciences, Agriculture and related' ","'EU (excluding UK)' ","'RPA' ",5
2009 ,"'Group D Veterinary Sciences, Agriculture and related' ","'Not EU' ","'Firm choice' ",130
2009 ,"'Group D Veterinary Sciences, Agriculture and related' ","'Not EU' ","'Insurance choice' ",10
2009 ,"'Group D Veterinary Sciences, Agriculture and related' ","'Not EU' ","'Other main scheme choice' ",10
2009 ,"'Group D Veterinary Sciences, Agriculture and related' ","'Not EU' ","'Main scheme Clearing' ",5
2009 ,"'Group D Veterinary Sciences, Agriculture and related' ","'Not EU' ","'Direct Clearing' ",5
2009 ,"'Group D Veterinary Sciences, Agriculture and related' ","'Not EU' ","'RPA' ",100
2009 ,"'Group F Physical Sciences' ","'UK' ","'Firm choice' ",11710
2009 ,"'Group F Physical Sciences' ","'UK' ","'Insurance choice' ",1675
2009 ,"'Group F Physical Sciences' ","'UK' ","'Other main scheme choice' ",285
2009 ,"'Group F Physical Sciences' ","'UK' ","'Extra' ",105
2009 ,"'Group F Physical Sciences' ","'UK' ","'Adjustment' ",15
2009 ,"'Group F Physical Sciences' ","'UK' ","'Main scheme Clearing' ",1320
2009 ,"'Group F Physical Sciences' ","'UK' ","'Direct Clearing' ",265
2009 ,"'Group F Physical Sciences' ","'UK' ","'RPA' ",340
2009 ,"'Group F Physical Sciences' ","'EU (excluding UK)' ","'Firm choice' ",520
2009 ,"'Group F Physical Sciences' ","'EU (excluding UK)' ","'Insurance choice' ",40
2009 ,"'Group F Physical Sciences' ","'EU (excluding UK)' ","'Other main scheme choice' ",45
2009 ,"'Group F Physical Sciences' ","'EU (excluding UK)' ","'Extra' ",10
2009 ,"'Group F Physical Sciences' ","'EU (excluding UK)' ","'Main scheme Clearing' ",35
2009 ,"'Group F Physical Sciences' ","'EU (excluding UK)' ","'Direct Clearing' ",25
2009 ,"'Group F Physical Sciences' ","'EU (excluding UK)' ","'RPA' ",45
2009 ,"'Group F Physical Sciences' ","'Not EU' ","'Firm choice' ",535
2009 ,"'Group F Physical Sciences' ","'Not EU' ","'Insurance choice' ",60
2009 ,"'Group F Physical Sciences' ","'Not EU' ","'Other main scheme choice' ",60
2009 ,"'Group F Physical Sciences' ","'Not EU' ","'Extra' ",5
2009 ,"'Group F Physical Sciences' ","'Not EU' ","'Main scheme Clearing' ",65
2009 ,"'Group F Physical Sciences' ","'Not EU' ","'Direct Clearing' ",10
2009 ,"'Group F Physical Sciences' ","'Not EU' ","'RPA' ",125
2009 ,"'Group G Mathematical Sciences' ","'UK' ","'Firm choice' ",4310
2009 ,"'Group G Mathematical Sciences' ","'UK' ","'Insurance choice' ",1095
2009 ,"'Group G Mathematical Sciences' ","'UK' ","'Other main scheme choice' ",95
2009 ,"'Group G Mathematical Sciences' ","'UK' ","'Extra' ",55
2009 ,"'Group G Mathematical Sciences' ","'UK' ","'Adjustment' ",10
2009 ,"'Group G Mathematical Sciences' ","'UK' ","'Main scheme Clearing' ",590
2009 ,"'Group G Mathematical Sciences' ","'UK' ","'Direct Clearing' ",105
2009 ,"'Group G Mathematical Sciences' ","'UK' ","'RPA' ",70
2009 ,"'Group G Mathematical Sciences' ","'EU (excluding UK)' ","'Firm choice' ",250
2009 ,"'Group G Mathematical Sciences' ","'EU (excluding UK)' ","'Insurance choice' ",30
2009 ,"'Group G Mathematical Sciences' ","'EU (excluding UK)' ","'Other main scheme choice' ",15
2009 ,"'Group G Mathematical Sciences' ","'EU (excluding UK)' ","'Extra' ",5
2009 ,"'Group G Mathematical Sciences' ","'EU (excluding UK)' ","'Main scheme Clearing' ",15
2009 ,"'Group G Mathematical Sciences' ","'EU (excluding UK)' ","'Direct Clearing' ",5
2009 ,"'Group G Mathematical Sciences' ","'EU (excluding UK)' ","'RPA' ",20
2009 ,"'Group G Mathematical Sciences' ","'Not EU' ","'Firm choice' ",635
2009 ,"'Group G Mathematical Sciences' ","'Not EU' ","'Insurance choice' ",160
2009 ,"'Group G Mathematical Sciences' ","'Not EU' ","'Other main scheme choice' ",40
2009 ,"'Group G Mathematical Sciences' ","'Not EU' ","'Extra' ",5
2009 ,"'Group G Mathematical Sciences' ","'Not EU' ","'Adjustment' ",5
2009 ,"'Group G Mathematical Sciences' ","'Not EU' ","'Main scheme Clearing' ",125
2009 ,"'Group G Mathematical Sciences' ","'Not EU' ","'Direct Clearing' ",10
2009 ,"'Group G Mathematical Sciences' ","'Not EU' ","'RPA' ",65
2009 ,"'Group H Engineering' ","'UK' ","'Firm choice' ",12080
2009 ,"'Group H Engineering' ","'UK' ","'Insurance choice' ",1860
2009 ,"'Group H Engineering' ","'UK' ","'Other main scheme choice' ",800
2009 ,"'Group H Engineering' ","'UK' ","'Extra' ",145
2009 ,"'Group H Engineering' ","'UK' ","'Adjustment' ",5
2009 ,"'Group H Engineering' ","'UK' ","'Main scheme Clearing' ",1720
2009 ,"'Group H Engineering' ","'UK' ","'Direct Clearing' ",605
2009 ,"'Group H Engineering' ","'UK' ","'RPA' ",1040
2009 ,"'Group H Engineering' ","'EU (excluding UK)' ","'Firm choice' ",1420
2009 ,"'Group H Engineering' ","'EU (excluding UK)' ","'Insurance choice' ",135
2009 ,"'Group H Engineering' ","'EU (excluding UK)' ","'Other main scheme choice' ",205
2009 ,"'Group H Engineering' ","'EU (excluding UK)' ","'Extra' ",20
2009 ,"'Group H Engineering' ","'EU (excluding UK)' ","'Main scheme Clearing' ",110
2009 ,"'Group H Engineering' ","'EU (excluding UK)' ","'Direct Clearing' ",55
2009 ,"'Group H Engineering' ","'EU (excluding UK)' ","'RPA' ",135
2009 ,"'Group H Engineering' ","'Not EU' ","'Firm choice' ",2490
2009 ,"'Group H Engineering' ","'Not EU' ","'Insurance choice' ",365
2009 ,"'Group H Engineering' ","'Not EU' ","'Other main scheme choice' ",680
2009 ,"'Group H Engineering' ","'Not EU' ","'Extra' ",25
2009 ,"'Group H Engineering' ","'Not EU' ","'Main scheme Clearing' ",380
2009 ,"'Group H Engineering' ","'Not EU' ","'Direct Clearing' ",80
2009 ,"'Group H Engineering' ","'Not EU' ","'RPA' ",1080
2009 ,"'Group I Computer Sciences' ","'UK' ","'Firm choice' ",11790
2009 ,"'Group I Computer Sciences' ","'UK' ","'Insurance choice' ",1225
2009 ,"'Group I Computer Sciences' ","'UK' ","'Other main scheme choice' ",980
2009 ,"'Group I Computer Sciences' ","'UK' ","'Extra' ",125
2009 ,"'Group I Computer Sciences' ","'UK' ","'Adjustment' ",20
2009 ,"'Group I Computer Sciences' ","'UK' ","'Main scheme Clearing' ",1555
2009 ,"'Group I Computer Sciences' ","'UK' ","'Direct Clearing' ",785
2009 ,"'Group I Computer Sciences' ","'UK' ","'RPA' ",1670
2009 ,"'Group I Computer Sciences' ","'EU (excluding UK)' ","'Firm choice' ",700
2009 ,"'Group I Computer Sciences' ","'EU (excluding UK)' ","'Insurance choice' ",55
2009 ,"'Group I Computer Sciences' ","'EU (excluding UK)' ","'Other main scheme choice' ",100
2009 ,"'Group I Computer Sciences' ","'EU (excluding UK)' ","'Extra' ",5
2009 ,"'Group I Computer Sciences' ","'EU (excluding UK)' ","'Main scheme Clearing' ",45
2009 ,"'Group I Computer Sciences' ","'EU (excluding UK)' ","'Direct Clearing' ",35
2009 ,"'Group I Computer Sciences' ","'EU (excluding UK)' ","'RPA' ",60
2009 ,"'Group I Computer Sciences' ","'Not EU' ","'Firm choice' ",465
2009 ,"'Group I Computer Sciences' ","'Not EU' ","'Insurance choice' ",55
2009 ,"'Group I Computer Sciences' ","'Not EU' ","'Other main scheme choice' ",160
2009 ,"'Group I Computer Sciences' ","'Not EU' ","'Extra' ",10
2009 ,"'Group I Computer Sciences' ","'Not EU' ","'Main scheme Clearing' ",110
2009 ,"'Group I Computer Sciences' ","'Not EU' ","'Direct Clearing' ",30
2009 ,"'Group I Computer Sciences' ","'Not EU' ","'RPA' ",315
2009 ,"'Group J Technologies' ","'UK' ","'Firm choice' ",1940
2009 ,"'Group J Technologies' ","'UK' ","'Insurance choice' ",95
2009 ,"'Group J Technologies' ","'UK' ","'Other main scheme choice' ",205
2009 ,"'Group J Technologies' ","'UK' ","'Extra' ",20
2009 ,"'Group J Technologies' ","'UK' ","'Main scheme Clearing' ",170
2009 ,"'Group J Technologies' ","'UK' ","'Direct Clearing' ",85
2009 ,"'Group J Technologies' ","'UK' ","'RPA' ",165
2009 ,"'Group J Technologies' ","'EU (excluding UK)' ","'Firm choice' ",115
2009 ,"'Group J Technologies' ","'EU (excluding UK)' ","'Insurance choice' ",5
2009 ,"'Group J Technologies' ","'EU (excluding UK)' ","'Other main scheme choice' ",15
2009 ,"'Group J Technologies' ","'EU (excluding UK)' ","'Main scheme Clearing' ",5
2009 ,"'Group J Technologies' ","'EU (excluding UK)' ","'Direct Clearing' ",5
2009 ,"'Group J Technologies' ","'EU (excluding UK)' ","'RPA' ",10
2009 ,"'Group J Technologies' ","'Not EU' ","'Firm choice' ",120
2009 ,"'Group J Technologies' ","'Not EU' ","'Insurance choice' ",15
2009 ,"'Group J Technologies' ","'Not EU' ","'Other main scheme choice' ",30
2009 ,"'Group J Technologies' ","'Not EU' ","'Main scheme Clearing' ",25
2009 ,"'Group J Technologies' ","'Not EU' ","'Direct Clearing' ",5
2009 ,"'Group J Technologies' ","'Not EU' ","'RPA' ",45
2009 ,"'Group K Architecture, Building and Planning' ","'UK' ","'Firm choice' ",6115
2009 ,"'Group K Architecture, Building and Planning' ","'UK' ","'Insurance choice' ",615
2009 ,"'Group K Architecture, Building and Planning' ","'UK' ","'Other main scheme choice' ",365
2009 ,"'Group K Architecture, Building and Planning' ","'UK' ","'Extra' ",60
2009 ,"'Group K Architecture, Building and Planning' ","'UK' ","'Main scheme Clearing' ",635
2009 ,"'Group K Architecture, Building and Planning' ","'UK' ","'Direct Clearing' ",280
2009 ,"'Group K Architecture, Building and Planning' ","'UK' ","'RPA' ",540
2009 ,"'Group K Architecture, Building and Planning' ","'EU (excluding UK)' ","'Firm choice' ",655
2009 ,"'Group K Architecture, Building and Planning' ","'EU (excluding UK)' ","'Insurance choice' ",50
2009 ,"'Group K Architecture, Building and Planning' ","'EU (excluding UK)' ","'Other main scheme choice' ",80
2009 ,"'Group K Architecture, Building and Planning' ","'EU (excluding UK)' ","'Extra' ",10
2009 ,"'Group K Architecture, Building and Planning' ","'EU (excluding UK)' ","'Main scheme Clearing' ",40
2009 ,"'Group K Architecture, Building and Planning' ","'EU (excluding UK)' ","'Direct Clearing' ",10
2009 ,"'Group K Architecture, Building and Planning' ","'EU (excluding UK)' ","'RPA' ",15
2009 ,"'Group K Architecture, Building and Planning' ","'Not EU' ","'Firm choice' ",470
2009 ,"'Group K Architecture, Building and Planning' ","'Not EU' ","'Insurance choice' ",55
2009 ,"'Group K Architecture, Building and Planning' ","'Not EU' ","'Other main scheme choice' ",105
2009 ,"'Group K Architecture, Building and Planning' ","'Not EU' ","'Extra' ",5
2009 ,"'Group K Architecture, Building and Planning' ","'Not EU' ","'Adjustment' ",5
2009 ,"'Group K Architecture, Building and Planning' ","'Not EU' ","'Main scheme Clearing' ",60
2009 ,"'Group K Architecture, Building and Planning' ","'Not EU' ","'Direct Clearing' ",15
2009 ,"'Group K Architecture, Building and Planning' ","'Not EU' ","'RPA' ",100
2009 ,"'Group L Social Studies' ","'UK' ","'Firm choice' ",22400
2009 ,"'Group L Social Studies' ","'UK' ","'Insurance choice' ",2550
2009 ,"'Group L Social Studies' ","'UK' ","'Other main scheme choice' ",1455
2009 ,"'Group L Social Studies' ","'UK' ","'Extra' ",440
2009 ,"'Group L Social Studies' ","'UK' ","'Adjustment' ",35
2009 ,"'Group L Social Studies' ","'UK' ","'Main scheme Clearing' ",2700
2009 ,"'Group L Social Studies' ","'UK' ","'Direct Clearing' ",710
2009 ,"'Group L Social Studies' ","'UK' ","'RPA' ",1865
2009 ,"'Group L Social Studies' ","'EU (excluding UK)' ","'Firm choice' ",1335
2009 ,"'Group L Social Studies' ","'EU (excluding UK)' ","'Insurance choice' ",125
2009 ,"'Group L Social Studies' ","'EU (excluding UK)' ","'Other main scheme choice' ",95
2009 ,"'Group L Social Studies' ","'EU (excluding UK)' ","'Extra' ",40
2009 ,"'Group L Social Studies' ","'EU (excluding UK)' ","'Main scheme Clearing' ",80
2009 ,"'Group L Social Studies' ","'EU (excluding UK)' ","'Direct Clearing' ",15
2009 ,"'Group L Social Studies' ","'EU (excluding UK)' ","'RPA' ",70
2009 ,"'Group L Social Studies' ","'Not EU' ","'Firm choice' ",1795
2009 ,"'Group L Social Studies' ","'Not EU' ","'Insurance choice' ",305
2009 ,"'Group L Social Studies' ","'Not EU' ","'Other main scheme choice' ",165
2009 ,"'Group L Social Studies' ","'Not EU' ","'Extra' ",25
2009 ,"'Group L Social Studies' ","'Not EU' ","'Adjustment' ",5
2009 ,"'Group L Social Studies' ","'Not EU' ","'Main scheme Clearing' ",255
2009 ,"'Group L Social Studies' ","'Not EU' ","'Direct Clearing' ",30
2009 ,"'Group L Social Studies' ","'Not EU' ","'RPA' ",255
2009 ,"'Group M Law' ","'UK' ","'Firm choice' ",12520
2009 ,"'Group M Law' ","'UK' ","'Insurance choice' ",1840
2009 ,"'Group M Law' ","'UK' ","'Other main scheme choice' ",535
2009 ,"'Group M Law' ","'UK' ","'Extra' ",230
2009 ,"'Group M Law' ","'UK' ","'Adjustment' ",40
2009 ,"'Group M Law' ","'UK' ","'Main scheme Clearing' ",2020
2009 ,"'Group M Law' ","'UK' ","'Direct Clearing' ",405
2009 ,"'Group M Law' ","'UK' ","'RPA' ",1020
2009 ,"'Group M Law' ","'EU (excluding UK)' ","'Firm choice' ",745
2009 ,"'Group M Law' ","'EU (excluding UK)' ","'Insurance choice' ",85
2009 ,"'Group M Law' ","'EU (excluding UK)' ","'Other main scheme choice' ",85
2009 ,"'Group M Law' ","'EU (excluding UK)' ","'Extra' ",20
2009 ,"'Group M Law' ","'EU (excluding UK)' ","'Main scheme Clearing' ",60
2009 ,"'Group M Law' ","'EU (excluding UK)' ","'Direct Clearing' ",25
2009 ,"'Group M Law' ","'EU (excluding UK)' ","'RPA' ",35
2009 ,"'Group M Law' ","'Not EU' ","'Firm choice' ",1430
2009 ,"'Group M Law' ","'Not EU' ","'Insurance choice' ",180
2009 ,"'Group M Law' ","'Not EU' ","'Other main scheme choice' ",255
2009 ,"'Group M Law' ","'Not EU' ","'Extra' ",30
2009 ,"'Group M Law' ","'Not EU' ","'Main scheme Clearing' ",155
2009 ,"'Group M Law' ","'Not EU' ","'Direct Clearing' ",40
2009 ,"'Group M Law' ","'Not EU' ","'RPA' ",280
2009 ,"'Group N Business and Admin studies' ","'UK' ","'Firm choice' ",29390
2009 ,"'Group N Business and Admin studies' ","'UK' ","'Insurance choice' ",4220
2009 ,"'Group N Business and Admin studies' ","'UK' ","'Other main scheme choice' ",1850
2009 ,"'Group N Business and Admin studies' ","'UK' ","'Extra' ",460
2009 ,"'Group N Business and Admin studies' ","'UK' ","'Adjustment' ",40
2009 ,"'Group N Business and Admin studies' ","'UK' ","'Main scheme Clearing' ",4245
2009 ,"'Group N Business and Admin studies' ","'UK' ","'Direct Clearing' ",1410
2009 ,"'Group N Business and Admin studies' ","'UK' ","'RPA' ",3420
2009 ,"'Group N Business and Admin studies' ","'EU (excluding UK)' ","'Firm choice' ",3170
2009 ,"'Group N Business and Admin studies' ","'EU (excluding UK)' ","'Insurance choice' ",275
2009 ,"'Group N Business and Admin studies' ","'EU (excluding UK)' ","'Other main scheme choice' ",475
2009 ,"'Group N Business and Admin studies' ","'EU (excluding UK)' ","'Extra' ",40
2009 ,"'Group N Business and Admin studies' ","'EU (excluding UK)' ","'Adjustment' ",5
2009 ,"'Group N Business and Admin studies' ","'EU (excluding UK)' ","'Main scheme Clearing' ",260
2009 ,"'Group N Business and Admin studies' ","'EU (excluding UK)' ","'Direct Clearing' ",85
2009 ,"'Group N Business and Admin studies' ","'EU (excluding UK)' ","'RPA' ",665
2009 ,"'Group N Business and Admin studies' ","'Not EU' ","'Firm choice' ",3425
2009 ,"'Group N Business and Admin studies' ","'Not EU' ","'Insurance choice' ",735
2009 ,"'Group N Business and Admin studies' ","'Not EU' ","'Other main scheme choice' ",670
2009 ,"'Group N Business and Admin studies' ","'Not EU' ","'Extra' ",75
2009 ,"'Group N Business and Admin studies' ","'Not EU' ","'Adjustment' ",5
2009 ,"'Group N Business and Admin studies' ","'Not EU' ","'Main scheme Clearing' ",785
2009 ,"'Group N Business and Admin studies' ","'Not EU' ","'Direct Clearing' ",90
2009 ,"'Group N Business and Admin studies' ","'Not EU' ","'RPA' ",2625
2009 ,"'Group P Mass Communication and Documentation' ","'UK' ","'Firm choice' ",7610
2009 ,"'Group P Mass Communication and Documentation' ","'UK' ","'Insurance choice' ",525
2009 ,"'Group P Mass Communication and Documentation' ","'UK' ","'Other main scheme choice' ",360
2009 ,"'Group P Mass Communication and Documentation' ","'UK' ","'Extra' ",105
2009 ,"'Group P Mass Communication and Documentation' ","'UK' ","'Adjustment' ",10
2009 ,"'Group P Mass Communication and Documentation' ","'UK' ","'Main scheme Clearing' ",690
2009 ,"'Group P Mass Communication and Documentation' ","'UK' ","'Direct Clearing' ",230
2009 ,"'Group P Mass Communication and Documentation' ","'UK' ","'RPA' ",385
2009 ,"'Group P Mass Communication and Documentation' ","'EU (excluding UK)' ","'Firm choice' ",475
2009 ,"'Group P Mass Communication and Documentation' ","'EU (excluding UK)' ","'Insurance choice' ",25
2009 ,"'Group P Mass Communication and Documentation' ","'EU (excluding UK)' ","'Other main scheme choice' ",60
2009 ,"'Group P Mass Communication and Documentation' ","'EU (excluding UK)' ","'Extra' ",5
2009 ,"'Group P Mass Communication and Documentation' ","'EU (excluding UK)' ","'Main scheme Clearing' ",30
2009 ,"'Group P Mass Communication and Documentation' ","'EU (excluding UK)' ","'Direct Clearing' ",15
2009 ,"'Group P Mass Communication and Documentation' ","'EU (excluding UK)' ","'RPA' ",25
2009 ,"'Group P Mass Communication and Documentation' ","'Not EU' ","'Firm choice' ",260
2009 ,"'Group P Mass Communication and Documentation' ","'Not EU' ","'Insurance choice' ",35
2009 ,"'Group P Mass Communication and Documentation' ","'Not EU' ","'Other main scheme choice' ",45
2009 ,"'Group P Mass Communication and Documentation' ","'Not EU' ","'Extra' ",5
2009 ,"'Group P Mass Communication and Documentation' ","'Not EU' ","'Main scheme Clearing' ",45
2009 ,"'Group P Mass Communication and Documentation' ","'Not EU' ","'Direct Clearing' ",5
2009 ,"'Group P Mass Communication and Documentation' ","'Not EU' ","'RPA' ",95
2009 ,"'Group Q Linguistics, Classics and related' ","'UK' ","'Firm choice' ",9380
2009 ,"'Group Q Linguistics, Classics and related' ","'UK' ","'Insurance choice' ",1090
2009 ,"'Group Q Linguistics, Classics and related' ","'UK' ","'Other main scheme choice' ",260
2009 ,"'Group Q Linguistics, Classics and related' ","'UK' ","'Extra' ",170
2009 ,"'Group Q Linguistics, Classics and related' ","'UK' ","'Adjustment' ",10
2009 ,"'Group Q Linguistics, Classics and related' ","'UK' ","'Main scheme Clearing' ",805
2009 ,"'Group Q Linguistics, Classics and related' ","'UK' ","'Direct Clearing' ",190
2009 ,"'Group Q Linguistics, Classics and related' ","'UK' ","'RPA' ",245
2009 ,"'Group Q Linguistics, Classics and related' ","'EU (excluding UK)' ","'Firm choice' ",270
2009 ,"'Group Q Linguistics, Classics and related' ","'EU (excluding UK)' ","'Insurance choice' ",15
2009 ,"'Group Q Linguistics, Classics and related' ","'EU (excluding UK)' ","'Other main scheme choice' ",30
2009 ,"'Group Q Linguistics, Classics and related' ","'EU (excluding UK)' ","'Extra' ",5
2009 ,"'Group Q Linguistics, Classics and related' ","'EU (excluding UK)' ","'Main scheme Clearing' ",15
2009 ,"'Group Q Linguistics, Classics and related' ","'EU (excluding UK)' ","'Direct Clearing' ",5
2009 ,"'Group Q Linguistics, Classics and related' ","'EU (excluding UK)' ","'RPA' ",10
2009 ,"'Group Q Linguistics, Classics and related' ","'Not EU' ","'Firm choice' ",260
2009 ,"'Group Q Linguistics, Classics and related' ","'Not EU' ","'Insurance choice' ",15
2009 ,"'Group Q Linguistics, Classics and related' ","'Not EU' ","'Other main scheme choice' ",30
2009 ,"'Group Q Linguistics, Classics and related' ","'Not EU' ","'Extra' ",5
2009 ,"'Group Q Linguistics, Classics and related' ","'Not EU' ","'Main scheme Clearing' ",15
2009 ,"'Group Q Linguistics, Classics and related' ","'Not EU' ","'Direct Clearing' ",5
2009 ,"'Group Q Linguistics, Classics and related' ","'Not EU' ","'RPA' ",45
2009 ,"'Group R European Languages, Literature and related' ","'UK' ","'Firm choice' ",3290
2009 ,"'Group R European Languages, Literature and related' ","'UK' ","'Insurance choice' ",380
2009 ,"'Group R European Languages, Literature and related' ","'UK' ","'Other main scheme choice' ",75
2009 ,"'Group R European Languages, Literature and related' ","'UK' ","'Extra' ",25
2009 ,"'Group R European Languages, Literature and related' ","'UK' ","'Adjustment' ",5
2009 ,"'Group R European Languages, Literature and related' ","'UK' ","'Main scheme Clearing' ",325
2009 ,"'Group R European Languages, Literature and related' ","'UK' ","'Direct Clearing' ",25
2009 ,"'Group R European Languages, Literature and related' ","'UK' ","'RPA' ",40
2009 ,"'Group R European Languages, Literature and related' ","'EU (excluding UK)' ","'Firm choice' ",285
2009 ,"'Group R European Languages, Literature and related' ","'EU (excluding UK)' ","'Insurance choice' ",15
2009 ,"'Group R European Languages, Literature and related' ","'EU (excluding UK)' ","'Other main scheme choice' ",10
2009 ,"'Group R European Languages, Literature and related' ","'EU (excluding UK)' ","'Extra' ",5
2009 ,"'Group R European Languages, Literature and related' ","'EU (excluding UK)' ","'Main scheme Clearing' ",15
2009 ,"'Group R European Languages, Literature and related' ","'EU (excluding UK)' ","'Direct Clearing' ",5
2009 ,"'Group R European Languages, Literature and related' ","'EU (excluding UK)' ","'RPA' ",5
2009 ,"'Group R European Languages, Literature and related' ","'Not EU' ","'Firm choice' ",75
2009 ,"'Group R European Languages, Literature and related' ","'Not EU' ","'Insurance choice' ",5
2009 ,"'Group R European Languages, Literature and related' ","'Not EU' ","'Other main scheme choice' ",10
2009 ,"'Group R European Languages, Literature and related' ","'Not EU' ","'Main scheme Clearing' ",5
2009 ,"'Group R European Languages, Literature and related' ","'Not EU' ","'Direct Clearing' ",5
2009 ,"'Group R European Languages, Literature and related' ","'Not EU' ","'RPA' ",5
2009 ,"'Group T Non-European Languages, Literature and related' ","'UK' ","'Firm choice' ",1080
2009 ,"'Group T Non-European Languages, Literature and related' ","'UK' ","'Insurance choice' ",90
2009 ,"'Group T Non-European Languages, Literature and related' ","'UK' ","'Other main scheme choice' ",30
