"Statistic:   Number of Acceptances"
"Variables:   Subject Group (Summary Level) , Applicant Domicile (Region) , Acceptance Route , Cycle Year"
"Coverage:   UK domiciled"
"For a list of key definitions and descriptions please refer to the PDF file provided - EOC_data_resource_2016-DR3_021_07.pdf"
 
Cycle Year,Subject Group (Summary Level) , Applicant Domicile (Region) , Acceptance Route,Number of Acceptances,
2007 ,"'Group A Medicine and Dentistry' ","'North East' ","'Firm choice' ",210
2007 ,"'Y Combined social sciences' ","'Yorkshire and The Humber' ","'RPA' ",35
2007 ,"'Y Combined social sciences' ","'North West' ","'Firm choice' ",495
2007 ,"'Y Combined social sciences' ","'North West' ","'Insurance choice' ",55
2007 ,"'Y Combined social sciences' ","'North West' ","'Other main scheme choice' ",25
2007 ,"'Y Combined social sciences' ","'North West' ","'Extra' ",5
2007 ,"'Y Combined social sciences' ","'North West' ","'Main scheme Clearing' ",50
2007 ,"'Y Combined social sciences' ","'North West' ","'Direct Clearing' ",10
2007 ,"'Y Combined social sciences' ","'North West' ","'RPA' ",45
2007 ,"'Y Combined social sciences' ","'East Midlands' ","'Firm choice' ",220
2007 ,"'Y Combined social sciences' ","'East Midlands' ","'Insurance choice' ",20
2007 ,"'Y Combined social sciences' ","'East Midlands' ","'Other main scheme choice' ",5
2007 ,"'Y Combined social sciences' ","'East Midlands' ","'Extra' ",5
2007 ,"'Y Combined social sciences' ","'East Midlands' ","'Main scheme Clearing' ",25
2007 ,"'Y Combined social sciences' ","'East Midlands' ","'Direct Clearing' ",5
2007 ,"'Y Combined social sciences' ","'East Midlands' ","'RPA' ",10
2007 ,"'Y Combined social sciences' ","'West Midlands' ","'Firm choice' ",385
2007 ,"'Y Combined social sciences' ","'West Midlands' ","'Insurance choice' ",30
2007 ,"'Y Combined social sciences' ","'West Midlands' ","'Other main scheme choice' ",10
2007 ,"'Y Combined social sciences' ","'West Midlands' ","'Extra' ",10
2007 ,"'Y Combined social sciences' ","'West Midlands' ","'Main scheme Clearing' ",55
2007 ,"'Y Combined social sciences' ","'West Midlands' ","'Direct Clearing' ",10
2007 ,"'Y Combined social sciences' ","'West Midlands' ","'RPA' ",35
2007 ,"'Y Combined social sciences' ","'East of England' ","'Firm choice' ",305
2007 ,"'Y Combined social sciences' ","'East of England' ","'Insurance choice' ",25
2007 ,"'Y Combined social sciences' ","'East of England' ","'Other main scheme choice' ",10
2007 ,"'Y Combined social sciences' ","'East of England' ","'Extra' ",5
2007 ,"'Y Combined social sciences' ","'East of England' ","'Main scheme Clearing' ",30
2007 ,"'Y Combined social sciences' ","'East of England' ","'Direct Clearing' ",10
2007 ,"'Y Combined social sciences' ","'East of England' ","'RPA' ",20
2007 ,"'Y Combined social sciences' ","'London' ","'Firm choice' ",710
2007 ,"'Y Combined social sciences' ","'London' ","'Insurance choice' ",140
2007 ,"'Y Combined social sciences' ","'London' ","'Other main scheme choice' ",35
2007 ,"'Y Combined social sciences' ","'London' ","'Extra' ",20
2007 ,"'Y Combined social sciences' ","'London' ","'Main scheme Clearing' ",205
2007 ,"'Y Combined social sciences' ","'London' ","'Direct Clearing' ",25
2007 ,"'Y Combined social sciences' ","'London' ","'RPA' ",70
2007 ,"'Y Combined social sciences' ","'South East' ","'Firm choice' ",535
2007 ,"'Y Combined social sciences' ","'South East' ","'Insurance choice' ",50
2007 ,"'Y Combined social sciences' ","'South East' ","'Other main scheme choice' ",15
2007 ,"'Y Combined social sciences' ","'South East' ","'Extra' ",10
2007 ,"'Y Combined social sciences' ","'South East' ","'Main scheme Clearing' ",70
2007 ,"'Y Combined social sciences' ","'South East' ","'Direct Clearing' ",10
2007 ,"'Y Combined social sciences' ","'South East' ","'RPA' ",20
2007 ,"'Y Combined social sciences' ","'South West' ","'Firm choice' ",205
2007 ,"'Y Combined social sciences' ","'South West' ","'Insurance choice' ",25
2007 ,"'Y Combined social sciences' ","'South West' ","'Other main scheme choice' ",10
2007 ,"'Y Combined social sciences' ","'South West' ","'Main scheme Clearing' ",25
2007 ,"'Y Combined social sciences' ","'South West' ","'Direct Clearing' ",5
2007 ,"'Y Combined social sciences' ","'South West' ","'RPA' ",10
2007 ,"'Y Combined social sciences' ","'Wales' ","'Firm choice' ",190
2007 ,"'Y Combined social sciences' ","'Wales' ","'Insurance choice' ",15
2007 ,"'Y Combined social sciences' ","'Wales' ","'Other main scheme choice' ",15
2007 ,"'Y Combined social sciences' ","'Wales' ","'Extra' ",5
2007 ,"'Y Combined social sciences' ","'Wales' ","'Main scheme Clearing' ",20
2007 ,"'Y Combined social sciences' ","'Wales' ","'Direct Clearing' ",5
2007 ,"'Y Combined social sciences' ","'Wales' ","'RPA' ",15
2007 ,"'Y Combined social sciences' ","'Scotland' ","'Firm choice' ",280
2007 ,"'Y Combined social sciences' ","'Scotland' ","'Insurance choice' ",25
2007 ,"'Y Combined social sciences' ","'Scotland' ","'Other main scheme choice' ",10
2007 ,"'Y Combined social sciences' ","'Scotland' ","'Extra' ",5
2007 ,"'Y Combined social sciences' ","'Scotland' ","'Main scheme Clearing' ",15
2007 ,"'Y Combined social sciences' ","'Scotland' ","'Direct Clearing' ",5
2007 ,"'Y Combined social sciences' ","'Scotland' ","'RPA' ",15
2007 ,"'Y Combined social sciences' ","'Northern Ireland' ","'Firm choice' ",120
2007 ,"'Y Combined social sciences' ","'Northern Ireland' ","'Insurance choice' ",15
2007 ,"'Y Combined social sciences' ","'Northern Ireland' ","'Other main scheme choice' ",5
2007 ,"'Y Combined social sciences' ","'Northern Ireland' ","'Main scheme Clearing' ",5
2007 ,"'Y Combined social sciences' ","'Unknown' ","'Firm choice' ",10
2007 ,"'Y Sciences combined with Social Sciences or Arts' ","'North East' ","'Firm choice' ",665
2007 ,"'Y Sciences combined with Social Sciences or Arts' ","'North East' ","'Insurance choice' ",30
2007 ,"'Y Sciences combined with Social Sciences or Arts' ","'North East' ","'Other main scheme choice' ",35
2007 ,"'Y Sciences combined with Social Sciences or Arts' ","'North East' ","'Extra' ",10
2007 ,"'Y Sciences combined with Social Sciences or Arts' ","'North East' ","'Main scheme Clearing' ",40
2007 ,"'Y Sciences combined with Social Sciences or Arts' ","'North East' ","'Direct Clearing' ",5
2007 ,"'Y Sciences combined with Social Sciences or Arts' ","'North East' ","'RPA' ",95
2007 ,"'Y Sciences combined with Social Sciences or Arts' ","'Yorkshire and The Humber' ","'Firm choice' ",1335
2007 ,"'Y Sciences combined with Social Sciences or Arts' ","'Yorkshire and The Humber' ","'Insurance choice' ",65
2007 ,"'Y Sciences combined with Social Sciences or Arts' ","'Yorkshire and The Humber' ","'Other main scheme choice' ",65
2007 ,"'Y Sciences combined with Social Sciences or Arts' ","'Yorkshire and The Humber' ","'Extra' ",10
2007 ,"'Y Sciences combined with Social Sciences or Arts' ","'Yorkshire and The Humber' ","'Main scheme Clearing' ",120
2007 ,"'Y Sciences combined with Social Sciences or Arts' ","'Yorkshire and The Humber' ","'Direct Clearing' ",35
2007 ,"'Y Sciences combined with Social Sciences or Arts' ","'Yorkshire and The Humber' ","'RPA' ",135
2007 ,"'Y Sciences combined with Social Sciences or Arts' ","'North West' ","'Firm choice' ",1985
2007 ,"'Y Sciences combined with Social Sciences or Arts' ","'North West' ","'Insurance choice' ",90
2007 ,"'Y Sciences combined with Social Sciences or Arts' ","'North West' ","'Other main scheme choice' ",105
2007 ,"'Y Sciences combined with Social Sciences or Arts' ","'North West' ","'Extra' ",30
2007 ,"'Y Sciences combined with Social Sciences or Arts' ","'North West' ","'Main scheme Clearing' ",200
2007 ,"'Y Sciences combined with Social Sciences or Arts' ","'North West' ","'Direct Clearing' ",65
2007 ,"'Y Sciences combined with Social Sciences or Arts' ","'North West' ","'RPA' ",295
2007 ,"'Y Sciences combined with Social Sciences or Arts' ","'East Midlands' ","'Firm choice' ",1060
2007 ,"'Y Sciences combined with Social Sciences or Arts' ","'East Midlands' ","'Insurance choice' ",60
2007 ,"'Y Sciences combined with Social Sciences or Arts' ","'East Midlands' ","'Other main scheme choice' ",40
2007 ,"'Y Sciences combined with Social Sciences or Arts' ","'East Midlands' ","'Extra' ",20
2007 ,"'Y Sciences combined with Social Sciences or Arts' ","'East Midlands' ","'Main scheme Clearing' ",85
2007 ,"'Y Sciences combined with Social Sciences or Arts' ","'East Midlands' ","'Direct Clearing' ",50
2007 ,"'Y Sciences combined with Social Sciences or Arts' ","'East Midlands' ","'RPA' ",50
2007 ,"'Y Sciences combined with Social Sciences or Arts' ","'West Midlands' ","'Firm choice' ",1470
2007 ,"'Y Sciences combined with Social Sciences or Arts' ","'West Midlands' ","'Insurance choice' ",105
2007 ,"'Y Sciences combined with Social Sciences or Arts' ","'West Midlands' ","'Other main scheme choice' ",75
2007 ,"'Y Sciences combined with Social Sciences or Arts' ","'West Midlands' ","'Extra' ",20
2007 ,"'Y Sciences combined with Social Sciences or Arts' ","'West Midlands' ","'Main scheme Clearing' ",160
2007 ,"'Y Sciences combined with Social Sciences or Arts' ","'West Midlands' ","'Direct Clearing' ",55
2007 ,"'Y Sciences combined with Social Sciences or Arts' ","'West Midlands' ","'RPA' ",130
2007 ,"'Y Sciences combined with Social Sciences or Arts' ","'East of England' ","'Firm choice' ",1250
2007 ,"'Y Sciences combined with Social Sciences or Arts' ","'East of England' ","'Insurance choice' ",85
2007 ,"'Y Sciences combined with Social Sciences or Arts' ","'East of England' ","'Other main scheme choice' ",50
2007 ,"'Y Sciences combined with Social Sciences or Arts' ","'East of England' ","'Extra' ",10
2007 ,"'Y Sciences combined with Social Sciences or Arts' ","'East of England' ","'Main scheme Clearing' ",115
2007 ,"'Y Sciences combined with Social Sciences or Arts' ","'East of England' ","'Direct Clearing' ",45
2007 ,"'Y Sciences combined with Social Sciences or Arts' ","'East of England' ","'RPA' ",60
2007 ,"'Y Sciences combined with Social Sciences or Arts' ","'London' ","'Firm choice' ",1825
2007 ,"'Y Sciences combined with Social Sciences or Arts' ","'London' ","'Insurance choice' ",220
2007 ,"'Y Sciences combined with Social Sciences or Arts' ","'London' ","'Other main scheme choice' ",120
2007 ,"'Y Sciences combined with Social Sciences or Arts' ","'London' ","'Extra' ",40
2007 ,"'Y Sciences combined with Social Sciences or Arts' ","'London' ","'Main scheme Clearing' ",390
2007 ,"'Y Sciences combined with Social Sciences or Arts' ","'London' ","'Direct Clearing' ",90
2007 ,"'Y Sciences combined with Social Sciences or Arts' ","'London' ","'RPA' ",170
2007 ,"'Y Sciences combined with Social Sciences or Arts' ","'South East' ","'Firm choice' ",2155
2007 ,"'Y Sciences combined with Social Sciences or Arts' ","'South East' ","'Insurance choice' ",165
2007 ,"'Y Sciences combined with Social Sciences or Arts' ","'South East' ","'Other main scheme choice' ",65
2007 ,"'Y Sciences combined with Social Sciences or Arts' ","'South East' ","'Extra' ",25
2007 ,"'Y Sciences combined with Social Sciences or Arts' ","'South East' ","'Main scheme Clearing' ",160
2007 ,"'Y Sciences combined with Social Sciences or Arts' ","'South East' ","'Direct Clearing' ",40
2007 ,"'Y Sciences combined with Social Sciences or Arts' ","'South East' ","'RPA' ",70
2007 ,"'Y Sciences combined with Social Sciences or Arts' ","'South West' ","'Firm choice' ",1180
2007 ,"'Y Sciences combined with Social Sciences or Arts' ","'South West' ","'Insurance choice' ",45
2007 ,"'Y Sciences combined with Social Sciences or Arts' ","'South West' ","'Other main scheme choice' ",45
2007 ,"'Y Sciences combined with Social Sciences or Arts' ","'South West' ","'Extra' ",15
2007 ,"'Y Sciences combined with Social Sciences or Arts' ","'South West' ","'Main scheme Clearing' ",70
2007 ,"'Y Sciences combined with Social Sciences or Arts' ","'South West' ","'Direct Clearing' ",30
2007 ,"'Y Sciences combined with Social Sciences or Arts' ","'South West' ","'RPA' ",105
2007 ,"'Y Sciences combined with Social Sciences or Arts' ","'Wales' ","'Firm choice' ",625
2007 ,"'Y Sciences combined with Social Sciences or Arts' ","'Wales' ","'Insurance choice' ",45
2007 ,"'Y Sciences combined with Social Sciences or Arts' ","'Wales' ","'Other main scheme choice' ",35
2007 ,"'Y Sciences combined with Social Sciences or Arts' ","'Wales' ","'Extra' ",5
2007 ,"'Y Sciences combined with Social Sciences or Arts' ","'Wales' ","'Main scheme Clearing' ",50
2007 ,"'Y Sciences combined with Social Sciences or Arts' ","'Wales' ","'Direct Clearing' ",50
2007 ,"'Y Sciences combined with Social Sciences or Arts' ","'Wales' ","'RPA' ",60
2007 ,"'Y Sciences combined with Social Sciences or Arts' ","'Scotland' ","'Firm choice' ",1390
2007 ,"'Y Sciences combined with Social Sciences or Arts' ","'Scotland' ","'Insurance choice' ",90
2007 ,"'Y Sciences combined with Social Sciences or Arts' ","'Scotland' ","'Other main scheme choice' ",60
2007 ,"'Y Sciences combined with Social Sciences or Arts' ","'Scotland' ","'Extra' ",10
2007 ,"'Y Sciences combined with Social Sciences or Arts' ","'Scotland' ","'Main scheme Clearing' ",100
2007 ,"'Y Sciences combined with Social Sciences or Arts' ","'Scotland' ","'Direct Clearing' ",20
2007 ,"'Y Sciences combined with Social Sciences or Arts' ","'Scotland' ","'RPA' ",120
2007 ,"'Y Sciences combined with Social Sciences or Arts' ","'Northern Ireland' ","'Firm choice' ",460
2007 ,"'Y Sciences combined with Social Sciences or Arts' ","'Northern Ireland' ","'Insurance choice' ",45
2007 ,"'Y Sciences combined with Social Sciences or Arts' ","'Northern Ireland' ","'Other main scheme choice' ",10
2007 ,"'Y Sciences combined with Social Sciences or Arts' ","'Northern Ireland' ","'Extra' ",15
2007 ,"'Y Sciences combined with Social Sciences or Arts' ","'Northern Ireland' ","'Main scheme Clearing' ",30
2007 ,"'Y Sciences combined with Social Sciences or Arts' ","'Northern Ireland' ","'Direct Clearing' ",10
2007 ,"'Y Sciences combined with Social Sciences or Arts' ","'Unknown' ","'Firm choice' ",25
2007 ,"'Y Sciences combined with Social Sciences or Arts' ","'Unknown' ","'Insurance choice' ",5
2007 ,"'Y Sciences combined with Social Sciences or Arts' ","'Unknown' ","'Other main scheme choice' ",5
2007 ,"'Y Sciences combined with Social Sciences or Arts' ","'Unknown' ","'RPA' ",10
2007 ,"'Y Social Sciences combined with Arts' ","'North East' ","'Firm choice' ",240
2007 ,"'Y Social Sciences combined with Arts' ","'North East' ","'Insurance choice' ",15
2007 ,"'Y Social Sciences combined with Arts' ","'North East' ","'Other main scheme choice' ",10
2007 ,"'Y Social Sciences combined with Arts' ","'North East' ","'Extra' ",5
2007 ,"'Y Social Sciences combined with Arts' ","'North East' ","'Main scheme Clearing' ",30
2007 ,"'Y Social Sciences combined with Arts' ","'North East' ","'Direct Clearing' ",10
2007 ,"'Y Social Sciences combined with Arts' ","'North East' ","'RPA' ",10
2007 ,"'Y Social Sciences combined with Arts' ","'Yorkshire and The Humber' ","'Firm choice' ",540
2007 ,"'Y Social Sciences combined with Arts' ","'Yorkshire and The Humber' ","'Insurance choice' ",35
2007 ,"'Y Social Sciences combined with Arts' ","'Yorkshire and The Humber' ","'Other main scheme choice' ",30
2007 ,"'Y Social Sciences combined with Arts' ","'Yorkshire and The Humber' ","'Extra' ",10
2007 ,"'Y Social Sciences combined with Arts' ","'Yorkshire and The Humber' ","'Main scheme Clearing' ",40
2007 ,"'Y Social Sciences combined with Arts' ","'Yorkshire and The Humber' ","'Direct Clearing' ",25
2007 ,"'Y Social Sciences combined with Arts' ","'Yorkshire and The Humber' ","'RPA' ",55
2007 ,"'Y Social Sciences combined with Arts' ","'North West' ","'Firm choice' ",950
2007 ,"'Y Social Sciences combined with Arts' ","'North West' ","'Insurance choice' ",75
2007 ,"'Y Social Sciences combined with Arts' ","'North West' ","'Other main scheme choice' ",50
2007 ,"'Y Social Sciences combined with Arts' ","'North West' ","'Extra' ",20
2007 ,"'Y Social Sciences combined with Arts' ","'North West' ","'Main scheme Clearing' ",105
2007 ,"'Y Social Sciences combined with Arts' ","'North West' ","'Direct Clearing' ",40
2007 ,"'Y Social Sciences combined with Arts' ","'North West' ","'RPA' ",140
2007 ,"'Y Social Sciences combined with Arts' ","'East Midlands' ","'Firm choice' ",490
2007 ,"'Y Social Sciences combined with Arts' ","'East Midlands' ","'Insurance choice' ",40
2007 ,"'Y Social Sciences combined with Arts' ","'East Midlands' ","'Other main scheme choice' ",25
2007 ,"'Y Social Sciences combined with Arts' ","'East Midlands' ","'Extra' ",5
2007 ,"'Y Social Sciences combined with Arts' ","'East Midlands' ","'Main scheme Clearing' ",50
2007 ,"'Y Social Sciences combined with Arts' ","'East Midlands' ","'Direct Clearing' ",25
2007 ,"'Y Social Sciences combined with Arts' ","'East Midlands' ","'RPA' ",20
2007 ,"'Y Social Sciences combined with Arts' ","'West Midlands' ","'Firm choice' ",725
2007 ,"'Y Social Sciences combined with Arts' ","'West Midlands' ","'Insurance choice' ",55
2007 ,"'Y Social Sciences combined with Arts' ","'West Midlands' ","'Other main scheme choice' ",25
2007 ,"'Y Social Sciences combined with Arts' ","'West Midlands' ","'Extra' ",15
2007 ,"'Y Social Sciences combined with Arts' ","'West Midlands' ","'Main scheme Clearing' ",65
2007 ,"'Y Social Sciences combined with Arts' ","'West Midlands' ","'Direct Clearing' ",40
2007 ,"'Y Social Sciences combined with Arts' ","'West Midlands' ","'RPA' ",50
2007 ,"'Y Social Sciences combined with Arts' ","'East of England' ","'Firm choice' ",895
2007 ,"'Y Social Sciences combined with Arts' ","'East of England' ","'Insurance choice' ",50
2007 ,"'Y Social Sciences combined with Arts' ","'East of England' ","'Other main scheme choice' ",35
2007 ,"'Y Social Sciences combined with Arts' ","'East of England' ","'Extra' ",15
2007 ,"'Y Social Sciences combined with Arts' ","'East of England' ","'Main scheme Clearing' ",65
2007 ,"'Y Social Sciences combined with Arts' ","'East of England' ","'Direct Clearing' ",15
2007 ,"'Y Social Sciences combined with Arts' ","'East of England' ","'RPA' ",35
2007 ,"'Y Social Sciences combined with Arts' ","'London' ","'Firm choice' ",1365
2007 ,"'Y Social Sciences combined with Arts' ","'London' ","'Insurance choice' ",125
2007 ,"'Y Social Sciences combined with Arts' ","'London' ","'Other main scheme choice' ",100
2007 ,"'Y Social Sciences combined with Arts' ","'London' ","'Extra' ",10
2007 ,"'Y Social Sciences combined with Arts' ","'London' ","'Main scheme Clearing' ",210
2007 ,"'Y Social Sciences combined with Arts' ","'London' ","'Direct Clearing' ",30
2007 ,"'Y Social Sciences combined with Arts' ","'London' ","'RPA' ",130
2007 ,"'Y Social Sciences combined with Arts' ","'South East' ","'Firm choice' ",1390
2007 ,"'Y Social Sciences combined with Arts' ","'South East' ","'Insurance choice' ",90
2007 ,"'Y Social Sciences combined with Arts' ","'South East' ","'Other main scheme choice' ",50
2007 ,"'Y Social Sciences combined with Arts' ","'South East' ","'Extra' ",10
2007 ,"'Y Social Sciences combined with Arts' ","'South East' ","'Main scheme Clearing' ",95
2007 ,"'Y Social Sciences combined with Arts' ","'South East' ","'Direct Clearing' ",30
2007 ,"'Y Social Sciences combined with Arts' ","'South East' ","'RPA' ",45
2007 ,"'Y Social Sciences combined with Arts' ","'South West' ","'Firm choice' ",700
2007 ,"'Y Social Sciences combined with Arts' ","'South West' ","'Insurance choice' ",40
2007 ,"'Y Social Sciences combined with Arts' ","'South West' ","'Other main scheme choice' ",25
2007 ,"'Y Social Sciences combined with Arts' ","'South West' ","'Extra' ",5
2007 ,"'Y Social Sciences combined with Arts' ","'South West' ","'Main scheme Clearing' ",45
2007 ,"'Y Social Sciences combined with Arts' ","'South West' ","'Direct Clearing' ",15
2007 ,"'Y Social Sciences combined with Arts' ","'South West' ","'RPA' ",15
2007 ,"'Y Social Sciences combined with Arts' ","'Wales' ","'Firm choice' ",410
2007 ,"'Y Social Sciences combined with Arts' ","'Wales' ","'Insurance choice' ",30
2007 ,"'Y Social Sciences combined with Arts' ","'Wales' ","'Other main scheme choice' ",15
2007 ,"'Y Social Sciences combined with Arts' ","'Wales' ","'Extra' ",5
2007 ,"'Y Social Sciences combined with Arts' ","'Wales' ","'Main scheme Clearing' ",35
2007 ,"'Y Social Sciences combined with Arts' ","'Wales' ","'Direct Clearing' ",10
2007 ,"'Y Social Sciences combined with Arts' ","'Wales' ","'RPA' ",45
2007 ,"'Y Social Sciences combined with Arts' ","'Scotland' ","'Firm choice' ",760
2007 ,"'Y Social Sciences combined with Arts' ","'Scotland' ","'Insurance choice' ",45
2007 ,"'Y Social Sciences combined with Arts' ","'Scotland' ","'Other main scheme choice' ",15
2007 ,"'Y Social Sciences combined with Arts' ","'Scotland' ","'Extra' ",5
2007 ,"'Y Social Sciences combined with Arts' ","'Scotland' ","'Main scheme Clearing' ",25
2007 ,"'Y Social Sciences combined with Arts' ","'Scotland' ","'Direct Clearing' ",5
2007 ,"'Y Social Sciences combined with Arts' ","'Scotland' ","'RPA' ",15
2007 ,"'Y Social Sciences combined with Arts' ","'Northern Ireland' ","'Firm choice' ",400
2007 ,"'Y Social Sciences combined with Arts' ","'Northern Ireland' ","'Insurance choice' ",35
2007 ,"'Y Social Sciences combined with Arts' ","'Northern Ireland' ","'Other main scheme choice' ",5
2007 ,"'Y Social Sciences combined with Arts' ","'Northern Ireland' ","'Extra' ",10
2007 ,"'Y Social Sciences combined with Arts' ","'Northern Ireland' ","'Main scheme Clearing' ",20
2007 ,"'Y Social Sciences combined with Arts' ","'Northern Ireland' ","'Direct Clearing' ",5
2007 ,"'Y Social Sciences combined with Arts' ","'Unknown' ","'Firm choice' ",10
2007 ,"'Z General, other combined and unknown' ","'North East' ","'Firm choice' ",95
2007 ,"'Z General, other combined and unknown' ","'North East' ","'Other main scheme choice' ",5
2007 ,"'Z General, other combined and unknown' ","'North East' ","'Main scheme Clearing' ",15
2007 ,"'Z General, other combined and unknown' ","'Yorkshire and The Humber' ","'Firm choice' ",285
2007 ,"'Z General, other combined and unknown' ","'Yorkshire and The Humber' ","'Insurance choice' ",15
2007 ,"'Z General, other combined and unknown' ","'Yorkshire and The Humber' ","'Other main scheme choice' ",30
2007 ,"'Z General, other combined and unknown' ","'Yorkshire and The Humber' ","'Main scheme Clearing' ",55
2007 ,"'Z General, other combined and unknown' ","'Yorkshire and The Humber' ","'Direct Clearing' ",10
2007 ,"'Z General, other combined and unknown' ","'Yorkshire and The Humber' ","'RPA' ",75
2007 ,"'Z General, other combined and unknown' ","'North West' ","'Firm choice' ",445
2007 ,"'Z General, other combined and unknown' ","'North West' ","'Insurance choice' ",25
2007 ,"'Z General, other combined and unknown' ","'North West' ","'Other main scheme choice' ",35
2007 ,"'Z General, other combined and unknown' ","'North West' ","'Extra' ",10
2007 ,"'Z General, other combined and unknown' ","'North West' ","'Main scheme Clearing' ",75
2007 ,"'Z General, other combined and unknown' ","'North West' ","'Direct Clearing' ",25
2007 ,"'Z General, other combined and unknown' ","'North West' ","'RPA' ",175
2007 ,"'Z General, other combined and unknown' ","'East Midlands' ","'Firm choice' ",175
2007 ,"'Z General, other combined and unknown' ","'East Midlands' ","'Insurance choice' ",5
2007 ,"'Z General, other combined and unknown' ","'East Midlands' ","'Other main scheme choice' ",5
2007 ,"'Z General, other combined and unknown' ","'East Midlands' ","'Main scheme Clearing' ",20
2007 ,"'Z General, other combined and unknown' ","'East Midlands' ","'Direct Clearing' ",5
2007 ,"'Z General, other combined and unknown' ","'East Midlands' ","'RPA' ",5
2007 ,"'Z General, other combined and unknown' ","'West Midlands' ","'Firm choice' ",195
2007 ,"'Z General, other combined and unknown' ","'West Midlands' ","'Insurance choice' ",15
2007 ,"'Z General, other combined and unknown' ","'West Midlands' ","'Other main scheme choice' ",10
2007 ,"'Z General, other combined and unknown' ","'West Midlands' ","'Main scheme Clearing' ",25
2007 ,"'Z General, other combined and unknown' ","'West Midlands' ","'Direct Clearing' ",5
2007 ,"'Z General, other combined and unknown' ","'West Midlands' ","'RPA' ",15
2007 ,"'Z General, other combined and unknown' ","'East of England' ","'Firm choice' ",250
2007 ,"'Z General, other combined and unknown' ","'East of England' ","'Insurance choice' ",15
2007 ,"'Z General, other combined and unknown' ","'East of England' ","'Other main scheme choice' ",10
2007 ,"'Z General, other combined and unknown' ","'East of England' ","'Main scheme Clearing' ",25
2007 ,"'Z General, other combined and unknown' ","'East of England' ","'Direct Clearing' ",10
2007 ,"'Z General, other combined and unknown' ","'East of England' ","'RPA' ",45
2007 ,"'Z General, other combined and unknown' ","'London' ","'Firm choice' ",490
2007 ,"'Z General, other combined and unknown' ","'London' ","'Insurance choice' ",65
2007 ,"'Z General, other combined and unknown' ","'London' ","'Other main scheme choice' ",40
2007 ,"'Z General, other combined and unknown' ","'London' ","'Extra' ",10
2007 ,"'Z General, other combined and unknown' ","'London' ","'Main scheme Clearing' ",235
2007 ,"'Z General, other combined and unknown' ","'London' ","'Direct Clearing' ",50
2007 ,"'Z General, other combined and unknown' ","'London' ","'RPA' ",165
2007 ,"'Z General, other combined and unknown' ","'South East' ","'Firm choice' ",405
2007 ,"'Z General, other combined and unknown' ","'South East' ","'Insurance choice' ",15
2007 ,"'Z General, other combined and unknown' ","'South East' ","'Other main scheme choice' ",10
2007 ,"'Z General, other combined and unknown' ","'South East' ","'Extra' ",5
2007 ,"'Z General, other combined and unknown' ","'South East' ","'Main scheme Clearing' ",45
2007 ,"'Z General, other combined and unknown' ","'South East' ","'Direct Clearing' ",10
2007 ,"'Z General, other combined and unknown' ","'South East' ","'RPA' ",20
2007 ,"'Z General, other combined and unknown' ","'South West' ","'Firm choice' ",180
2007 ,"'Z General, other combined and unknown' ","'South West' ","'Insurance choice' ",5
2007 ,"'Z General, other combined and unknown' ","'South West' ","'Other main scheme choice' ",5
2007 ,"'Z General, other combined and unknown' ","'South West' ","'Main scheme Clearing' ",15
2007 ,"'Z General, other combined and unknown' ","'South West' ","'RPA' ",15
2007 ,"'Z General, other combined and unknown' ","'Wales' ","'Firm choice' ",125
2007 ,"'Z General, other combined and unknown' ","'Wales' ","'Insurance choice' ",5
2007 ,"'Z General, other combined and unknown' ","'Wales' ","'Other main scheme choice' ",10
2007 ,"'Z General, other combined and unknown' ","'Wales' ","'Main scheme Clearing' ",10
2007 ,"'Z General, other combined and unknown' ","'Wales' ","'RPA' ",40
2007 ,"'Z General, other combined and unknown' ","'Scotland' ","'Firm choice' ",505
2007 ,"'Z General, other combined and unknown' ","'Scotland' ","'Insurance choice' ",70
2007 ,"'Z General, other combined and unknown' ","'Scotland' ","'Other main scheme choice' ",15
2007 ,"'Z General, other combined and unknown' ","'Scotland' ","'Extra' ",5
2007 ,"'Z General, other combined and unknown' ","'Scotland' ","'Main scheme Clearing' ",70
2007 ,"'Z General, other combined and unknown' ","'Scotland' ","'Direct Clearing' ",20
2007 ,"'Z General, other combined and unknown' ","'Scotland' ","'RPA' ",60
2007 ,"'Z General, other combined and unknown' ","'Northern Ireland' ","'Firm choice' ",35
2007 ,"'Z General, other combined and unknown' ","'Northern Ireland' ","'Insurance choice' ",5
2007 ,"'Z General, other combined and unknown' ","'Northern Ireland' ","'Main scheme Clearing' ",5
2007 ,"'Z General, other combined and unknown' ","'Unknown' ","'Firm choice' ",5
2007 ,"'Z General, other combined and unknown' ","'Unknown' ","'RPA' ",5
2008 ,"'Group A Medicine and Dentistry' ","'North East' ","'Firm choice' ",230
2008 ,"'Group A Medicine and Dentistry' ","'North East' ","'Main scheme Clearing' ",10
2008 ,"'Group A Medicine and Dentistry' ","'Yorkshire and The Humber' ","'Firm choice' ",520
2008 ,"'Group A Medicine and Dentistry' ","'Yorkshire and The Humber' ","'Main scheme Clearing' ",15
2008 ,"'Group A Medicine and Dentistry' ","'Yorkshire and The Humber' ","'RPA' ",20
2008 ,"'Group A Medicine and Dentistry' ","'North West' ","'Firm choice' ",880
2008 ,"'Group A Medicine and Dentistry' ","'North West' ","'Insurance choice' ",5
2008 ,"'Group A Medicine and Dentistry' ","'North West' ","'Other main scheme choice' ",5
